Date,S/N,Tweet,annotation_id,annotator,created_at,id,lead_time,sentiment,updated_at
19/08/2024,1,Monday dey hard one kind. Make we just do am for some people today ❤️,5,1,2024-09-24T12:49:29.929059Z,1,22.688,Normal,2024-09-25T10:21:59.350834Z
19/08/2024,2,Tell me wetin dey sup!,6,1,2024-09-24T12:49:38.200680Z,2,4.215,Normal,2024-09-24T12:49:38.200680Z
16/08/2024,3,Make dem legalize loud for this side o.,7,1,2024-09-24T12:50:03.302614Z,3,24.72,Normal,2024-09-25T10:22:13.213113Z
25/07/2024,4,"“For someone that was a troll hating trolls” 

Yes! It is very possible! People learn and get better but if you no go learn I will tell you. Simple. Like say una no get home training",8,1,2024-09-24T12:50:54.715869Z,4,15.334,Offensive,2024-09-25T10:22:22.698668Z
25/07/2024,5,"God knows my heart is pure and I no wish any man bad that’s why he’s keeps helping me when I call him. 

I just hate BULLIES! Simple! People that laugh at people that try to do what they cannot. Spineless, pathetic, unfiltered and uncultured swines! Bingos! 🤢",9,1,2024-09-24T12:51:02.548349Z,5,16.449,Offensive,2024-09-25T10:22:35.516352Z
25/07/2024,6,I petty pass all those bingos but level don change 😂,10,1,2024-09-24T12:51:15.164513Z,6,10.366,Offensive,2024-09-25T10:22:42.851901Z
13/05/2024,7,stop pitting me against my friends for entertainment.,11,1,2024-09-24T12:51:20.249259Z,7,7.077,Offensive,2024-09-25T10:22:52.357261Z
13/05/2024,8,"Pure heart.
 I’m happy for people and I wait my turn.",12,1,2024-09-24T12:51:26.694008Z,8,69.829,Normal,2024-09-25T10:24:04.678230Z
14/04/2024,9,Na their mama and papa dem go cancel 🖐🏽,13,1,2024-09-24T12:51:33.121450Z,9,4.879,Offensive,2024-09-25T10:24:10.404435Z
14/04/2024,10,"That’s just to show my career or trajectory is not dependent on anyone else but myself and God. 

You niggas have no power or control over this. Forever and ever. Amen.",14,1,2024-09-24T12:51:42.424001Z,10,17.486,Offensive,2024-09-25T10:24:26.268335Z
14/04/2024,11,"Fumble? 😂 I was just sharing the start of the conversation. Sincerely , Benson.",15,1,2024-09-24T12:51:50.170125Z,11,9.886,Normal,2024-09-25T10:24:34.983073Z
11/04/2024,12,"“The brother wey dey knack you no get sense” 😂💔

NEW NEW OUT NOW!!!  🛩️🛩️🛩️🛩️ #POE ",117,1,2024-09-25T10:24:43.635305Z,12,9.66,Offensive,2024-09-25T10:24:43.635305Z
11/03/2024,13,No yawa. I’m sorry.,16,1,2024-09-24T12:58:22.802038Z,13,1.673,Normal,2024-09-24T12:58:22.802038Z
01/03/2024,14,"No one responded to my last tweet so I’ll just do this for my uni students 

Recreate this Dance on TikTok with your faculty friends. Most impressions or better still , the most creative gets 1 million. Easy money. No cap in my rap.

(Only university students actively in school). #RMD",17,1,2024-09-24T12:59:14.159632Z,14,3.707,Normal,2024-09-24T12:59:14.159632Z
07/02/2024,15,"Poco somewhere waiting to say “Don’t fuck around , you see it!” 🤣🤣🤣",18,1,2024-09-24T13:01:43.532165Z,15,11.379,Normal,2024-09-25T10:25:03.732844Z
01/02/2024,16,I no wan use my eyes take see 🗑️,19,1,2024-09-24T13:01:54.161934Z,16,3.401,Offensive,2024-09-25T10:25:09.809048Z
19/01/2024,17,“It’s been 14 weeks and I ain’t dropped shit!”,20,1,2024-09-24T13:02:03.449806Z,17,6.433,Normal,2024-09-25T10:25:21.150050Z
13/01/2024,18,I dey find money like I be junkie.,21,1,2024-09-24T13:02:14.290362Z,18,9.271,Normal,2024-09-24T13:02:14.290362Z
10/12/2023,19,"Respect my health , Respect my money. Give me what I pay for. If you don’t have it , don’t bring a fake one! 

The next club or lounge that does this to me , I promise i will take that microphone from the hypeman and let you know!",22,1,2024-09-24T13:02:27.928396Z,19,19.209,Offensive,2024-09-25T10:25:55.647463Z
10/12/2023,20,Stop selling us fake drinks after spending so much money on the overpriced drinks. You’re killing us.,23,1,2024-09-24T13:02:35.104351Z,20,8.155,Normal,2024-09-25T10:26:17.495847Z
19/11/2023,21,Twitter doesn’t slap like before btw 😔,24,1,2024-09-24T13:02:43.258688Z,21,4.526,Normal,2024-09-25T10:26:24.056058Z
19/11/2023,22,"I hope you draw some sort of inspiration asides from the comedy from all this. 

I went after every dream I had and overcame. You can too . Believe. ❤️",25,1,2024-09-24T13:02:53.898042Z,22,8.041,Normal,2024-09-24T13:02:53.898042Z
19/11/2023,23,"Twitter really was my diary at some point 😂
I was free and comfortable with my 15 friends from high school and uni who I shared EVERYTHING with on here. Good times I can’t lie.",26,1,2024-09-24T13:03:08.854925Z,23,6.973,Normal,2024-09-24T13:03:08.854925Z
17/10/2023,24,"‘Info l’eyan fi n fo’ 

Real.",27,1,2024-09-24T13:03:14.284099Z,24,2.105,Normal,2024-09-24T13:03:14.284099Z
14/10/2023,25,I no wan use my eyes takes see rubbish 🚫🗑️,28,1,2024-09-24T13:03:20.045862Z,25,4.295,Offensive,2024-09-25T10:26:37.034881Z
12/10/2023,26,They just crave the reaction and attention from the real listeners.. ignore them. #SincerelyBenson 💌,29,1,2024-09-24T13:03:31.399020Z,26,11.153,Normal,2024-09-25T10:26:45.594241Z
10/10/2023,27,"Pardon me , Pardon me…",30,1,2024-09-24T13:03:37.957332Z,27,3.593,Normal,2024-09-24T13:03:37.957332Z
08/10/2023,28,"Criticism is allowed yunno.

 “that mix doesn’t sit right” 
“that sounded a little off” 
“I wish this was ..”

 very very allowed and thoughtful too. I really be wanting to know. #SincerelyBenson 💌",31,1,2024-09-24T13:03:54.973582Z,28,14.817,Offensive,2024-09-25T10:26:53.768189Z
08/10/2023,29,You know I love and appreciate you guys all the time. It’ll never stop ❤️,32,1,2024-09-24T13:04:01.954144Z,29,1.492,Normal,2024-09-24T13:04:01.954144Z
08/10/2023,30,"
I’ve been soo carried away by the love and work with this project that I failed to say THANK YOU!
 The fans , the believers, the listeners… thank you for everything 💌 I appreciate you so so much ❤️ #SincerelyBenson",33,1,2024-09-24T13:04:17.414780Z,30,10.215,Normal,2024-09-24T13:04:17.414780Z
07/10/2023,31,"
You see the red flags but you ignore when you’re messing with her…cause she dey do you proper , you no know say your kele no normal.🧏🏾‍♂️
  #Toxic 
#SincerelyBenson 💌",34,1,2024-09-24T13:04:33.455144Z,31,8.772,Offensive,2024-09-25T10:27:09.227592Z
07/10/2023,32,"‘Cause some people been tryna see me lose on this side but that’s another chapter 📖’
#SincerelyBenson 💌",35,1,2024-09-24T13:04:41.391949Z,32,7.716,Normal,2024-09-25T10:27:23.380707Z
06/10/2023,33,"Just incase they’re talking bout pen game and they don’t say my name , I don’t like the sound of the joke. 🧏🏾‍♂️
#SincerelyBenson 💌",36,1,2024-09-24T13:04:51.888584Z,33,11.852,Normal,2024-09-25T10:27:38.491413Z
05/10/2023,34,Thank you Jesus. You’ve never failed me. Ever. ❤️,37,1,2024-09-24T13:05:02.510273Z,34,11.052,Normal,2024-09-24T13:05:02.510273Z
05/10/2023,35,"
Igbawo lo de to fe ma lo ? Oh no! 🤦🏽‍♂️#SincerelyBenson",38,1,2024-09-24T13:05:14.749421Z,35,11.045,Normal,2024-09-25T10:28:21.267774Z
05/10/2023,36,"
I no wan use my eyes take see rubbish. #SincerelyBenson",39,1,2024-09-24T13:05:20.940969Z,36,5.083,Offensive,2024-09-25T10:28:29.976417Z
05/10/2023,37,Man I’ve been on the road since way before Kanye West said he was Yeezus. (Best of Me) #SincerelyBenson,40,1,2024-09-24T13:05:31.481613Z,37,18.535,Normal,2024-09-25T10:28:50.931226Z
02/10/2023,38,"There’s them..and then there’s Me. 

#SincerelyBenson 💌",41,1,2024-09-24T13:05:36.859430Z,38,6.46,Normal,2024-09-25T10:28:59.720967Z
30/09/2023,39,"It’s with every ounce of uncertainty that I put out this album. 
I do not know what to expect but I am confident and at peace because I’ve made something really..really beautiful.",42,1,2024-09-24T13:05:51.428651Z,39,11.234,Normal,2024-09-24T13:05:51.428651Z
05/09/2023,40,"
Leave am for me. 

                   Sincerely, Benson. 💿",43,1,2024-09-24T13:05:57.256172Z,40,4.285,Normal,2024-09-25T10:29:10.051405Z
20/09/2023,41,The entire world speaking on your name and you’re not here to see it is terrifying 💔💡,44,1,2024-09-24T13:06:15.185350Z,41,14.061,Normal,2024-09-24T13:06:15.185350Z
18/09/2023,42,"
You can’t dictate to people how to grief. It’s their hurt. People are breaking down in silence because it’s the best way they know how to handle it. Please stop.",45,1,2024-09-24T13:06:35.685041Z,42,9.551,Normal,2024-09-24T13:06:35.700686Z
18/09/2023,43,"
#JusticeForMohbad",46,1,2024-09-24T13:10:20.931345Z,43,9.601,Normal,2024-09-24T13:10:20.931345Z
14/09/2023,44,"
It is unfair we laughed together and you cried alone. #SincerelyBenson",47,1,2024-09-24T13:10:26.775552Z,44,17.762,Normal,2024-09-25T10:29:42.121428Z
25/08/2023,45,"
Dey Play.Benson
@BNXN
",48,1,2024-09-24T13:10:35.082967Z,45,87.964,Offensive,2024-09-25T10:29:48.374034Z
07/08/2023,46,"
I’ve really been avoiding drama and unnecessary engagements for the past 6 months…. Just releasing great music and chilling.",49,1,2024-09-24T13:12:13.430087Z,46,10.934,Normal,2024-09-24T13:12:13.430087Z
07/08/2023,47,"
On young erikina’s album. 
Baba iya eyan. 🖐🏽",50,1,2024-09-24T13:12:22.440740Z,47,7.527,Offensive,2024-09-25T10:29:58.331405Z
06/08/2023,48,"
You no sharp!🤣",51,1,2024-09-24T13:12:28.289945Z,48,3.257,Offensive,2024-09-25T10:30:03.783213Z
03/06/2023,49,"
What happened to ya? 🤷🏽‍♂️🥺",52,1,2024-09-24T13:12:37.986386Z,49,16.308,Offensive,2024-09-25T10:30:18.961408Z
21/06/2023,50,"
My phone go soon die so by midnight y’all go search “ELEYELE” by TAVES! PLEASEEEEEEE😅",53,1,2024-09-24T13:12:47.354346Z,50,2.708,Normal,2024-09-24T13:12:47.354346Z
21/06/2023,51,"
When it becomes popular to rock with us , we’ll surely remind you of when you thought it wasn’t .",54,1,2024-09-24T13:13:12.646263Z,51,1.676,Contempt,2024-09-24T13:13:12.646263Z
16/06/2023,52,"
Listening to everything out now and I’ve never been more confident in the future.",55,1,2024-09-24T13:13:47.089457Z,52,19.034,Normal,2024-09-24T13:13:47.089457Z
15/06/2023,53,"·
Awon werey 😪",56,1,2024-09-24T13:13:52.190741Z,53,2.888,Offensive,2024-09-25T10:30:46.861148Z
12/05/2023,54,"
As my skin come yellow , you say I no sabi hustle ?

https://music.empi.re/praybnxn",57,1,2024-09-24T13:14:00.834188Z,54,3.497,Normal,2024-09-24T13:14:00.834188Z
11/05/2023,55,"
Fortunately, I will continue to get better , the topics will forever be diverse & the music will forever be real. HIM",58,1,2024-09-24T13:14:07.777459Z,55,3.79,Normal,2024-09-24T13:14:07.777459Z
07/04/2023,56,"
no dey use my lines dey stroke my teammm 😭",59,1,2024-09-24T13:14:14.682376Z,56,14.048,Offensive,2024-09-25T10:31:10.727163Z
19-2-2-2023,57,"
You deserve every good thing coming your way. EVERYTHING. God bless and continue to enlarge your coast ❤️",60,1,2024-09-24T13:14:19.979119Z,57,1.402,Normal,2024-09-24T13:14:19.979119Z
