Date,S/N,Tweet,annotation_id,annotator,created_at,id,lead_time,sentiment,updated_at
11/08/2024,1,The Truth shall bring them tears. 😂😂. ODG chapter 1 verse 47.,246,1,2024-09-25T11:11:54.996611Z,1000,34.964,Offensive,2024-09-25T11:11:54.996611Z
10/08/2024,2,"Ladies and gentlemen, A valuable lesson on paying attention to detail. I said 12am, I never said what date. No be say I whine una o Na una Lose guard",247,1,2024-09-25T11:12:22.801387Z,1001,1.347,Offensive,2024-09-25T11:12:22.801387Z
10/08/2024,3,Baba na only who do anyhow dey see anyhow. Who respect himself na him we dey Respect.,248,1,2024-09-25T11:12:31.742752Z,1002,6.022,Offensive,2024-09-25T11:12:31.742752Z
10/08/2024,4,😂😂 No panic bros.,249,1,2024-09-25T11:12:36.858570Z,1003,2.181,Normal,2024-09-25T11:12:36.858570Z
10/08/2024,5,😂😂So After ALL that.. ……. 😂😂😂,250,1,2024-09-25T11:12:45.944524Z,1004,5.928,Normal,2024-09-25T11:12:45.944524Z
10/08/2024,6,Bro. I no fit lie. Na you suffer pass. No shades.,251,1,2024-09-25T11:12:51.270577Z,1005,2.351,Offensive,2024-09-25T11:12:51.270577Z
01/08/2024,7,Koni baje fun e. 🙏🏾,252,1,2024-09-25T11:12:56.131565Z,1006,1.34,Normal,2024-09-25T11:12:56.131565Z
01/08/2024,8,"As I no milk again una still wan tear my
Shirt. Wetin Una really want sef??",253,1,2024-09-25T11:13:04.205522Z,1007,4.586,Offensive,2024-09-25T11:13:04.205522Z
01/08/2024,9,I don hand am over to Falz bros.,254,1,2024-09-25T11:13:08.447410Z,1008,1.013,Normal,2024-09-25T11:13:08.447410Z
29/07/2024,10,“EMPTY CHAIRS”,255,1,2024-09-25T11:13:12.892126Z,1009,1.059,Offensive,2024-09-25T11:13:12.892126Z
29/07/2024,11,“NO SIGN OF WEAKNESS”!!!!,256,1,2024-09-25T11:13:17.552380Z,1010,1.256,Offensive,2024-09-25T11:13:17.552380Z
29/07/2024,12,"When I made this album, I literally had no expectations at all! I wanted to get shit off my chest and I appreciate you all for fuckin with it. #AFRICANGIANTIS5 🦍",257,1,2024-09-25T11:13:26.556532Z,1011,5.338,Normal,2024-09-25T11:13:26.556532Z
05/07/2024,13,"We both know how it feels to be locked up, why TF would you wish that on anyone? I gat love for u but I do NOT stand for none of this police ass shit. Take all this shit down please.",258,1,2024-09-25T11:13:33.264508Z,1012,1.808,Offensive,2024-09-25T11:13:33.264508Z
05/07/2024,14,Bro. WTF are you doing?? Take this down now !! Make me and u no get problem abeg . No be like this we dey handle differences.,259,1,2024-09-25T11:13:38.815743Z,1013,2.142,Offensive,2024-09-25T11:13:38.815743Z
05/07/2024,15,Ehen! Na wetin we dey pray for be that bros.,260,1,2024-09-25T11:13:45.239977Z,1014,1.46,Normal,2024-09-25T11:13:45.239977Z
05/07/2024,16,E shock me bros,261,1,2024-09-25T11:13:49.498894Z,1015,1.431,Normal,2024-09-25T11:13:49.498894Z
05/07/2024,17,No wam. I go soon mien.,262,1,2024-09-25T11:13:54.517438Z,1016,1.124,Normal,2024-09-25T11:13:54.517438Z
05/07/2024,18,🙏🏽 Thank you 👑 @SalifKeita.,263,1,2024-09-25T11:13:59.307078Z,1017,1.062,Normal,2024-09-25T11:13:59.307078Z
02/07/2024,19,Thanks for always riding with me London❤️! #burnaboylondonstadium,264,1,2024-09-25T11:14:03.929313Z,1018,1.218,Normal,2024-09-25T11:14:03.929313Z
30/06/2024,20,Glastonbury! 💫👊🏾 #Glastonbury2024 #itoldthem,265,1,2024-09-25T11:14:08.577179Z,1019,1.511,Indeterminate,2024-09-25T11:14:08.577179Z
27/06/2024,21,"For the first time in a long while I was able to spend time at home, with my people. Being present with all the volunteers that have held us down for years championing causes close to my heart. “HIGHER” out tomorrow PHC FOREVER! 

🆙🙏🏽",266,1,2024-09-25T11:14:15.064654Z,1020,2.68,Normal,2024-09-25T11:14:15.064654Z
26/06/2024,22,Ahead of its Time!! 🎶 🔥,267,1,2024-09-25T11:14:20.662781Z,1021,1.768,Normal,2024-09-25T11:14:20.662781Z
01/06/2024,23,❤️🥰 i Appreciate you @__uotassia & @ raky_racky . See you in London 🇬🇧,268,1,2024-09-25T11:14:26.856593Z,1022,1.254,Normal,2024-09-25T11:14:26.856593Z
05/05/2024,24,Thanks for the love Guyana ❤️,269,1,2024-09-25T11:14:31.155211Z,1023,1.206,Normal,2024-09-25T11:14:31.155211Z
01/05/2024,25,Guyana 🇬🇾! 🛬 …. See you tonight!,270,1,2024-09-25T11:14:36.798694Z,1024,1.395,Normal,2024-09-25T11:14:36.798694Z
18/04/2024,26,Love you mama ❤️,271,1,2024-09-25T11:14:43.537092Z,1025,2.138,Normal,2024-09-25T11:14:43.537092Z
17/04/2024,27,I grew up in a place called PH City 🙏🏾❤️ thanks @TIME,272,1,2024-09-25T11:15:20.212633Z,1026,2.011,Normal,2024-09-25T11:15:20.212633Z
10/04/2024,28,Happy Eid Mubarak 🌙💛,273,1,2024-09-25T11:15:26.515568Z,1027,1.056,Normal,2024-09-25T11:15:26.515568Z
02/04/2024,29,"Best April Fools in A while 🤣 
but never say never!! 👌🏽",274,1,2024-09-25T11:15:31.917431Z,1028,1.474,Offensive,2024-09-25T11:15:31.917431Z
09/03/2024,30,ATL 👀,275,1,2024-09-25T11:15:36.397563Z,1029,1.441,Indeterminate,2024-09-25T11:15:36.397563Z
08/03/2024,31,Thank you for always holding me down D.C ❤️ #ITOLDTHEMTOUR,276,1,2024-09-25T11:15:43.855462Z,1030,3.908,Normal,2024-09-25T11:15:43.855462Z
06/03/2024,32,The best 🚀🚀,277,1,2024-09-25T11:15:48.899309Z,1031,1.414,Normal,2024-09-25T11:15:48.899309Z
05/03/2024,33,"We go still visit that audio chain and many more o. No worry, make @Cokobar money expire first.",278,1,2024-09-25T11:15:55.593402Z,1032,3.43,Normal,2024-09-25T11:15:55.593402Z
05/03/2024,34,"U see me dey smile nor mean say I dey smile o. Eyin fans mi, Dey play",279,1,2024-09-25T11:16:04.469728Z,1033,2.087,Offensive,2024-09-25T11:16:04.469728Z
03/03/2024,35,"I feel incredibly honoured and privileged! Thank you Boston! 💚

The goal has always been the same, to bring the world together. We are all so different but all the same! 

2nd of March a.k.a Burna Boy Day #ITOLDTHEMTOUR",280,1,2024-09-25T11:16:08.818550Z,1034,1.115,Normal,2024-09-25T11:16:08.818550Z
02/03/2024,36,"Boston, I’m charged up for tonight! 🚀 LET’S GOOOO #ITOLDTHEMTOUR",281,1,2024-09-25T11:16:14.374800Z,1035,2.046,Normal,2024-09-25T11:16:14.374800Z
29/02/2024,37,Last night was amazing Montréal!! Encore ce soir! #ITOLDTHEMTOUR,282,1,2024-09-25T11:16:19.465528Z,1036,1.841,Normal,2024-09-25T11:16:19.465528Z
23/02/2024,38,Love you forever Chicago #ITOLDTHEMTOUR,283,1,2024-09-25T11:16:24.097935Z,1037,1.103,Normal,2024-09-25T11:16:24.097935Z
22/02/2024,39,Cover story @FT How To Spend It Issue 🌹 on stands now,284,1,2024-09-25T11:16:29.099903Z,1038,1.816,Normal,2024-09-25T11:16:29.099903Z
22/02/2024,40,Thank you Chicago!!! You all made me weak in the knees! 🙏🏾 #ITOLDTHEMTOUR,285,1,2024-09-25T11:16:33.939992Z,1039,1.484,Normal,2024-09-25T11:16:33.939992Z
