Date,S/N,Tweet,annotation_id,annotator,created_at,id,lead_time,sentiment,updated_at
23/07/2024,1,"Yesterday, my brother 
@nickcannon
 & I linked up on 
@Chatter_US
 & discussed bringing Wild ‘n’ Out to Africa and collaborating with African creators.

9 days of launching Chatter & the world is embracing this platform!

Incredible! ",746,1,2024-09-25T12:24:57.198789Z,2000,3.249,Normal,2024-09-25T12:24:57.198789Z
23/07/2024,2,"Dopey with the bro 
@NickCannon
 
@Chatter_US
 🔥",747,1,2024-09-25T12:25:00.725763Z,2001,2.223,Normal,2024-09-25T12:25:08.001050Z
23/07/2024,3,"Happy to partner with 
@GACMotorNgr
 and drive into the future together. 🚗✨ Innovation and luxury at its finest.",748,1,2024-09-25T12:25:10.964368Z,2002,0.693,Normal,2024-09-25T12:25:10.964368Z
13/07/2024,4,Let’s Go! 🔥🔥🔥,749,1,2024-09-25T12:25:14.098811Z,2003,0.571,Normal,2024-09-25T12:25:14.098811Z
05/07/2024,5,Make she keep am,750,1,2024-09-25T12:25:18.003192Z,2004,1.277,Offensive,2024-09-25T12:25:18.003192Z
05/07/2024,6,All I asked for was ‘joint custody’ but cus it’s davido yall wanna act like yall can’t read! SMH I’m off this … yall be blessed and I pray this never happens to you,751,1,2024-09-25T12:25:21.117225Z,2005,0.612,Offensive,2024-09-25T12:25:21.117225Z
05/07/2024,7,Your constantly bringing up the death of my child at any point u can to just remind us of this tragedy that haunts us everyday of our lives .. Imade will grow up to see I fought for her .. as for now u can have her .. P.S she won’t be a child forever .. enjoy ❤️ Imade Aurora Adeleke ! Your father loves you!,752,1,2024-09-25T12:25:24.534228Z,2006,0.785,Offensive,2024-09-25T12:25:24.534228Z
05/07/2024,8,Houston tonight ! Tribeville Fest!!! 🌎🔥💪🏾,753,1,2024-09-25T12:25:27.647052Z,2007,0.629,Normal,2024-09-25T12:25:27.647052Z
04/07/2024,9,Haha,754,1,2024-09-25T12:25:30.729780Z,2008,0.709,Offensive,2024-09-25T12:25:30.729780Z
04/07/2024,10,"Ur trending 😂😂 
@Folazfab",755,1,2024-09-25T12:25:34.923072Z,2009,1.549,Normal,2024-09-25T12:25:34.923072Z
04/07/2024,11,U rush in u rush out,756,1,2024-09-25T12:25:38.503125Z,2010,0.733,Offensive,2024-09-25T12:25:38.503125Z
03/07/2024,12,jigijigijigijigijigijigijigijigi *moves shoulders,757,1,2024-09-25T12:25:42.039775Z,2011,1.04,Offensive,2024-09-25T12:25:42.039775Z
03/07/2024,13,Note : Fuck what people gotta say ! Stay active,758,1,2024-09-25T12:25:45.360850Z,2012,0.582,Offensive,2024-09-25T12:25:45.360850Z
02/07/2024,14,"LA always goes crazy!! ⁣
⁣
We really kicked off summer with a smash 
@BET
 - Crypto arena we set it off. ⁣
⁣
More announcements soon + a lot more shows this year. Where should we pop out next?",759,1,2024-09-25T12:25:49.226559Z,2013,0.978,Normal,2024-09-25T12:25:49.226559Z
02/07/2024,15,We plaster,760,1,2024-09-25T12:25:52.374506Z,2014,0.685,Normal,2024-09-25T12:25:52.374506Z
01/07/2024,16,"Say wa le le le le
Ogechi don gimme something kpo kpo kpo",761,1,2024-09-25T12:26:01.474275Z,2015,6.141,Normal,2024-09-25T12:26:01.474275Z
30/06/2024,17,Supacell 🔥,762,1,2024-09-25T12:26:05.132128Z,2016,0.761,Normal,2024-09-25T12:26:05.132128Z
29/06/2024,18,6 am in Australia 😂 after club,763,1,2024-09-25T12:26:08.438488Z,2017,0.596,Normal,2024-09-25T12:26:08.438488Z
28/06/2024,19,ACTIVE,764,1,2024-09-25T12:26:11.957005Z,2018,0.744,Normal,2024-09-25T12:26:11.957005Z
28/06/2024,20,"Thank you 
@delta",765,1,2024-09-25T12:26:14.851409Z,2019,0.551,Normal,2024-09-25T12:26:14.851409Z
28/06/2024,21,Touch Down LA 🇺🇸we here ! Crypto Arena tonight !!! 💪🏾💪🏾💪🏾🌎🌎🚀🚀🚀🚀,766,1,2024-09-25T12:26:18.098548Z,2020,0.607,Normal,2024-09-25T12:26:18.098548Z
28/06/2024,22,Facebook boutta start paying pple in naija .. e don be 😂😂😂,767,1,2024-09-25T12:26:21.744830Z,2021,1.108,Normal,2024-09-25T12:26:21.744830Z
28/06/2024,23,😍  Big ups Sara o Events and Zapphaire events … yall killed it ! Till we turn am to carnival 😂😂 ! Well done !,768,1,2024-09-25T12:26:24.800399Z,2022,0.699,Normal,2024-09-25T12:26:24.800399Z
28/06/2024,24,One by one,769,1,2024-09-25T12:26:28.393176Z,2023,0.676,Normal,2024-09-25T12:26:28.393176Z
28/06/2024,25,Gear up X,770,1,2024-09-25T12:26:31.668166Z,2024,0.789,Normal,2024-09-25T12:26:31.668166Z
28/06/2024,26,"The ADELEKES vs THE EJIOFORS dancing competition only Chioma can make Daddy  stand up this quick  … #bestdayofourlives Cc 
@AAdeleke_01
 It’s in the blood",771,1,2024-09-25T12:26:37.062385Z,2025,2.609,Normal,2024-09-25T12:26:37.062385Z
28/06/2024,27,Of course I am … before I came on earth I was eligible,772,1,2024-09-25T12:26:40.975073Z,2026,1.348,Normal,2024-09-25T12:26:40.975073Z
28/06/2024,28,Probably the first year of elections  I might not vote … I’m just confused 🫤,773,1,2024-09-25T12:26:48.034892Z,2027,4.314,Normal,2024-09-25T12:26:48.034892Z
28/06/2024,29,Biden not the best but trump can lie sha 😂😂,774,1,2024-09-25T12:26:51.623747Z,2028,0.591,Offensive,2024-09-25T12:26:51.623747Z
28/06/2024,30,Still a democrat sha but worst presidential debate EVER …,775,1,2024-09-25T12:26:55.810589Z,2029,1.103,Offensive,2024-09-25T12:26:55.810589Z
28/06/2024,31,Say wat u want … A FATHERS DREAM,776,1,2024-09-25T12:27:00.040033Z,2030,0.736,Offensive,2024-09-25T12:27:00.040033Z
28/06/2024,32,Every play e Dey show,777,1,2024-09-25T12:27:04.775916Z,2031,1.808,Normal,2024-09-25T12:27:04.775916Z
28/06/2024,33,Chop knuckle !!,778,1,2024-09-25T12:27:08.267564Z,2032,0.662,Normal,2024-09-25T12:27:08.267564Z
28/06/2024,34,Sleeping ! Wedding no easy 😂,779,1,2024-09-25T12:27:12.447671Z,2033,1.071,Normal,2024-09-25T12:27:12.447671Z
28/06/2024,35,We was on the bed the whole flight,780,1,2024-09-25T12:27:16.077458Z,2034,0.878,Normal,2024-09-25T12:27:16.077458Z
28/06/2024,36,Ngl trump funny AF,781,1,2024-09-25T12:27:21.102547Z,2035,2.826,Offensive,2024-09-25T12:27:25.681402Z
28/06/2024,37,Queen 💪🏾❤️,782,1,2024-09-25T12:27:29.425897Z,2036,0.815,Normal,2024-09-25T12:27:29.425897Z
27/06/2024,38,On the way 🚀,783,1,2024-09-25T12:27:32.930382Z,2037,0.698,Normal,2024-09-25T12:27:32.930382Z
27/06/2024,39,Make we first launch  this one 😂🏝️😍🍾,784,1,2024-09-25T12:27:37.060903Z,2038,0.731,Normal,2024-09-25T12:27:37.060903Z
27/06/2024,40,Thanks to everyone that made our day a magical one ! We appreciate and love you Love won ! 💪🏾❤️,785,1,2024-09-25T12:27:41.251886Z,2039,0.656,Normal,2024-09-25T12:27:41.251886Z
26/06/2024,41,God’s Time 💍🎊🍾❤️,786,1,2024-09-25T12:27:45.978083Z,2040,0.978,Normal,2024-09-25T12:27:45.978083Z
24/06/2024,42,Drop a verse for my wife ???,787,1,2024-09-25T12:27:49.870931Z,2041,0.544,Normal,2024-09-25T12:27:49.870931Z
23/06/2024,43,#CHIVIDO2024,788,1,2024-09-25T12:27:55.468893Z,2042,1.101,Normal,2024-09-25T12:27:55.468893Z
22/06/2024,44,PAPA BEAR HERE 😍😍 #CHIVIDO24,789,1,2024-09-25T12:28:03.331463Z,2043,0.617,Normal,2024-09-25T12:28:03.331463Z
16/06/2024,45,Eid Mubarak to all my Muslim brothers and sisters,790,1,2024-09-25T12:28:07.159458Z,2044,0.834,Normal,2024-09-25T12:28:07.159458Z
09/06/2024,46,obra maestra completa,791,1,2024-09-25T12:28:11.140004Z,2045,0.99,Normal,2024-09-25T12:28:11.140004Z
08/06/2024,47,IMOLE!!,792,1,2024-09-25T12:28:14.983442Z,2046,0.712,Normal,2024-09-25T12:28:14.983442Z
02/06/2024,48,Woulda banged too 😂,793,1,2024-09-25T12:28:18.149631Z,2047,0.747,Normal,2024-09-25T12:28:18.149631Z
02/06/2024,49,Listening to MIXES ….. lol wahala Dey,794,1,2024-09-25T12:28:21.579275Z,2048,0.942,Offensive,2024-09-25T12:28:21.579275Z
02/06/2024,50,Dem go feel it 🎶,795,1,2024-09-25T12:28:24.942423Z,2049,0.688,Normal,2024-09-25T12:28:24.942423Z
02/06/2024,51,Anybody wey do me bad go collect this year one by one just Dey watch … e don start already 😂,796,1,2024-09-25T12:28:28.871402Z,2050,0.676,Offensive,2024-09-25T12:28:28.871402Z
30/05/2024,52,"I’m looking forward to connecting to more people in the spaces that was held , 
@blknoiz06
 I’m sending you a dm , I want you to teach me how to lock tokens and show the community I’m in this for real .",797,1,2024-09-25T12:28:32.983701Z,2051,1.526,Normal,2024-09-25T12:28:32.983701Z
30/05/2024,53,Those who joined the space with me and @blknoiz06got to witness me creating my @phantom wallet and receive $100 via the @solana network in a matter of seconds!,798,1,2024-09-25T12:28:37.378651Z,2052,1.764,Normal,2024-09-25T12:28:37.378651Z
30/05/2024,54,When is the podcast ? 👀  $DAVIDO,799,1,2024-09-25T12:28:42.323988Z,2053,0.772,Normal,2024-09-25T12:28:42.323988Z
30/05/2024,55,See you there $DAVIDO ⏳,800,1,2024-09-25T12:28:47.900741Z,2054,0.838,Normal,2024-09-25T12:28:47.900741Z
29/05/2024,56,FUCK IT ! 30 BILLION GANG 🔥🔥🔥,801,1,2024-09-25T12:28:54.567700Z,2055,1.025,Normal,2024-09-25T12:28:54.567700Z
29/05/2024,57,HODL HODL ! WE ARE JUST STARTING! 30 MILLION SOON COME 🔥⏳✨,802,1,2024-09-25T12:28:59.156424Z,2056,0.68,Normal,2024-09-25T12:28:59.156424Z
29/05/2024,58,"❤️😎 TAKE ME AWAY, WAY FAR AWAY  $DAVIDO",803,1,2024-09-25T12:29:02.755630Z,2057,0.79,Normal,2024-09-25T12:29:02.755630Z
29/05/2024,59,The King of SOL is here ! $DAVIDO,804,1,2024-09-25T12:29:06.168074Z,2058,0.713,Normal,2024-09-25T12:29:06.168074Z
29/05/2024,60,"Yes o ! Sign me up $DAVIDO 
@vibhu",805,1,2024-09-25T12:29:09.884728Z,2059,0.979,Normal,2024-09-25T12:29:09.884728Z
29/05/2024,61,"It’s just ME! 
#1 on DexTools 🔥⏳✨",806,1,2024-09-25T12:29:14.127065Z,2060,1.222,Normal,2024-09-25T12:29:14.127065Z
29/05/2024,62,WAGMI $DAVIDO,807,1,2024-09-25T12:29:33.121338Z,2061,16.308,Normal,2024-09-25T12:29:33.121338Z
29/05/2024,63,"I did it myself, for the community! Free US!  https://x.com/Habibi_Comm/st/Habibi_Comm/status/1795872516420022730",808,1,2024-09-25T12:29:37.237075Z,2062,0.846,Normal,2024-09-25T12:29:37.237075Z
29/05/2024,64,"Don’t sleep yet , We rise by lifting others $DAVIDO",809,1,2024-09-25T12:29:42.577233Z,2063,0.613,Normal,2024-09-25T12:29:42.577233Z
29/05/2024,65,Solana summer don start ⏳✨,810,1,2024-09-25T12:29:46.046579Z,2064,0.643,Normal,2024-09-25T12:29:46.046579Z
29/05/2024,66,Hmmm $DAVIDO,811,1,2024-09-25T12:29:50.308397Z,2065,1.083,Normal,2024-09-25T12:29:50.308397Z
29/05/2024,67,"Road Clear ?! 
@phantom",812,1,2024-09-25T12:29:54.119174Z,2066,0.598,Normal,2024-09-25T12:29:54.119174Z
29/05/2024,68,Cape Town moments 🇿🇦,814,1,2024-09-25T12:30:10.339614Z,2067,0.756,Normal,2024-09-25T12:30:10.339614Z
28/05/2024,69,Touch down Capetown!! 🇿🇦 …. #YEBO,813,1,2024-09-25T12:30:02.846561Z,2068,6.236,Normal,2024-09-25T12:30:07.058113Z
26/05/2024,70,Nothing like family ❤️,815,1,2024-09-25T12:30:13.739335Z,2069,0.677,Normal,2024-09-25T12:30:13.739335Z
25/05/2024,71,I can’t fucking wait !!,816,1,2024-09-25T12:30:17.881886Z,2070,1.028,Normal,2024-09-25T12:30:17.881886Z
25/05/2024,72,My oldest nephew graduating high school 2moro ! I was literally living with my oldest sister during the last months of her pregnancy … Mehn I’m gettin old 😩,817,1,2024-09-25T12:30:23.509693Z,2071,2.867,Normal,2024-09-25T12:30:23.509693Z
25/05/2024,73,Hmmm video ! Fucking mental !!!,818,1,2024-09-25T12:30:28.438066Z,2072,1.616,Offensive,2024-09-25T12:30:28.438066Z
25/05/2024,74,Congrats Excellency,819,1,2024-09-25T12:30:31.654703Z,2073,0.605,Normal,2024-09-25T12:30:31.654703Z
24/05/2024,75,I’m unavailable I Dey Bahamas !!!,820,1,2024-09-25T12:30:35.500047Z,2074,0.647,Normal,2024-09-25T12:30:35.500047Z
23/05/2024,76,The money wey I get u no fit chop am finishhhhhhh,821,1,2024-09-25T12:30:39.758741Z,2075,1.076,Normal,2024-09-25T12:30:39.758741Z
23/05/2024,77,Ayo Maff and Fireboy on RP 🤯,822,1,2024-09-25T12:30:43.405203Z,2076,0.743,Normal,2024-09-25T12:30:43.405203Z
22/05/2024,78,Resting ! Boutta be wild summer !!,823,1,2024-09-25T12:30:47.217168Z,2077,0.586,Normal,2024-09-25T12:30:47.217168Z
22/05/2024,79,Sweet Melanin ..  smoke with the skin,824,1,2024-09-25T12:30:50.697200Z,2078,0.529,Normal,2024-09-25T12:30:50.697200Z
17/05/2024,80,MAYOR!!!! 🔥🔥🔥,825,1,2024-09-25T12:30:54.030376Z,2079,0.775,Normal,2024-09-25T12:30:54.030376Z
17/05/2024,81,You killed this Pink! #CONDO 🔥🔥,826,1,2024-09-25T12:30:57.656559Z,2080,0.736,Normal,2024-09-25T12:30:57.656559Z
17/05/2024,82,GO MO!! 🔥🔥🔥,827,1,2024-09-25T12:31:02.853644Z,2081,1.446,Normal,2024-09-25T12:31:02.853644Z
15/05/2024,83,"OFFICE OF THE CHAIRMAN LGSC OSUN STATE 
@Tunegee
 💡🇳🇬",828,1,2024-09-25T12:31:08.612712Z,2082,1.618,Normal,2024-09-25T12:31:08.612712Z
14/05/2024,84,"Cuz just got a twitter 
@nikosliving",829,1,2024-09-25T12:31:14.127624Z,2083,2.781,Normal,2024-09-25T12:31:14.127624Z
14/05/2024,85,Saint Lucia 🇱🇨 I could feel the energy all over the show thank you for the love and support!,830,1,2024-09-25T12:31:17.340209Z,2084,0.655,Normal,2024-09-25T12:31:17.340209Z
14/05/2024,86,Atlanta circa 2006/2007 … dutchmaster days 😂,831,1,2024-09-25T12:31:21.719081Z,2085,1.054,Normal,2024-09-25T12:31:21.719081Z
13/05/2024,87,🔥🔥🔥🔥💪🏾💪🏾💪🏾💪🏾 we are ready !!!,832,1,2024-09-25T12:31:26.369174Z,2086,1.189,Normal,2024-09-25T12:31:26.369174Z
13/05/2024,88,Whole family is osun … chai I Dey miss out,833,1,2024-09-25T12:31:30.261177Z,2087,0.872,Normal,2024-09-25T12:31:30.261177Z
12/05/2024,89,Hapoy Mother’s Day !,834,1,2024-09-25T12:31:33.923535Z,2088,0.699,Normal,2024-09-25T12:31:33.923535Z
11/05/2024,90,Will never forget this shoot!,835,1,2024-09-25T12:31:38.200263Z,2089,1.165,Normal,2024-09-25T12:31:38.200263Z
11/05/2024,91,But if you like wahala o we go give you opper Ganda ooo 🎶 REMEMBER THIS TWEET 👑,836,1,2024-09-25T12:31:43.031499Z,2090,1.49,Offensive,2024-09-25T12:31:43.031499Z
11/05/2024,92,Saint Lucia 🇱🇨 we buss up the place tonight !!!! 🔥🔥🔥,837,1,2024-09-25T12:31:47.028225Z,2091,0.653,Normal,2024-09-25T12:31:47.028225Z
11/05/2024,93,Skekewu ! I love my people like ofeakwu ! Ehen !,838,1,2024-09-25T12:31:51.489715Z,2092,1.722,Normal,2024-09-25T12:31:51.489715Z
11/05/2024,94,DREMOOOOOO!!!!,839,1,2024-09-25T12:31:54.902861Z,2093,0.636,Normal,2024-09-25T12:31:54.902861Z
10/05/2024,95,That was funny I no go lie 😫😂,840,1,2024-09-25T12:31:58.582982Z,2094,1.035,Normal,2024-09-25T12:31:58.582982Z
10/05/2024,96,Dubai is always fun!!! We go crazy each and every time ! Back soon ❤️❤️❤️❤️❤️🇦🇪🇦🇪🇦🇪🇦🇪,841,1,2024-09-25T12:32:02.562374Z,2095,1.331,Normal,2024-09-25T12:32:02.562374Z
10/05/2024,97,Big bakasi under the influence,842,1,2024-09-25T12:32:06.891936Z,2096,0.929,Normal,2024-09-25T12:32:06.891936Z
10/05/2024,98,IMOLE 💪🏾❤️,843,1,2024-09-25T12:32:10.439239Z,2097,0.863,Normal,2024-09-25T12:32:10.439239Z
10/05/2024,99,Saint Lucia we on the way !!!,844,1,2024-09-25T12:32:13.919303Z,2098,1.017,Normal,2024-09-25T12:32:13.920304Z
09/05/2024,100,Yall niggas really want me out the game that bad ?? Oya after next album I no do again . So una fit get peace,845,1,2024-09-25T12:32:18.613307Z,2099,1.521,Offensive,2024-09-25T12:32:18.613307Z
09/05/2024,101,Nah God go punish THE SHADE BOROUGH,846,1,2024-09-25T12:32:22.709643Z,2100,1.356,Offensive,2024-09-25T12:32:22.709643Z
08/05/2024,102,WEMBLEY SURE DIE !!!,847,1,2024-09-25T12:32:26.940529Z,2101,1.341,Normal,2024-09-25T12:32:26.940529Z
06/05/2024,103,Music music music music … I’m out 😇,848,1,2024-09-25T12:32:31.351382Z,2102,1.476,Normal,2024-09-25T12:32:31.351382Z
06/05/2024,104,Some Pple Dey get heat stroke some Dey get  HIT STROKE !!!,849,1,2024-09-25T12:32:36.112558Z,2103,2.514,Offensive,2024-09-25T12:32:39.738011Z
05/05/2024,105,Dammy Brazil 🇧🇷 we get alignment,850,1,2024-09-25T21:48:34.618538Z,2104,46.816,Normal,2024-09-25T21:48:34.618538Z
05/05/2024,106,It’s coming out .. we got part 2 part 3 part 4 !!! We ACTIVE !!!,851,1,2024-09-25T21:49:38.294054Z,2105,2.587,Normal,2024-09-25T21:49:38.294054Z
05/05/2024,107,Story story STORYYYYY!!!!!!,852,1,2024-09-25T21:49:43.852960Z,2106,2.088,Normal,2024-09-25T21:49:43.852960Z
05/05/2024,108,"Happy birthday To my brother !! I mean my real brother !  
@chrisbrown
 love you G! ❤️",853,1,2024-09-25T21:51:47.005498Z,2107,105.366,Normal,2024-09-25T21:51:47.005498Z
05/05/2024,109,Habibi come to Dubai !!!!,854,1,2024-09-25T21:51:53.193907Z,2108,1.983,Normal,2024-09-25T21:51:53.193907Z
05/05/2024,110,Mudafuka mudafuka calm down oooo 🎶🎶🎶,855,1,2024-09-25T21:54:35.459902Z,2109,3.342,Offensive,2024-09-25T21:54:35.459902Z
05/05/2024,111,"We active ! 
@MinzNSE
 🤫🤫",856,1,2024-09-25T21:54:40.454542Z,2110,1.253,Normal,2024-09-25T21:54:40.454542Z
30/04/2024,112,"Happy birthday to my Queen !!! Your strength and grace lift me every day! 🎉 Thank you for always being my rock and helping me shut out all the noise with your love. Heres to more joy, laughter, and sweeeet music in our lives. I love you and It’s till infinity!!! ❤️❤️ #ChiomaDay",857,1,2024-09-25T21:55:03.381397Z,2111,1.756,Normal,2024-09-25T21:55:03.381397Z
29/04/2024,113,Size 7 shoe 😂 nigga shop at Footlocker kids,858,1,2024-09-25T21:55:16.295063Z,2112,2.032,Normal,2024-09-25T21:55:16.295063Z
29/04/2024,114,That’s what I thought. Nothing to say! Exactly why I stopped wasting my clout and jeopardizing my millions of usd of endorsements on someone whose career was resurrected a few years ago just to die again. NEXT!!,859,1,2024-09-25T21:55:27.841017Z,2113,1.573,Offensive,2024-09-25T21:55:27.841017Z
29/04/2024,115,WE NOT DELUSIONAL YOU’RE A SICK MAN,860,1,2024-09-25T21:55:32.862877Z,2114,1.117,Offensive,2024-09-25T21:55:32.862877Z
29/04/2024,116,2024 let’s all get active !! WE GO SEE,861,1,2024-09-25T21:55:36.936561Z,2115,0.917,Normal,2024-09-25T21:55:36.936561Z
29/04/2024,117,Drop ur gbedu abeg ..,862,1,2024-09-25T21:55:42.208719Z,2116,3.027,Offensive,2024-09-25T21:56:13.407081Z
29/04/2024,118,They were trying to distract us baby no mind them …. 😍🛩️💸🎂,863,1,2024-09-25T21:55:48.470614Z,2117,2.385,Normal,2024-09-25T21:55:48.470614Z
29/04/2024,119,I can’t wait till 20 years from now 😂 … enjoy ur time,864,1,2024-09-25T21:55:53.636878Z,2118,0.98,Normal,2024-09-25T21:55:53.636878Z
29/04/2024,120,"My prayers are with you family 
@francis_ngannou
 ❤️",865,1,2024-09-25T21:55:57.177390Z,2119,0.86,Normal,2024-09-25T21:55:57.177390Z
29/04/2024,121,When LIGHT  comes darkness VANISHES!!! LETS GET ACTIVE!!,866,1,2024-09-25T21:56:02.458413Z,2120,1.613,Normal,2024-09-25T21:56:02.458413Z
29/04/2024,122,Dem no know ur gbedu again 😂,867,1,2024-09-25T21:56:06.512479Z,2121,0.911,Offensive,2024-09-25T21:56:06.512479Z
29/04/2024,123,Montego Bay we deyaaaaaaa 🏝️,868,1,2024-09-25T21:56:17.600067Z,2122,1.021,Normal,2024-09-25T21:56:17.600067Z
28/04/2024,124,Coco melon or paw patrol ??,869,1,2024-09-25T21:56:27.281566Z,2123,2.048,Normal,2024-09-25T21:56:27.281566Z
28/04/2024,125,Since I came in the game dem never get peace .. I love it ! Make I find somewhere with beach go relax … 🛩️,870,1,2024-09-25T21:56:33.571982Z,2124,2.143,Offensive,2024-09-25T21:56:33.571982Z
28/04/2024,126,Motivation,871,1,2024-09-25T21:56:37.621509Z,2125,0.989,Normal,2024-09-25T21:56:37.621509Z
28/04/2024,127,That one nah ur papa business 😂 https://x.com/Seniormandre/s/Seniormandre/status/1784323515514024178,872,1,2024-09-25T21:56:42.680146Z,2126,1.964,Offensive,2024-09-25T21:56:42.680146Z
27/04/2024,128,I NEED AN ELECTRIC CAR CHARGER SHIPPED TO NAIJA,873,1,2024-09-25T21:56:48.670169Z,2127,2.78,Normal,2024-09-25T21:56:48.670169Z
26/04/2024,129,LETS GET ACTIVE,874,1,2024-09-25T21:56:52.671550Z,2128,0.991,Normal,2024-09-25T21:56:52.671550Z
26/04/2024,130,Lets goooo ! 💪🏾,875,1,2024-09-25T21:56:57.163717Z,2129,1.273,Normal,2024-09-25T21:56:57.163717Z
26/04/2024,131,Shot ah fucking movie !!!,876,1,2024-09-25T21:57:03.323688Z,2130,4.033,Normal,2024-09-25T21:57:13.237867Z
25/04/2024,132,When do you want it ?? 🎥 …,877,1,2024-09-25T21:57:07.901198Z,2131,1.22,Normal,2024-09-25T21:57:07.901198Z
24/04/2024,133,No better feeling,878,1,2024-09-25T21:57:19.091952Z,2132,2.72,Normal,2024-09-25T21:57:19.091952Z
23/04/2024,134,Ur papa,879,1,2024-09-25T21:57:23.652846Z,2133,2.771,Offensive,2024-09-25T21:57:28.157702Z
21/04/2024,135,"NYC we made HISTORY! Thank you to my family, my fans, the special guests, my team and everyone involved for making my first headline performance at 
@TheGarden
 such a timeless night. ⏳

WE did it ❤️",880,1,2024-09-25T21:57:32.544430Z,2134,1.388,Normal,2024-09-25T21:57:32.544430Z
20/04/2024,136,Wow I’m scared,881,1,2024-09-25T21:57:37.689970Z,2135,1.732,Normal,2024-09-25T21:57:37.689970Z
20/04/2024,137,If you hear a snippet .. it’s never coming out 😂,882,1,2024-09-25T21:57:41.709181Z,2136,2.168,Normal,2024-09-25T21:57:45.407936Z
19/04/2024,138,All dmw artist would be moved to Nine + records …. Clearing the air !,883,1,2024-09-25T21:57:50.544491Z,2137,1.354,Normal,2024-09-25T21:57:50.544491Z
18/04/2024,139,"Bruh me and 
@Compozers
 match made in heaven ! I LOVE YALL SO MUCH ! 11 YEARS DEEP!!!!",884,1,2024-09-25T21:57:58.220221Z,2138,4.039,Normal,2024-09-25T21:57:58.220221Z
18/04/2024,140,THANK YOU NEW YORK !!!!!!!! CHAIIII!!! ENERGY!!!!,885,1,2024-09-25T21:58:04.524950Z,2139,2.684,Normal,2024-09-25T21:58:04.524950Z
17/04/2024,141,GAME DAY !! 🏆🏟️,886,1,2024-09-25T21:58:26.629866Z,2140,1.429,Normal,2024-09-25T21:58:26.629866Z
17/04/2024,142,Can’t sleep!! 🗽🗽🗽🤯😀😀😀 IM HYPE!!!,887,1,2024-09-25T21:58:31.885184Z,2141,1.808,Normal,2024-09-25T21:58:31.885184Z
16/04/2024,143,A day to THE GARDEN!!! 🗽⏳💪🏾🇺🇸😈😤,888,1,2024-09-25T21:58:36.056308Z,2142,1.409,Normal,2024-09-25T21:58:36.056308Z
15/04/2024,144,"Live on 
@fox5ny
 now tune in!!",889,1,2024-09-25T21:58:41.665094Z,2143,2.476,Normal,2024-09-25T21:58:41.665094Z
15/04/2024,145,Only jah ❤️,890,1,2024-09-25T21:58:46.090375Z,2144,1.098,Normal,2024-09-25T21:58:46.090375Z
15/04/2024,146,Breakfast club today ! Tune in NYC ! #thegarden in 2 days !!,891,1,2024-09-25T21:58:52.823817Z,2145,1.444,Normal,2024-09-25T21:58:52.823817Z
14/04/2024,147,"Nothing like those NYC nights ⏳

Breaking bread with my people at aliya and enjoying some 
@martell
 is what it’s all about.",892,1,2024-09-25T21:58:58.320708Z,2146,1.352,Normal,2024-09-25T21:58:58.320708Z
13/04/2024,148,I remember this day ..,893,1,2024-09-25T21:59:08.212452Z,2147,2.547,Normal,2024-09-25T21:59:08.212452Z
