"Date","S/N","Tweet","annotation_id","annotator","created_at","id","lead_time","sentiment","updated_at"
"18/07/24",1,"Thanks 😁. Them plenty like that.",1,"1","2024-09-30T08:15:50.196752Z",1,13.872,"Normal","2024-09-30T08:15:50.196933Z"
"11/06/24",2,"Thank you South Africa 🇿🇦",2,"1","2024-09-30T08:16:24.736128Z",2,7.28,"Normal","2024-09-30T08:16:24.736285Z"
"10/07/24",3,"lol una too funny 😂",3,"1","2024-09-30T08:16:37.602505Z",3,18.487000000000002,"Normal","2024-09-30T08:16:55.430301Z"
"08/07/24",4,"Mavins in Paris 🇫🇷",4,"1","2024-09-30T08:19:09.746172Z",4,11.437,"Normal","2024-09-30T08:19:09.746333Z"
"03/07/24",5,"Sorry about that ma. Yes #Mindingmybusiness is out now.",5,"1","2024-09-30T08:19:25.624424Z",5,3.457,"Normal","2024-09-30T08:19:25.624541Z"
"29/06/24",6,"Just show me where they wrote that drinking room temperature water is better for the body than ice water. Something as simple as that. 🤷🏾‍♂️",6,"1","2024-09-30T08:20:49.416461Z",6,19.861,"Normal","2024-09-30T08:20:49.416614Z"
"29/06/24",7,"A life manual from GOD would have helped a lot sha. 🤔",7,"1","2024-09-30T08:21:00.255687Z",7,3.477,"Normal","2024-09-30T08:21:00.255850Z"
"26/06/24",8,"u be baddie?",8,"1","2024-09-30T08:21:09.580481Z",8,2.383,"Normal","2024-09-30T08:21:09.580662Z"
"26/06/24",9,"i dey work on myself. so that when my head correct, my babe go enjoy me.",9,"1","2024-09-30T08:21:22.124058Z",9,2.75,"Normal","2024-09-30T08:21:22.124187Z"
"26/06/24",10,"I be upcoming o. Stay there",10,"1","2024-09-30T08:22:37.661507Z",10,10.472,"Normal","2024-09-30T08:22:37.661988Z"
"26/06/24",11,"I be ashawo na. Na why I never marry.",11,"1","2024-09-30T08:22:45.839214Z",11,4.788,"Normal","2024-09-30T08:22:45.839390Z"
"21/06/24",12,"Turn up your speakers 🔊. New #OpenBareta by @Skiibii  featuring The  @DONJAZZY  🐘",12,"1","2024-09-30T08:23:02.168197Z",12,10.358,"Indeterminate","2024-09-30T08:23:02.168358Z"
"20/06/24",13,"Benin boys touch down tonight. @heisrema",13,"1","2024-09-30T08:23:20.932342Z",13,8.119,"Indeterminate","2024-09-30T08:23:20.932467Z"
"20/06/24",14,"Babanla 🦅 🤍 🐘",14,"1","2024-09-30T08:23:29.380796Z",14,3.075,"Indeterminate","2024-09-30T08:23:29.380967Z"
"14/06/24",15,"Kai let me think first I’m coming. 🤔",15,"1","2024-09-30T08:23:37.560651Z",15,3.542,"Normal","2024-09-30T08:23:37.560798Z"
"06/06/24",16,"You don’t know me like that, so why you come Dey acting familiar. 😁  @kennyflexmadu",16,"1","2024-09-30T08:23:50.029290Z",16,6.072,"Normal","2024-09-30T08:23:50.029495Z"
"01/06/24",17,"Your mental health is the currency you use to subscribe to Twitter in 2024. 🐘",17,"1","2024-09-30T08:27:15.416980Z",17,22.876,"Normal","2024-09-30T08:27:15.417151Z"
"01/06/24",18,"Make e drop. Una wahala too much for here.",18,"1","2024-09-30T08:27:27.412328Z",18,7.878,"Indeterminate","2024-09-30T08:27:27.412504Z"
"01/06/24",19,"And it’s so sad. The women put in soooo much work.",19,"1","2024-09-30T08:27:32.758944Z",19,1.957,"Normal","2024-09-30T08:27:32.759090Z"
