Date,S/N,Tweets,annotation_id,annotator,created_at,id,lead_time,sentiment,updated_at
18/09/2024,1,Light Dey today thank God,1521,1,2024-09-25T23:50:08.635595Z,3000,2.88,Normal,2024-09-25T23:50:08.635595Z
18/09/2024,2,Celibate but your vibrator no dey rest 💨💐,1522,1,2024-09-25T23:50:12.713892Z,3001,0.628,Offensive,2024-09-25T23:50:12.713892Z
18/09/2024,3,Omo dem don release Christain diss track for all of una 😂🤣 blasttttttt,1523,1,2024-09-25T23:50:20.792104Z,3002,3.196,Offensive,2024-09-25T23:50:20.792104Z
17/09/2024,4,"A man must always be ready for war. Mentally, spiritually, physically, and financially.",1524,1,2024-09-25T23:50:25.985268Z,3003,1.352,Normal,2024-09-25T23:50:25.985268Z
17/09/2024,5,Even your fav Dey wait make their fav drop too no be only you Dey wait my fans 💨,1525,1,2024-09-25T23:50:32.579980Z,3004,0.932,Normal,2024-09-25T23:50:32.579980Z
17/09/2024,6,I don’t wanna loose my mind 💨⚰️,1526,1,2024-09-25T23:50:36.823541Z,3005,0.628,Normal,2024-09-25T23:50:36.823541Z
17/09/2024,7,"The first track I go leak for this Goat album na DSC 💨💨💐🤤 

old warri  Dey play",1527,1,2024-09-25T23:50:41.885032Z,3006,1.005,Normal,2024-09-25T23:50:41.885032Z
17/09/2024,8,I’m so bored I might fuck around and leak this album na management go suffer damage control 💨🤤⚰️,1528,1,2024-09-25T23:50:49.380273Z,3007,6.9,Offensive,2024-09-25T23:50:56.304222Z
17/09/2024,9,"The fact that strangers show you love, doesn't mean you should accept them as friends..some are better kept as strangers...",1529,1,2024-09-25T23:51:00.334483Z,3008,0.657,Normal,2024-09-25T23:51:00.334483Z
16/09/2024,10,"President asiwaju the Declan Rice of our time I greet u oh, no light share rice, no fuel share rice, bad road share rice. Still try they add beans oh abeg..bcos u Dey quick shout eeh Eeh !!!!",1530,1,2024-09-25T23:51:15.717099Z,3009,6.65,Normal,2024-09-25T23:51:15.717099Z
16/09/2024,11,200 million Nigerians experienced today in a different way,1531,1,2024-09-25T23:51:19.898895Z,3010,0.607,Normal,2024-09-25T23:51:19.898895Z
16/09/2024,12,Nigeria problem big oh,1532,1,2024-09-25T23:51:23.330568Z,3011,0.536,Normal,2024-09-25T23:51:23.330568Z
16/09/2024,13,I don call am three times dem still ask me who goes me for here oooooo,1533,1,2024-09-25T23:51:30.256854Z,3012,1.984,Normal,2024-09-25T23:51:30.256854Z
16/09/2024,14,This chosen matter how una see am ?,1534,1,2024-09-25T23:51:37.585794Z,3013,5.173,Normal,2024-09-25T23:51:37.585794Z
15/09/2024,15,The things that make you rich are Free 💨🔑,1535,1,2024-09-25T23:51:42.276670Z,3014,0.679,Normal,2024-09-25T23:51:42.276670Z
14/09/2024,16,Who don go upgrade 1997 lexus to 2034 Prado for this lagos so 🥴,1536,1,2024-09-25T23:51:47.140438Z,3015,1.179,Normal,2024-09-25T23:51:47.140438Z
14/09/2024,17,Love is forgotten so I’m moving on,1537,1,2024-09-25T23:51:51.070202Z,3016,0.812,Normal,2024-09-25T23:51:51.070202Z
14/09/2024,18,Who and who Dey benin this nite ?,1538,1,2024-09-25T23:51:55.547269Z,3017,0.698,Normal,2024-09-25T23:51:55.547269Z
14/09/2024,19,"If you still look at the toilet paper after wiping your ass....my friend, you have a problem of letting go of the past..",1539,1,2024-09-25T23:52:02.673902Z,3018,2.081,Offensive,2024-09-25T23:52:02.673902Z
13/09/2024,20,"Babes Just knack the guy and let him go, no be everything be relationship",1540,1,2024-09-25T23:52:07.786381Z,3019,0.687,Offensive,2024-09-25T23:52:07.786381Z
12/09/2024,21,Someone define Afro beats and let’s all rest …,1541,1,2024-09-25T23:52:12.030379Z,3020,0.752,Normal,2024-09-25T23:52:12.030379Z
12/09/2024,22,I thought Afro is about Africa and not only Nigeria Abi make we kuakua call am Nifrobeat beats ?,1542,1,2024-09-25T23:52:17.330594Z,3021,1.529,Normal,2024-09-25T23:52:17.330594Z
12/09/2024,23,"Babe is not what you think he put me in a different hotel room we did not sleep same room

Reply as an understanding boyfriend",1543,1,2024-09-25T23:52:26.349568Z,3022,4.315,Normal,2024-09-25T23:52:26.349568Z
11/09/2024,24,Sitting on your hands and wondering why nothing is working 💨🪴,1544,1,2024-09-25T23:52:31.084598Z,3023,1.17,Normal,2024-09-25T23:52:31.084598Z
11/09/2024,25,I’m a simple man but sometimes it gets confusing,1545,1,2024-09-25T23:52:35.492102Z,3024,0.63,Normal,2024-09-25T23:52:35.492102Z
10/09/2024,26,"Stop giving, if you are giving because you want God to bless you. That's Business

Transactional Generosity 💨🙏🙏",1546,1,2024-09-25T23:52:41.119365Z,3025,1.219,Normal,2024-09-25T23:52:41.119365Z
