Date,S/N,Tweets,annotation_id,annotator,created_at,id,lead_time,sentiment,updated_at
12/08/2024,1,"
Please allow me to focus and do my music in peace.
As for the EFCC matter, I will address it before the end of today. Stay tuned! Peace✌🏾
                                                        
                                    PETER OKOYE.",2047,1,2024-09-26T13:51:13.205392Z,4338,1239.977,Normal,2024-09-26T13:51:13.205392Z
09/08/2024,2,"
Soonest! In works 🙅🏽‍♂️",2048,1,2024-09-26T13:51:33.434227Z,4339,0.727,Normal,2024-09-26T13:51:33.434227Z
06/08/2024,3,"
Diamonds, they say, are forever. 💎💎💎💎💎💎💎 My dear fans, please be patient! 🙅🏽‍♂️🙏🏽",2049,1,2024-09-26T13:51:38.790517Z,4340,0.583,Normal,2024-09-26T13:51:38.790517Z
03/08/2024,4,"

Suya language.😂🤣",2050,1,2024-09-26T13:51:43.761474Z,4341,0.737,Normal,2024-09-26T13:51:43.761474Z
31/07/2024,5,"
RIP Ma Onyeka onwenu🕯️💔😔🕊️😥",2051,1,2024-09-26T13:51:48.383214Z,4342,0.631,Normal,2024-09-26T13:51:48.383214Z
24/07/2024,6,"
Read my pinned post. Good will surely pay me back positively. I trust him so much with faith! 🙏🏽",2052,1,2024-09-26T13:51:53.099519Z,4343,0.733,Normal,2024-09-26T13:51:53.099519Z
23/07/2024,7,"
SCAM!⛔️Better Run🏃‍♂️ 
Giveaway means that Someone is giving away money for free! Not someone telling you to pay money or buy tickets to receive a giveaway🫣 I thought they said Nigerians are wise people. SMH",2053,1,2024-09-26T13:51:59.145984Z,4344,1.546,Normal,2024-09-26T13:51:59.145984Z
08/07/2024,8,"
Read my pinned tweet",2054,1,2024-09-26T13:52:03.540284Z,4345,0.658,Normal,2024-09-26T13:52:03.540284Z
07/07/2024,9,"
They say consistency is key🔑, so I am on it 💯👌🏾",2055,1,2024-09-26T13:52:07.771288Z,4346,0.543,Normal,2024-09-26T13:52:07.771288Z
26/06/2024,10,"
It won't be long now! It's all coming together as we chat.",2056,1,2024-09-26T13:52:12.314023Z,4347,0.727,Normal,2024-09-26T13:52:12.314023Z
25/06/2024,11,"
Special Congratulations Mr & Mrs David Adeleke🫶🏾 
@davido
 
@thechefchi
 #chivido2024",2057,1,2024-09-26T13:52:16.451518Z,4348,0.553,Normal,2024-09-26T13:52:16.451518Z
17/06/2024,12,"
Still celebrating Father’s Day as a proud dad☺️🙅🏽‍♂️ 
We are super proud of you ALIONA☺️👌🏾👯👯‍♀️👯‍♂️🫅 #Cheerleading #MissCheerleading",2058,1,2024-09-26T13:52:21.856532Z,4349,0.628,Normal,2024-09-26T13:52:21.856532Z
10/06/2024,13,"
Pls becareful…. Read my pinned tweet.",2059,1,2024-09-26T13:52:25.383667Z,4350,0.494,Normal,2024-09-26T13:52:25.383667Z
31/05/2024,14,"
Read my pinned tweet. Be wiser.",2060,1,2024-09-26T13:52:29.164434Z,4351,0.714,Normal,2024-09-26T13:52:29.164434Z
18/05/2024,15,"

UPDATE: And i made it for over an hr 30min on stage! Thank you, Istanbul, for the love! And to everyone who made sure I was ok! Remain blessed, y’all.🙅🏽‍♂️🇹🇷",2061,1,2024-09-26T13:52:33.193578Z,4352,0.777,Normal,2024-09-26T13:52:33.193578Z
17/05/2024,16,"

UPDATE: The Surgery hair implant went well and successful! I appreciate everyone looking out for me. I want to say a big Thank You!  I'll still be performing tonight at @foxclubistanbul with a bandage on my head. The show must go on! All tickets SOLD OUT already! Let's do this!",2062,1,2024-09-26T13:52:37.920112Z,4353,1.333,Normal,2024-09-26T13:52:37.920112Z
01/05/2024,17,"

Am I dreaming? No! I am living my dream. ",2063,1,2024-09-26T13:52:41.088522Z,4354,0.54,Normal,2024-09-26T13:52:41.088522Z
18/04/2024,18,"
Just disguising😷",2064,1,2024-09-26T13:52:44.667093Z,4355,0.569,Normal,2024-09-26T13:52:44.667093Z
25/04/2024,19,"
You should contemplate the reasons behind your actions. Please take a moment to review my pinned tweet.",2065,1,2024-09-26T13:52:47.914824Z,4356,0.422,Normal,2024-09-26T13:52:47.914824Z
16/04/2024,20,"
Scam! Run 🏃",2066,1,2024-09-26T13:52:52.358035Z,4357,1.114,Normal,2024-09-26T13:52:52.358035Z
15/04/2024,21,"

I do not require any evidence to refute any claims. I did not accuse you of lying because you were scammed. Yes, you were deceived by fraudsters who established a Facebook page purporting to be me, but it was never my verified page. The reality is that the Facebook page you mentioned was never affiliated with me. Therefore, hold yourself responsible for the mistake of engaging with an unverified, random Facebook account just because the individual used my name and picture but did not have a verified Facebook account. Period.
",2067,1,2024-09-26T14:16:22.446538Z,4358,8.249,Normal,2024-09-26T14:16:22.446538Z
14/04/2024,22,"
Chai! You don catch me😩",2068,1,2024-09-26T14:16:27.395056Z,4359,0.619,Normal,2024-09-26T14:16:27.395056Z
13/04/2024,23,"
Just here living a fulfilled life that God has given me. Blessed #Spain🇪🇸",2069,1,2024-09-26T14:16:33.365684Z,4360,0.739,Normal,2024-09-26T14:16:33.365684Z
13/04/2024,24,"
Thanks a bunch, dear brother! Always a pleasure! 🙅‍♂️",2070,1,2024-09-26T14:17:13.565328Z,4361,2.322,Normal,2024-09-26T14:17:13.565328Z
13/04/2024,25,"

Taking a stroll down memory lane from 5years ago with 
@laliga
. I find myself back again, equipped with additional experience. #ProjectCameronOkoye",2071,1,2024-09-26T14:17:17.741382Z,4362,0.916,Normal,2024-09-26T14:17:17.741382Z
12/04/2024,26,"
Point of clarification! No one has used my Facebook account for any unauthorized activities! My Facebook account is verified! Please take the time to read my pinned tweet! Exercise more caution in the future.",2072,1,2024-09-26T14:17:36.937386Z,4363,13.151,Normal,2024-09-26T14:17:36.937386Z
09/04/2024,27,"
A couple of weeks from now, I will be embarking on a journey with my fans, friends, and family to showcase all that I have been diligently working on! I am particularly thrilled about the entire process and the project as a whole.✌🏾🙅🏽‍♂️",2073,1,2024-09-26T14:18:45.625658Z,4364,31.797,Normal,2024-09-26T14:18:45.625658Z
04/04/2024,28,"

Show some love for the Blues! The Boy Wonder and the team did it!💙💙💙💙💙💙💙💙💙💙 
@ChelseaFC",2074,1,2024-09-26T14:18:50.333227Z,4365,1.633,Normal,2024-09-26T14:18:50.333227Z
30/03/2024,29,"
Still here! Nothing to prove anymore but enjoying 😊🙅🏽‍♂️🙅🏽‍♂️",2075,1,2024-09-26T14:18:54.348077Z,4366,0.834,Normal,2024-09-26T14:18:54.348077Z
21/03/2024,30,"
Tell ‘em that it’s human nature!
 If they say why (why?)☺️🙅🏽‍♂️",2076,1,2024-09-26T14:18:58.473961Z,4367,0.775,Normal,2024-09-26T14:18:58.473961Z
11/03/2024,31,"
Blessed! 😇🙏🏽🙅🏽‍♂️",2077,1,2024-09-26T14:19:01.855988Z,4368,0.588,Normal,2024-09-26T14:19:01.855988Z
07/03/2024,32,"
Thursday afternoon with love!🖤🩶",2078,1,2024-09-26T14:19:05.602644Z,4369,0.505,Normal,2024-09-26T14:19:05.618276Z
02/03/2024,33,"
Rest well Mr Ibu. 
We will definitely miss you! 🕊️🕯️🕯️🕯️🙏🏽💔 #RIP.",2079,1,2024-09-26T14:19:08.877856Z,4370,0.454,Normal,2024-09-26T14:19:08.877856Z
25/02/2024,34,"
My Sunday is happy 🙃… how about yours?",2080,1,2024-09-26T14:19:12.378799Z,4371,0.486,Normal,2024-09-26T14:19:12.378799Z
20/02/2024,35,"
Bro check your dm.",2081,1,2024-09-26T14:19:15.806997Z,4372,0.54,Normal,2024-09-26T14:19:15.806997Z
08/02/2024,36,"
Read my pinned tweet.",2082,1,2024-09-26T14:19:19.054282Z,4373,0.396,Normal,2024-09-26T14:19:19.054282Z
31/01/2024,37,"
Forever blessed and grateful! 😇🙏🏽🫶🏾🙅🏽‍♂️",2083,1,2024-09-26T14:19:22.316454Z,4374,0.434,Normal,2024-09-26T14:19:22.316454Z
28/01/2024,38,"

Scam!!! Run!🏃",2084,1,2024-09-26T14:19:38.153963Z,4375,0.764,Normal,2024-09-26T14:19:38.153963Z
