Date,Tweets,S/N,annotation_id,annotator,created_at,id,lead_time,sentiment,updated_at
07/06/2024,We made it! Thank you BORN IN THE WILD OUT NOW,1,2447,1,2024-10-01T10:26:46.120853Z,5337,30.214,Normal,2024-10-01T10:26:46.120853Z
26/07/2024,"Miami, thank you!",2,2448,1,2024-10-01T10:26:50.470999Z,5338,0.814,Normal,2024-10-01T10:26:50.470999Z
25/08/2024,It’s officially “I will wait” now though I just thought it was funny af,3,2449,1,2024-10-01T10:26:59.073373Z,5339,5.405,Normal,2024-10-01T10:26:59.073373Z
27/08/2024,You’re too fine!??????,4,2450,1,2024-10-01T10:27:04.635462Z,5340,2.553,Normal,2024-10-01T10:27:04.635462Z
25/08/2024,Maybe now it’s time for me to confess that it was always “I won’t wait for you” but I sang it in a British accent ?? so it came out as “wun” ??,5,2451,1,2024-10-01T10:27:16.405559Z,5341,5.416,Normal,2024-10-01T10:27:16.405559Z
21/08/2024,"Very Mindful, Very Tems, Very ESSENCE?",6,2452,1,2024-10-01T10:27:21.063786Z,5342,1.467,Normal,2024-10-01T10:27:21.063786Z
20/08/2024,US TOUR begins Thursday!! See you soon Miami!!????????,7,2453,1,2024-10-01T10:27:24.514601Z,5343,0.659,Normal,2024-10-01T10:27:24.514601Z
01/08/2024,"Out of respect for the on going protest at home????, I have decided to postpone the release of Burning music video. Praying for the safety of those outside at this time. 
May the voice of the people be heard?????",8,2454,1,2024-10-01T10:27:30.783460Z,5344,3.344,Normal,2024-10-01T10:27:30.783460Z
21/07/2024,I’m so excited to be in Barbados!!! ????????????,9,2455,1,2024-10-01T10:27:37.418731Z,5345,0.736,Normal,2024-10-01T10:27:37.418731Z
12/07/2024,Until next time Germany! ?????,10,2456,1,2024-10-01T10:27:41.089165Z,5346,0.623,Normal,2024-10-01T10:27:41.089165Z
07/07/2024,Oslo! I love you ???????,11,2457,1,2024-10-01T10:27:45.333977Z,5347,0.758,Normal,2024-10-01T10:27:45.333977Z
02/07/2024,HE HE HE HE HE HE!!,12,2458,1,2024-10-01T10:27:49.404517Z,5348,0.841,Normal,2024-10-01T10:27:49.404517Z
21/06/2024,"Thank you for having me boo, I had the best time!!????",13,2459,1,2024-10-01T10:27:52.935728Z,5349,0.601,Normal,2024-10-01T10:27:52.935728Z
19/06/2024,"
LV Level 10 ?????",14,2460,1,2024-10-01T10:27:56.406843Z,5350,0.664,Normal,2024-10-01T10:27:56.406843Z
16/06/2024,"
Girl oh Girl ????????????",15,2461,1,2024-10-01T10:27:59.949562Z,5351,0.523,Normal,2024-10-01T10:27:59.949562Z
15/06/2024,"
FLOMAR!! I LOVE YOU?????????????????",16,2462,1,2024-10-01T10:28:02.944847Z,5352,0.556,Normal,2024-10-01T10:28:02.944847Z
14/06/2024,"
Wickedest! ??????????",17,2463,1,2024-10-01T10:28:06.363710Z,5353,0.493,Normal,2024-10-01T10:28:06.363710Z
14/06/2024,"
Sometimes I want to Strangle youuu??",18,2464,1,2024-10-01T10:28:10.060219Z,5354,0.632,Offensive,2024-10-01T10:28:10.060219Z
12/06/2024,"
Day 1- LONDON ??",19,2465,1,2024-10-01T10:28:13.754442Z,5355,0.572,Normal,2024-10-01T10:28:13.754442Z
10/06/2024,"
BURNING…???????????????",20,2466,1,2024-10-01T10:28:17.053573Z,5356,0.555,Normal,2024-10-01T10:28:17.053573Z
10/06/2024,"
What’s songs are the Gang feeling for the shows? I wanna knowww????????",21,2467,1,2024-10-01T10:28:22.106784Z,5357,0.8,Normal,2024-10-01T10:28:22.106784Z
10/06/2024,"
They really got me performing on my birthday??????????????
Spending it with all of you tomorrow!??",22,2468,1,2024-10-01T10:28:25.679343Z,5358,0.861,Normal,2024-10-01T10:28:25.679343Z
07/06/2024,"
GANGSTA- Track 8 #Borninthewild ??",23,2469,1,2024-10-01T10:28:29.407315Z,5359,0.936,Normal,2024-10-01T10:28:29.407315Z
07/06/2024,FRR!! Thank you so much baby girl!!,24,2470,1,2024-10-01T10:28:33.519370Z,5360,0.988,Normal,2024-10-01T10:28:33.519370Z
06/06/2024,Last day at the No album waiting roommm,26,2472,1,2024-10-01T10:28:40.380893Z,5362,0.563,Normal,2024-10-01T10:28:40.380893Z
02/06/2024,"

Really enjoyed hanging out with you girl??
Love you too! Thank you???????????",27,2473,1,2024-10-01T10:28:43.742726Z,5363,0.49,Normal,2024-10-01T10:28:43.742726Z
01/06/2024,"
@korty_EO
I cant remember a single thing ??????. if you hear anything crazy, it’s not me it’s my clone!!",28,2474,1,2024-10-01T10:28:48.175873Z,5364,1.274,Normal,2024-10-01T10:28:48.175873Z
01/06/2024,Don’t fold!! I love it,30,2476,1,2024-10-01T10:28:56.613350Z,5366,0.683,Normal,2024-10-01T10:28:56.613350Z
31/05/2024,"
A Starrrr indeed! it’s INCREDIBLE!
Congratulations sweetest girl!! 
@ayrastarr

“I don fall in loveee”????????????",31,2477,1,2024-10-01T10:28:59.961307Z,5367,0.621,Normal,2024-10-01T10:28:59.961307Z
24/05/2024,"
@ameliadimz
took me on a date and I really enjoyed myself ??????? Chicken shop date out now????",32,2478,1,2024-10-01T10:29:04.207066Z,5368,1.12,Normal,2024-10-01T10:29:04.207066Z
23/05/2024,"
It only works if you trust God wholeheartedly. #BORNINTHEWILD???",33,2479,1,2024-10-01T10:29:08.429672Z,5369,0.918,Normal,2024-10-01T10:29:08.429672Z
23/05/2024,"
Had to borrow my mums office clothes??
The shoe??????????????",34,2480,1,2024-10-01T10:29:11.948897Z,5370,0.555,Normal,2024-10-01T10:29:11.948897Z
16/05/2024,"
My first child. Look at you now",35,2481,1,2024-10-01T10:29:15.442311Z,5371,0.637,Normal,2024-10-01T10:29:15.442311Z
10/05/2024,"

Omg this made my day! Miss ma’am!!Imma need to send names to 
@IAmDonawon
right now. 3 tix for you! Love you??????
See you real soon",36,2482,1,2024-10-01T10:29:20.983867Z,5372,2.168,Normal,2024-10-01T10:29:20.983867Z
10/05/2024,"
This is my most special moment. Everything I have I put into this. Thank you all so much for believing in me. 
BORN IN THE WILD. JUNE 7th ??????",37,2483,1,2024-10-01T10:29:24.254313Z,5373,0.698,Normal,2024-10-01T10:29:24.254313Z
09/05/2024,"
God is the Greatest.",38,2484,1,2024-10-01T10:29:28.065894Z,5374,0.606,Normal,2024-10-01T10:29:28.065894Z
