Date,S/N,Tweets,annotation_id,annotator,created_at,id,lead_time,sentiment,updated_at
17/09/2024,1,"
heaven no fit fall down",2683,1,2024-10-01T11:00:13.824161Z,6337,1.985,Normal,2024-10-01T11:00:13.824161Z
16/09/2024,2,"
🫂 hug yourself",2684,1,2024-10-01T11:00:18.919853Z,6338,2.055,Normal,2024-10-01T11:00:18.919853Z
14/09/2024,3,"
not even half a fuck",2685,1,2024-10-01T11:00:23.220485Z,6339,0.808,Offensive,2024-10-01T11:00:23.220485Z
13/09/2024,4,"
Train, bus, submarine, boat, heli, plane, horse just name it. for gidichow indomie",2686,1,2024-10-01T11:00:30.203845Z,6340,1.228,Normal,2024-10-01T11:00:30.203845Z
13/09/2024,5,"
Fly from anywhere in the world to eat gidichow and that’s on everything I love",2687,1,2024-10-01T11:00:34.440949Z,6341,1.393,Normal,2024-10-01T11:00:34.440949Z
29/08/2024,6,"
love light and motion 🤞🏾❤️",2688,1,2024-10-01T11:00:37.882280Z,6342,0.678,Normal,2024-10-01T11:00:37.882280Z
28/08/2024,7,"
GOD ABEG 🙏🏽",2689,1,2024-10-01T11:00:41.162979Z,6343,0.605,Normal,2024-10-01T11:00:41.162979Z
28/08/2024,8,"
Crayon must be protected! ",2690,1,2024-10-01T11:00:45.494471Z,6344,0.689,Normal,2024-10-01T11:00:45.494471Z
27/08/2024,9,"
lots of heart",2691,1,2024-10-01T11:00:58.146696Z,6345,1.31,Normal,2024-10-01T11:00:58.146696Z
26/08/2024,10,"
Na music dey burst my head",2692,1,2024-10-01T11:01:01.726280Z,6346,0.941,Normal,2024-10-01T11:01:01.726280Z
25/08/2024,11,"
once you know, don’t forget",2693,1,2024-10-01T11:01:04.859988Z,6347,0.646,Normal,2024-10-01T11:01:04.859988Z
20/08/2024,12,"
Good music! forever music.",2694,1,2024-10-01T11:01:08.221611Z,6348,0.834,Normal,2024-10-01T11:01:08.221611Z
18/08/2024,13,"

Eye dey see shege for fitfam but we move, sexy is here 🤞🏾",2695,1,2024-10-01T11:01:11.483312Z,6349,0.639,Normal,2024-10-01T11:01:11.483312Z
17/08/2024,14,"
Thank God for correct uncles and Aunties ❤️🌹",2696,1,2024-10-01T11:01:14.467063Z,6350,0.508,Normal,2024-10-01T11:01:14.467063Z
17/08/2024,15,"
Outside too hot, inside AC too cold. Life and balance dey fight",2697,1,2024-10-01T11:01:18.275880Z,6351,0.654,Normal,2024-10-01T11:01:18.276895Z
17/08/2024,16,Na now you just dey find out,2698,1,2024-10-01T11:01:23.419443Z,6352,2.311,Normal,2024-10-01T11:01:23.419443Z
17/08/2024,17,"
The juju nearly work https://x.com/zavibaby103/st/zavibaby103/status/1824826018625925543",2699,1,2024-10-01T11:01:26.752909Z,6353,0.688,Normal,2024-10-01T11:01:26.752909Z
17/08/2024,18,"


90 summers of we’re lucky! Enjoy your time",2700,1,2024-10-01T11:01:30.481090Z,6354,0.623,Normal,2024-10-01T11:01:30.481090Z
17/08/2024,19,"
No be me kuku cause Nigeria problem",2701,1,2024-10-01T11:01:33.811040Z,6355,0.774,Offensive,2024-10-01T11:01:33.811040Z
17/08/2024,20,"
You dey crase",2702,1,2024-10-01T11:01:38.637987Z,6356,2.161,Offensive,2024-10-01T11:01:38.637987Z
17/08/2024,21,"
S/O my mama 🌹",2703,1,2024-10-01T11:01:46.791802Z,6357,4.901,Normal,2024-10-01T11:01:46.791802Z
17/08/2024,22,"
I love you too 🤞🏾",2704,1,2024-10-01T11:02:03.085166Z,6358,3.327,Normal,2024-10-01T11:02:03.085166Z
17/08/2024,23,"
Been around the world! And we go again",2705,1,2024-10-01T11:02:11.726464Z,6359,102.145,Normal,2024-10-01T11:03:55.691740Z
17/08/2024,24,"
America 🇺🇸",2706,1,2024-10-01T11:03:59.553395Z,6360,0.725,Normal,2024-10-01T11:03:59.553395Z
17/08/2024,25,beautiful onyinye,2707,1,2024-10-01T11:04:02.901102Z,6361,0.61,Normal,2024-10-01T11:04:02.901102Z
17/08/2024,26,"

Make Psqaure just fight, on a boxing ring p 🥊",2708,1,2024-10-01T11:04:07.021723Z,6362,0.607,Offensive,2024-10-01T11:04:07.021723Z
15/08/2024,27,"
God too real! ❤️🌹",2709,1,2024-10-01T11:04:11.291503Z,6363,1.063,Normal,2024-10-01T11:04:11.291503Z
14/08/2024,28,"
Nobody spread rumor pass people wey no know wetin happen",2710,1,2024-10-01T11:04:16.685459Z,6364,1.802,Normal,2024-10-01T11:04:16.685459Z
13/08/2024,29,"
Real life superhero 🤞🏾🚀",2711,1,2024-10-01T11:04:20.284043Z,6365,0.547,Normal,2024-10-01T11:04:20.284043Z
10/08/2024,30,"
Cheers! To the citizens of the world ❤️🚀",2712,1,2024-10-01T11:04:23.296732Z,6366,0.647,Normal,2024-10-01T11:04:23.296732Z
10/08/2024,31,"
Life a merry go round. Enjoy it 🤞🏾",2713,1,2024-10-01T11:04:27.479285Z,6367,0.921,Normal,2024-10-01T11:04:27.479285Z
30/07/2024,32,"
Wanna be my accountability partner?? You’ve done so well!! ❤️🌹",2714,1,2024-10-01T11:04:33.335841Z,6368,2.546,Normal,2024-10-01T11:04:33.335841Z
30/07/2024,33,"
God direction and protection 🤞🏾",2715,1,2024-10-01T11:04:37.118609Z,6369,0.895,Normal,2024-10-01T11:04:37.118609Z
29/07/2024,34,"
me wey I know 😂",2716,1,2024-10-01T11:04:41.679381Z,6370,0.604,Normal,2024-10-01T11:04:41.679381Z
29/07/2024,35,"
Bastard stubborn",2717,1,2024-10-01T11:04:45.007236Z,6371,0.698,Offensive,2024-10-01T11:04:45.007236Z
22/07/2024,36,"
Don’t be ungrateful to God",2718,1,2024-10-01T11:04:48.311114Z,6372,0.617,Normal,2024-10-01T11:04:48.311114Z
19/07/2024,37,"
real sky flyer",2719,1,2024-10-01T11:04:51.821642Z,6373,0.768,Normal,2024-10-01T11:04:51.821642Z
16/07/2024,38,"

Thank you God for music, thank you for my gift 💝",2720,1,2024-10-01T11:04:55.147411Z,6374,0.703,Normal,2024-10-01T11:04:55.147411Z
14/07/2024,39,"
I’ll tell the stories of our lives!",2721,1,2024-10-01T11:04:58.263603Z,6375,0.547,Normal,2024-10-01T11:04:58.263603Z
12/07/2024,40,"
What shoe for Friday??",2722,1,2024-10-01T11:05:02.692629Z,6376,0.57,Normal,2024-10-01T11:05:02.692629Z
11/07/2024,41,"
God everyday",2723,1,2024-10-01T11:05:05.931459Z,6377,0.618,Normal,2024-10-01T11:05:05.931459Z
10/07/2024,42,"
Thank you God for everything ❤️🚀",2724,1,2024-10-01T11:05:10.649096Z,6378,0.907,Normal,2024-10-01T11:05:10.649096Z
09/07/2024,43,"
God be praised",2725,1,2024-10-01T11:05:13.947963Z,6379,0.689,Normal,2024-10-01T11:05:13.947963Z
08/07/2024,44,"
friend or foe",2726,1,2024-10-01T11:05:17.462796Z,6380,0.653,Normal,2024-10-01T11:05:17.462796Z
08/07/2024,45,"

HOW MUCH MONEY DO YOU NEED?",2727,1,2024-10-01T11:05:20.709374Z,6381,0.847,Normal,2024-10-01T11:05:20.709374Z
08/07/2024,46,"

Like 100 trillion zillion",2728,1,2024-10-01T11:05:24.608084Z,6382,0.838,Normal,2024-10-01T11:05:24.608084Z
04/07/2024,47,"

mtchew",2729,1,2024-10-01T11:05:27.836563Z,6383,0.65,Normal,2024-10-01T11:05:27.836563Z
24/06/2024,48,"
African 🏀",2730,1,2024-10-01T11:05:31.016303Z,6384,0.604,Normal,2024-10-01T11:05:31.016303Z
24/06/2024,49,"
Just a little more",2731,1,2024-10-01T11:05:33.862097Z,6385,0.473,Normal,2024-10-01T11:05:33.862097Z
24/06/2024,50,"
Everyday",2732,1,2024-10-01T11:05:37.109140Z,6386,0.69,Normal,2024-10-01T11:05:37.109140Z
22/06/2024,51,"
young menace 🎩",2733,1,2024-10-01T11:05:40.622142Z,6387,0.679,Indeterminate,2024-10-01T11:05:40.622142Z
17/06/2024,52,"
Love the sky",2734,1,2024-10-01T11:05:44.297722Z,6388,0.604,Normal,2024-10-01T11:05:44.297722Z
14/06/2024,53,"

The bag is nice.",2735,1,2024-10-01T11:05:47.499471Z,6389,0.616,Normal,2024-10-01T11:05:47.499471Z
13/06/2024,54,"

Breakieeee",2736,1,2024-10-01T11:05:53.841708Z,6390,3.791,Indeterminate,2024-10-01T11:05:53.841708Z
13/06/2024,55,"

Gidi chow indomie in my headdddddd like everyday because whyyyyyyyy 😫😫😫😫😫😫",2737,1,2024-10-01T11:06:01.502337Z,6391,4.347,Normal,2024-10-01T11:06:01.502337Z
12/06/2024,56,"

It’s 7pm in LA B",2738,1,2024-10-01T11:06:04.965314Z,6392,0.751,Normal,2024-10-01T11:06:04.965314Z
12/06/2024,57,"
Wetin you dey talk",2739,1,2024-10-01T11:06:08.893498Z,6393,1.29,Indeterminate,2024-10-01T11:06:08.893498Z
12/06/2024,58,"
laugh",2740,1,2024-10-01T11:06:12.226935Z,6394,0.636,Normal,2024-10-01T11:06:12.226935Z
11/06/2024,59,"
Overthinking no fit solve problem 💡.",2741,1,2024-10-01T11:06:15.736468Z,6395,0.635,Normal,2024-10-01T11:06:15.736468Z
10/06/2024,60,"
Follow your heart, if dem break am, mend am, make dem break am again.",2742,1,2024-10-01T11:06:21.616829Z,6396,2.512,Normal,2024-10-01T11:06:21.616829Z
05/06/2024,61,"
You go see true colors you go color blind",2743,1,2024-10-01T11:06:25.662157Z,6397,0.582,Normal,2024-10-01T11:06:25.662157Z
04/06/2024,62,youthful old soul,2744,1,2024-10-01T11:06:30.637753Z,6398,0.752,Normal,2024-10-01T11:06:30.637753Z
03/06/2024,63,"
We ain’t never gon stop!!!!!!",2745,1,2024-10-01T11:06:34.420920Z,6399,0.61,Normal,2024-10-01T11:06:34.420920Z
03/06/2024,64,"
Gods love is the highest ❤️🚀",2746,1,2024-10-01T11:06:37.762918Z,6400,0.632,Normal,2024-10-01T11:06:37.762918Z
03/06/2024,65,"

needle and thread",2747,1,2024-10-01T11:06:42.776086Z,6401,1.048,Normal,2024-10-01T11:06:42.776086Z
01/06/2024,66,"
💦🔫 ready",2748,1,2024-10-01T11:06:47.822893Z,6402,2.32,Normal,2024-10-01T11:06:47.822893Z
01/06/2024,67,"
summer is here, clean your pools",2749,1,2024-10-01T11:06:51.169511Z,6403,0.654,Normal,2024-10-01T11:06:51.169511Z
31/05/2024,68,take care of you,2750,1,2024-10-01T11:06:55.881415Z,6404,1.105,Normal,2024-10-01T11:06:55.881415Z
30/05/2024,69,"

Eleribu ri olorire so pe the same ni won.",2751,1,2024-10-01T11:07:02.173693Z,6405,1.882,Offensive,2024-10-01T11:07:02.173693Z
30/05/2024,70,"
On this journey, make it worth while. enjoy no matter what",2752,1,2024-10-01T11:07:09.451883Z,6406,2.947,Normal,2024-10-01T11:07:09.451883Z
30/05/2024,71,"
happiness everyday",2753,1,2024-10-01T11:07:12.995754Z,6407,0.729,Normal,2024-10-01T11:07:12.995754Z
29/05/2024,72,"
kids ain’t joking this summer, they out to spend our moneeyyyyyyyyyyyyy",2754,1,2024-10-01T11:07:18.729497Z,6408,2.178,Normal,2024-10-01T11:07:18.729497Z
29/05/2024,73,"
little users, use meeeeee away today wowwwwwwww",2755,1,2024-10-01T11:07:22.701718Z,6409,1.041,Normal,2024-10-01T11:07:22.701718Z
29/05/2024,74,"
nieces and nephews don’t care 😩 they just want what they want.",2756,1,2024-10-01T11:07:27.946610Z,6410,1.987,Normal,2024-10-01T11:07:27.946610Z
29/05/2024,75,"
Spent $1k at build a bear today because i dey craseeeee",2757,1,2024-10-01T11:07:33.179512Z,6411,1.553,Offensive,2024-10-01T11:07:33.179512Z
29/05/2024,76,"
talk, z workings",2758,1,2024-10-01T11:07:37.641586Z,6412,1.24,Indeterminate,2024-10-01T11:07:37.641586Z
29/05/2024,77,"
Thankful for this precious gift Lifeeeeeeee!!!",2759,1,2024-10-01T11:07:41.353894Z,6413,0.762,Normal,2024-10-01T11:07:41.353894Z
29/05/2024,78,"
btw don’t forget to live, everything else is a trap.",2760,1,2024-10-01T11:07:44.681379Z,6414,0.731,Normal,2024-10-01T11:07:44.681379Z
29/05/2024,79,"
if idgaf was a person 😇",2761,1,2024-10-01T11:07:49.094427Z,6415,2.552,Indeterminate,2024-10-01T11:07:58.284809Z
29/05/2024,80,"
Arise o compatriots, I’ll miss you, thank you for so many child hood memories. till
we meet again, love SM",2762,1,2024-10-01T11:07:53.159034Z,6416,1.073,Normal,2024-10-01T11:07:53.159034Z
29/05/2024,81,"
Trust God, trust in thyself!!",2763,1,2024-10-01T11:08:03.978897Z,6417,2.308,Normal,2024-10-01T11:08:03.978897Z
28/05/2024,82,"
skoin skoin",2764,1,2024-10-01T11:08:07.397161Z,6418,0.978,Offensive,2024-10-01T11:08:07.397161Z
28/05/2024,83,"
all of em",2765,1,2024-10-01T11:08:10.890320Z,6419,0.809,Normal,2024-10-01T11:08:10.890320Z
26/05/2024,84,"
Good God",2766,1,2024-10-01T11:08:14.421143Z,6420,0.631,Normal,2024-10-01T11:08:14.421143Z
24/05/2024,85,"

just know",2767,1,2024-10-01T11:08:17.701608Z,6421,0.718,Normal,2024-10-01T11:08:17.701608Z
22/05/2024,86,"
don’t chat to me",2768,1,2024-10-01T11:08:22.069341Z,6422,1.458,Indeterminate,2024-10-01T11:08:22.069341Z
21/05/2024,87,"
ki ni mo need bayi",2769,1,2024-10-01T11:08:26.210012Z,6423,0.585,Normal,2024-10-01T11:08:26.210599Z
21/05/2024,88,"
Wicked people all over the world, i greet you o",2770,1,2024-10-01T11:08:29.390278Z,6424,0.592,Offensive,2024-10-01T11:08:29.390278Z
21/05/2024,89,Wetin concern me,2771,1,2024-10-01T11:08:32.792997Z,6425,0.663,Indeterminate,2024-10-01T11:08:32.792997Z
20/05/2024,90,Let the kids enjoy the summer,2772,1,2024-10-01T11:08:36.434682Z,6426,0.668,Normal,2024-10-01T11:08:36.434682Z
19/05/2024,91,"

ruh take out the b bruh 😩",2773,1,2024-10-01T11:08:39.730880Z,6427,2.169,Indeterminate,2024-10-01T11:08:44.289533Z
17/05/2024,92,"
😂😂😂 with yo cascade ass",2774,1,2024-10-01T11:08:52.131145Z,6428,68.229,Offensive,2024-10-01T11:09:58.148410Z
17/05/2024,93,"go to bed dripping, wake up with new garms on.",2775,1,2024-10-01T11:10:06.844736Z,6429,5.295,Indeterminate,2024-10-01T11:10:06.844736Z
17/05/2024,94,"
idgaf like a cascade nigga",2776,1,2024-10-01T11:10:10.340625Z,6430,0.715,Offensive,2024-10-01T11:10:10.340625Z
17/05/2024,95,"
Before I dip, imma sling the shot with da steeze",2777,1,2024-10-01T11:10:15.883463Z,6431,2.632,Normal,2024-10-01T11:10:15.883463Z
16/05/2024,96,"
God you too much",2778,1,2024-10-01T11:10:20.396972Z,6432,1.288,Normal,2024-10-01T11:10:20.396972Z
16/05/2024,97,"
in ya head
",2779,1,2024-10-01T11:10:27.392488Z,6433,1.353,Indeterminate,2024-10-01T11:10:27.392488Z
