Date,S/N,Tweet,annotation_id,annotator,created_at,id,lead_time,sentiment,updated_at
16/08/2024,1,"
“One Heart” (Can Change The World) from ""Ozi: Voice of the Forest"" 

OUT NOW on alll platforms #OZIVOICES",2921,1,2024-10-01T11:40:42.687603Z,7336,26.005,Normal,2024-10-01T11:40:42.687603Z
05/07/2024,2,"
Big T, Ma fo ????",2922,1,2024-10-01T11:40:46.864326Z,7337,0.975,Normal,2024-10-01T11:40:46.864326Z
29/05/2024,3,"

Water and Garri has become the BIGGEST weekend opener ever for Prime Video Nigeria, achieving the highest number of streams amongst all titles on the platform. 

A big thank you to all our talent, crew, supporters and partners for making history with us ?? ?????",2923,1,2024-10-01T11:40:51.600725Z,7338,1.664,Normal,2024-10-01T11:40:51.600725Z
13/05/2024,4,"
Top10 in 14 countries

Thanks to the WAG family worldwide for the love and support",2924,1,2024-10-01T11:40:56.580516Z,7339,2.149,Normal,2024-10-01T11:40:56.580516Z
10/05/2024,5,"
Water and Garri make eba on your wedding day ??

Thank you Lagos for Showing up yesterday ??",2925,1,2024-10-01T11:41:47.470184Z,7340,0.773,Normal,2024-10-01T11:41:47.470184Z
08/05/2024,6,"
Thank you to everyone that showed up for the US premiere of Water & Garri ??

We're coming home! Lagos see you tomorrow",2926,1,2024-10-01T11:43:06.594592Z,7341,44.002,Normal,2024-10-01T11:43:06.594592Z
04/05/2024,7,"
London premiere for Water and Garri was simply beautiful, thank you to everyone that came out to support

Next stop New York ??",2927,1,2024-10-01T11:43:11.263020Z,7342,1.398,Normal,2024-10-01T11:43:11.263020Z
17/04/2024,8,"

You’re in my head, papi ??",2928,1,2024-10-01T11:43:15.576141Z,7343,1.039,Normal,2024-10-01T11:43:15.576141Z
31/03/2024,9,"
Men are actually crazy but I still want one in my bed sha ????

My sis 
@SympLySimi
got one crazy record ft ABG this Friday 5/4/24",2929,1,2024-10-01T11:43:20.144538Z,7344,0.89,Offensive,2024-10-01T11:43:20.144538Z
15/03/2024,10,"
You gatz to hustle full course, gamble, roll dice - Big Kala ‘24",2930,1,2024-10-01T11:43:24.419177Z,7345,1.617,Normal,2024-10-01T11:43:24.419177Z
11/04/2024,11,"
BIG KALA ????",2931,1,2024-10-01T11:43:27.656525Z,7346,0.633,Normal,2024-10-01T11:43:27.656525Z
01/01/2024,12,"Guys, I’m so excited to announce that my first feature film #WaterAndGarri will be released *this year *through 
@PrimeVideo
and shown in over 240 countries and territories worldwide!

This has been over two years in the making and I must say this is probably one of the most adventurous, fulfilling things I’ve done. 

I feel blessed and honoured not only be making my debut as a lead actor, but to have also executively produced this film.

I honestly can’t wait to take you guys along with me on this next phase of my life and art…. I’m just getting started.",2932,1,2024-10-01T11:43:32.044607Z,7347,1.869,Normal,2024-10-01T11:43:35.166030Z
21/02/2024,13,"
Feb 21 
Thank you London ??",2933,1,2024-10-01T11:43:39.042575Z,7348,0.858,Normal,2024-10-01T11:43:39.042575Z
11/03/2024,14,"
Who da f$ck says I can’t. 

15.03.24 - 100Million 
@Odumodublvck_",2934,1,2024-10-01T11:43:43.539941Z,7349,1.798,Offensive,2024-10-01T11:43:43.539941Z
26/11/2023,15,Flip phone ease vs big phone squeeze.??,2935,1,2024-10-01T11:43:47.875957Z,7350,1.312,Normal,2024-10-01T11:43:47.875957Z
21/10/2023,16,"
“Roll On Me” out now with my favorite Mauritian babe 
@iamlavaud
??",2936,1,2024-10-01T11:43:51.350561Z,7351,0.736,Normal,2024-10-01T11:43:51.350561Z
17/09/2023,17,LA !!! let’s Party ??,2937,1,2024-10-01T11:43:55.122446Z,7352,0.961,Normal,2024-10-01T11:43:55.122446Z
10/07/2023,18,"Thank you Dallas ????

San Francisco ! See you soon …",2938,1,2024-10-01T11:43:58.334366Z,7353,0.602,Normal,2024-10-01T11:43:58.334366Z
01/12/2023,19,"Blessed to be part of this iconic 
@Pirelli
project ??????",2939,1,2024-10-01T11:44:02.554798Z,7354,1.067,Normal,2024-10-01T11:44:02.554798Z
25/08/2023,20,"Aug 25, 2023 
Thank you DC for kicking off the tour right ! ???? ??",2940,1,2024-10-01T11:44:06.034740Z,7355,0.735,Normal,2024-10-01T11:44:06.034740Z
25/08/2023,21,New York tonight ????,2941,1,2024-10-01T11:44:09.318632Z,7356,0.614,Normal,2024-10-01T11:44:09.319633Z
04/09/2023,22,"
Not 'gon hide this, the CAMON 20 Premier 5G is the true holy grail of innovation and elegance.
",2942,1,2024-10-01T11:44:14.035686Z,7357,3.914,Normal,2024-10-01T11:44:18.414827Z
04/09/2023,23,"
Thank you Chicago ??, ATL Tonight 

Ticket link in Bio ??",2943,1,2024-10-01T11:44:26.419927Z,7358,8.4,Normal,2024-10-01T11:44:26.419927Z
05/09/2023,24,"Sep 5, 2023 
Sometimes they force me to be girly ??",2944,1,2024-10-01T11:44:30.448129Z,7359,0.865,Normal,2024-10-01T11:44:30.448129Z
06/07/2023,25,"
Not 'gon lie, this one is gonna be very special

OVO WEMBLEY ARENA",2945,1,2024-10-01T11:44:34.897665Z,7360,0.924,Normal,2024-10-01T11:44:34.897665Z
12/06/2023,26,Ori mi ti fe blow ????,2946,1,2024-10-01T11:44:44.017223Z,7361,1.473,Offensive,2024-10-01T11:44:44.017223Z
11/06/2023,27,Eyes on the prize.,2947,1,2024-10-01T11:44:47.700380Z,7362,0.651,Normal,2024-10-01T11:44:47.700380Z
09/06/2023,28,"A visit from the legend 
@9iceofficial
, thank you so much boss 

Pick Up OUT WORLDWIDE ????",2948,1,2024-10-01T11:44:51.696342Z,7363,1.138,Normal,2024-10-01T11:44:51.696342Z
11/06/2023,29,"Jun 11, 2023 
Eyes on the prize.",2949,1,2024-10-01T11:47:15.309676Z,7364,139.198,Normal,2024-10-01T11:47:15.309676Z
09/06/2023,30,"A visit from the legend 
@9iceofficial
, thank you so much boss 

Pick Up OUT WORLDWIDE ????",2950,1,2024-10-01T11:47:19.527201Z,7365,1.012,Normal,2024-10-01T11:47:19.527201Z
05/06/2023,31,"Never let the devil, kolobi my happiness",2951,1,2024-10-01T11:47:24.590381Z,7366,2.687,Normal,2024-10-01T11:47:29.428031Z
12/05/2023,32,"Such an honour to do this refix with the original vocals of the ICON Bob Marley on this special project

Waiting in vain OUT NOW",2952,1,2024-10-01T11:47:33.103213Z,7367,1.021,Normal,2024-10-01T11:47:33.103213Z
03/03/2023,33,Who is your guy ? ??,2953,1,2024-10-01T11:47:36.577514Z,7368,0.725,Normal,2024-10-01T11:47:36.577514Z
22/02/2023,34,"Sweet sounds with my G 
@MajeeedOfficial
",2954,1,2024-10-01T11:47:41.106555Z,7369,1.435,Normal,2024-10-01T11:47:41.106555Z
03/03/2023,35,"Last night was unreal. I was invited to celebrate 30 years of red bottoms with the legend 
@LouboutinWorld
",2955,1,2024-10-01T11:47:46.054528Z,7370,1.163,Normal,2024-10-01T11:47:46.054528Z
