"Date","S/N","Tweet","annotation_id","annotator","created_at","id","lead_time","sentiment","updated_at"
"16-08",1,"Big up dat egbon wey Dey call me IBRAHIM! E Dey muzz me ❤️🦅",1,"1","2024-09-25T09:41:26.208623Z",1,15.248,"Normal","2024-09-25T09:41:26.208862Z"
"19/08/24",4,"Da science of making music is amazing",2,"1","2024-09-25T09:42:26.749843Z",2,16.04,"Normal","2024-09-25T09:42:26.750110Z"
"16/08/24",5,"@wizkidayo don fall in love again 😂❤️",3,"1","2024-09-25T09:46:07.922235Z",3,11.858,"Normal","2024-09-25T09:46:07.922734Z"
"16/08/24",6,"Awon werey kan Lon correct daddy won",4,"1","2024-09-25T09:53:52.859313Z",4,31.354,"Offensive","2024-09-25T09:53:52.859545Z"
"16/08/24",7,"Appreciate u’re alive with me in this beautiful world blessed by God! ❤️🦅",6,"1","2024-09-26T05:36:44.338447Z",5,10.462,"Normal","2024-09-26T05:36:44.338669Z"
"16/08/24",8,"Don’t get it twisted love is a beautiful thing!",7,"1","2024-09-26T05:36:49.767935Z",6,17.677,"Normal","2024-09-26T05:36:49.768168Z"
"16/08/24",9,"Appreciate life 🦅",8,"1","2024-09-26T05:36:58.302533Z",7,10.864999999999998,"Normal","2024-09-26T05:36:58.302810Z"
"16/08/24",10,"Una papa! 🦅",5,"1","2024-09-26T05:36:02.082778Z",8,12.869,"Offensive","2024-09-26T05:36:02.083014Z"
"14/08/24",11,"Una papa !! ❤️🦅",9,"1","2024-09-26T05:38:50.126075Z",9,12.314,"Offensive","2024-09-26T05:38:50.126442Z"
"16/07/24",12,"Appreciate all of the love ❤️🦅 God bless and grant all the heart desires! Real thankful ❤️🦅",10,"1","2024-09-26T05:42:23.753179Z",10,171.739,"Normal","2024-09-26T05:42:23.753473Z"
"16/07",13,"Happy Birthday WizKid ❤️🦅
Our very own Starboy.

Keep winning 💯",11,"1","2024-09-26T05:42:38.772287Z",11,5.944,"Normal","2024-09-26T05:42:38.772623Z"
"15/07",14,"Go on and prosper 🔥🦅",12,"1","2024-09-26T05:42:49.084105Z",12,7.824,"Normal","2024-09-26T05:42:49.084382Z"
"15/07",15,"Amen o",13,"1","2024-09-26T05:44:47.597888Z",13,7.256,"Normal","2024-09-26T05:44:58.573138Z"
"04/07",16,"And to everyone that has ever lost their mother/family members or anyone close dealing with the struggle everyday! God is real . And He will console and comfort you! PRAY! ❤️",14,"1","2024-09-26T05:45:19.697744Z",14,17.687,"Normal","2024-09-26T05:45:19.698004Z"
"15/07",17,"Tomorrow go long Number 1 ❤️🦅",15,"1","2024-09-26T05:45:33.617394Z",15,9.219,"Normal","2024-09-26T05:45:33.617545Z"
"15/07",18,"OBLEE 🦅",16,"1","2024-09-26T05:45:45.828846Z",16,5.527,"Normal","2024-09-26T05:45:45.829016Z"
"04/07",19,"Happy birthday love of my life! Miss you everyday. First one without you here feels unreal. Nothing makes sense without you mama! Life is empty without you. Continue to watch over us ! My heart is broken forever ! 💔 love you love love you MORAYO mi. Your smile is all a memory I will never forget. Your laugh! Your hugs and kisses. I miss you dearly! ❤️❤️",17,"1","2024-09-26T05:46:04.359354Z",17,4.652,"Normal","2024-09-26T05:46:04.359520Z"
"04/07",20,"Morayo lives on 🤍🦅",18,"1","2024-09-26T05:46:11.912661Z",18,2.785,"Normal","2024-09-26T05:46:11.912812Z"
"04/07",21,"Nothing is ever going to be the same! Watch me! 😎❤️🦅",19,"1","2024-09-26T05:46:29.110490Z",19,11.694,"Normal","2024-09-26T05:46:29.110648Z"
"04/07",22,"A lot has changed ❤️🦅",20,"1","2024-09-26T05:46:37.819533Z",20,3.38,"Normal","2024-09-26T05:46:37.819693Z"
"28/06",23,"Ofoju Jo Wizzy 😎❤️🦅",21,"1","2024-09-26T05:46:57.902640Z",21,14.079,"Normal","2024-09-26T05:46:57.902792Z"
