S/N,Date,Tweet
1,19-8-2024,Monday dey hard one kind. Make we just do am for some people today ❤️
2,19-8-2024,Tell me wetin dey sup!
3,16-8-2024,Make dem legalize loud for this side o.
4,25-7-2024,"“For someone that was a troll hating trolls” 

Yes! It is very possible! People learn and get better but if you no go learn I will tell you. Simple. Like say una no get home training"
5,25-7-2024,"God knows my heart is pure and I no wish any man bad that’s why he’s keeps helping me when I call him. 

I just hate BULLIES! Simple! People that laugh at people that try to do what they cannot. Spineless, pathetic, unfiltered and uncultured swines! Bingos! 🤢"
6,25-7-2024,I petty pass all those bingos but level don change 😂
7,13-5-2024,stop pitting me against my friends for entertainment.
8,13-5-2024,"Pure heart.
 I’m happy for people and I wait my turn."
9,14-4-2024,Na their mama and papa dem go cancel 🖐🏽
10,14-4-2024,"That’s just to show my career or trajectory is not dependent on anyone else but myself and God. 

You niggas have no power or control over this. Forever and ever. Amen."
11,14-4-2024,"Fumble? 😂 I was just sharing the start of the conversation. Sincerely , Benson."
12,11-4-2024,"“The brother wey dey knack you no get sense” 😂💔

NEW NEW OUT NOW!!!  🛩️🛩️🛩️🛩️ #POE "
13,11-3-2024,No yawa. I’m sorry.
14,1-3-2024,"No one responded to my last tweet so I’ll just do this for my uni students 

Recreate this Dance on TikTok with your faculty friends. Most impressions or better still , the most creative gets 1 million. Easy money. No cap in my rap.

(Only university students actively in school). #RMD"
15,7-2-2024,"Poco somewhere waiting to say “Don’t fuck around , you see it!” 🤣🤣🤣"
16,1-2-2024,I no wan use my eyes take see 🗑️
17,19-1-2024,“It’s been 14 weeks and I ain’t dropped shit!”
18,13-1-2024,I dey find money like I be junkie.
19,10-12-2023,"Respect my health , Respect my money. Give me what I pay for. If you don’t have it , don’t bring a fake one! 

The next club or lounge that does this to me , I promise i will take that microphone from the hypeman and let you know!"
20,10-12-2023,Stop selling us fake drinks after spending so much money on the overpriced drinks. You’re killing us.
21,19-11-2023,Twitter doesn’t slap like before btw 😔
22,19-11-2023,"I hope you draw some sort of inspiration asides from the comedy from all this. 

I went after every dream I had and overcame. You can too . Believe. ❤️"
23,19-11-2023,"Twitter really was my diary at some point 😂
I was free and comfortable with my 15 friends from high school and uni who I shared EVERYTHING with on here. Good times I can’t lie."
24,17-10-2023,"‘Info l’eyan fi n fo’ 

Real."
25,14-10-2023,I no wan use my eyes takes see rubbish 🚫🗑️
26,12-10-2023,They just crave the reaction and attention from the real listeners.. ignore them. #SincerelyBenson 💌
27,10-10-2023,"Pardon me , Pardon me…"
28,8-10-2023,"Criticism is allowed yunno.

 “that mix doesn’t sit right” 
“that sounded a little off” 
“I wish this was ..”

 very very allowed and thoughtful too. I really be wanting to know. #SincerelyBenson 💌"
29,8-10-2023,You know I love and appreciate you guys all the time. It’ll never stop ❤️
30,8-10-2023,"
I’ve been soo carried away by the love and work with this project that I failed to say THANK YOU!
 The fans , the believers, the listeners… thank you for everything 💌 I appreciate you so so much ❤️ #SincerelyBenson"
31,7-10-2023,"
You see the red flags but you ignore when you’re messing with her…cause she dey do you proper , you no know say your kele no normal.🧏🏾‍♂️
  #Toxic 
#SincerelyBenson 💌"
32,7-10-2023,"‘Cause some people been tryna see me lose on this side but that’s another chapter 📖’
#SincerelyBenson 💌"
