S/N,Date,Tweet
1,11/8/24,The Truth shall bring them tears. 😂😂. ODG chapter 1 verse 47.
2,10/8/24,"Ladies and gentlemen, A valuable lesson on paying attention to detail. I said 12am, I never said what date. No be say I whine una o Na una Lose guard"
3,10/8/24,Baba na only who do anyhow dey see anyhow. Who respect himself na him we dey Respect.
4,10/8/24,😂😂 No panic bros.
5,10/8/24,😂😂So After ALL that.. ……. 😂😂😂
6,10/8/24,Bro. I no fit lie. Na you suffer pass. No shades.
7,1/8/24,Koni baje fun e. 🙏🏾
8,1/8/24,"As I no milk again una still wan tear my
Shirt. Wetin Una really want sef??"
9,1/8/24,I don hand am over to Falz bros.
10,29/7/24,“EMPTY CHAIRS”
11,29/7/24,“NO SIGN OF WEAKNESS”!!!!
12,29/7/24,"When I made this album, I literally had no expectations at all! I wanted to get shit off my chest and I appreciate you all for fuckin with it. #AFRICANGIANTIS5 🦍"
13,5/7/24,"We both know how it feels to be locked up, why TF would you wish that on anyone? I gat love for u but I do NOT stand for none of this police ass shit. Take all this shit down please."
14,5/7/24,Bro. WTF are you doing?? Take this down now !! Make me and u no get problem abeg . No be like this we dey handle differences.
15,5/7/24,Ehen! Na wetin we dey pray for be that bros.
16,5/7/24,E shock me bros
17,5/7/24,No wam. I go soon mien.
18,5/7/24,🙏🏽 Thank you 👑 @SalifKeita.
19,2/7/24,Thanks for always riding with me London❤️! #burnaboylondonstadium
20,30/6/24,Glastonbury! 💫👊🏾 #Glastonbury2024 #itoldthem
21,27/6/24,"For the first time in a long while I was able to spend time at home, with my people. Being present with all the volunteers that have held us down for years championing causes close to my heart. “HIGHER” out tomorrow PHC FOREVER! 

🆙🙏🏽"
22,26/6/24,Ahead of its Time!! 🎶 🔥
23,1/6/24,❤️🥰 i Appreciate you @__uotassia & @ raky_racky . See you in London 🇬🇧
24,5/5/24,Thanks for the love Guyana ❤️
25,1/5/24,Guyana 🇬🇾! 🛬 …. See you tonight!
26,18/4/24,Love you mama ❤️
27,17/4/24,I grew up in a place called PH City 🙏🏾❤️ thanks @TIME
28,10/4/24,Happy Eid Mubarak 🌙💛
29,2/4/24,"Best April Fools in A while 🤣 
but never say never!! 👌🏽"
30,9/3/24,ATL 👀
31,8/3/24,Thank you for always holding me down D.C ❤️ #ITOLDTHEMTOUR
32,6/3/24,The best 🚀🚀
33,5/3/24,"We go still visit that audio chain and many more o. No worry, make @Cokobar money expire first."
34,5/3/24,"U see me dey smile nor mean say I dey smile o. Eyin fans mi, Dey play"
35,3/3/24,"I feel incredibly honoured and privileged! Thank you Boston! 💚

The goal has always been the same, to bring the world together. We are all so different but all the same! 

2nd of March a.k.a Burna Boy Day #ITOLDTHEMTOUR"
36,2/3/24,"Boston, I’m charged up for tonight! 🚀 LET’S GOOOO #ITOLDTHEMTOUR"
37,29/2/24,Last night was amazing Montréal!! Encore ce soir! #ITOLDTHEMTOUR
38,23/2/24,Love you forever Chicago #ITOLDTHEMTOUR
39,22/2/24,Cover story @FT How To Spend It Issue 🌹 on stands now
40,22/2/24,Thank you Chicago!!! You all made me weak in the knees! 🙏🏾 #ITOLDTHEMTOUR
41,17/2/24,🇧🇸 Bahamas Tonight!!!
42,11/2/24,Walahi! 🤣
43,11/2/24,Help me! Help me! Dem dey carry me go where I nor know!! 😂🤣
44,7/2/24,"Congratulations @NGSuperEagles !! Can’t Wait to watch the finals on Sunday 💫. 
🇳🇬🇳🇬🇳🇬"
45,12/1/24,Now you’re just like me 🎶
46,12/1/24,Let’s gooooo 🚀🚀
47,11/1/24,Clean like a 🙏🏾 song
48,9/1/24,Happy birthday Mali @FamilyKabs ❤️
49,1/1/24,Thank God we made it here! #HappyNewYear2024 🎉❤️
50,22/12/23,Touch down oso geme! @phynofino
51,20/12/23,Do we look like we give a F*$k? ffm.to/doiremix #DOIREMIX @phynofino 🩸🔓
52,17/12/23,"My Grandma used to be the one crying for me to come back home, now she’s on edge every time I come back home and is already asking when I’m leaving. This is why I made “Thanks”. I’m rolling with only her this December for peace to reign."
