S/N,Date,Tweet
1,23-7-2024,"Yesterday, my brother 
@nickcannon
 & I linked up on 
@Chatter_US
 & discussed bringing Wild ‘n’ Out to Africa and collaborating with African creators.

9 days of launching Chatter & the world is embracing this platform!

Incredible! 
"
2,23-7-2024,"Dopey with the bro 
@NickCannon
 
@Chatter_US
 🔥"
3,23-7-2024,"Happy to partner with 
@GACMotorNgr
 and drive into the future together. 🚗✨ Innovation and luxury at its finest."
4,13-7-2024,Let’s Go! 🔥🔥🔥
5,5-7-2024,Make she keep am
6,5-7-2024,All I asked for was ‘joint custody’ but cus it’s davido yall wanna act like yall can’t read! SMH I’m off this … yall be blessed and I pray this never happens to you
7,5-7-2024,Your constantly bringing up the death of my child at any point u can to just remind us of this tragedy that haunts us everyday of our lives .. Imade will grow up to see I fought for her .. as for now u can have her .. P.S she won’t be a child forever .. enjoy ❤️ Imade Aurora Adeleke ! Your father loves you!
8,5-7-2024,Houston tonight ! Tribeville Fest!!! 🌎🔥💪🏾
9,4-7-2024,Haha
10,4-7-2024,"Ur trending 😂😂 
@Folazfab"
11,4-7-2024,U rush in u rush out
12,3-7-2024,jigijigijigijigijigijigijigijigi *moves shoulders
13,3-7-2024,Note : Fuck what people gotta say ! Stay active
14,2-7-2024,"LA always goes crazy!! ⁣
⁣
We really kicked off summer with a smash 
@BET
 - Crypto arena we set it off. ⁣
⁣
More announcements soon + a lot more shows this year. Where should we pop out next?"
15,2-7-2024,We plaster
16,1-7-2024,"Say wa le le le le
Ogechi don gimme something kpo kpo kpo"
17,30-6-2024,Supacell 🔥
18,29-6-2024,6 am in Australia 😂 after club
19,28-6-2024,ACTIVE
20,28-6-2024,"Thank you 
@delta"
21,28-6-2024,Touch Down LA 🇺🇸we here ! Crypto Arena tonight !!! 💪🏾💪🏾💪🏾🌎🌎🚀🚀🚀🚀
22,28-6-2024,Facebook boutta start paying pple in naija .. e don be 😂😂😂
23,28-6-2024,😍  Big ups Sara o Events and Zapphaire events … yall killed it ! Till we turn am to carnival 😂😂 ! Well done !
24,28-6-2024,One by one
25,28-6-2024,Gear up X
26,28-6-2024,"The ADELEKES vs THE EJIOFORS dancing competition only Chioma can make Daddy  stand up this quick  … #bestdayofourlives Cc 
@AAdeleke_01
 It’s in the blood"
27,28-6-2024,Of course I am … before I came on earth I was eligible
28,28-6-2024,Probably the first year of elections  I might not vote … I’m just confused 🫤
29,28-6-2024,Biden not the best but trump can lie sha 😂😂
30,28-6-2024,Still a democrat sha but worst presidential debate EVER …
31,28-6-2024,Say wat u want … A FATHERS DREAM
32,28-6-2024,Every play e Dey show
33,28-6-2024,Chop knuckle !!
34,28-6-2024,Sleeping ! Wedding no easy 😂
35,28-6-2024,We was on the bed the whole flight
36,28-6-2024,Ngl trump funny AF
37,28-6-2024,Queen 💪🏾❤️
38,27-6-2024,On the way 🚀
39,27-6-2024,Make we first launch  this one 😂🏝️😍🍾
40,27-6-2024,Thanks to everyone that made our day a magical one ! We appreciate and love you Love won ! 💪🏾❤️
41,26-6-2024,God’s Time 💍🎊🍾❤️
42,24-6-2024,Drop a verse for my wife ???
43,23-6-2024,#CHIVIDO2024
44,22-6-2024,PAPA BEAR HERE 😍😍 #CHIVIDO24
45,16-6-2024,Eid Mubarak to all my Muslim brothers and sisters
46,9-6-2024,obra maestra completa
47,8-6-2024,IMOLE!!
48,2-6-2024,Woulda banged too 😂
49,2-6-2024,Listening to MIXES ….. lol wahala Dey
50,2-6-2024,Dem go feel it 🎶
51,2-6-2024,Anybody wey do me bad go collect this year one by one just Dey watch … e don start already 😂
52,30-5-2024,"I’m looking forward to connecting to more people in the spaces that was held , 
@blknoiz06
 I’m sending you a dm , I want you to teach me how to lock tokens and show the community I’m in this for real ."
53,30-5-2024,Those who joined the space with me and @blknoiz06got to witness me creating my @phantom wallet and receive $100 via the @solana network in a matter of seconds!
54,30-5-2024,When is the podcast ? 👀  $DAVIDO
55,30-5-2024,See you there $DAVIDO ⏳
56,29-5-2024,FUCK IT ! 30 BILLION GANG 🔥🔥🔥
57,29-5-2024,HODL HODL ! WE ARE JUST STARTING! 30 MILLION SOON COME 🔥⏳✨
58,29-5-2024,"❤️😎 TAKE ME AWAY, WAY FAR AWAY  $DAVIDO"
59,29-5-2024,The King of SOL is here ! $DAVIDO
60,29-5-2024,"Yes o ! Sign me up $DAVIDO 
@vibhu"
61,29-5-2024,"It’s just ME! 
#1 on DexTools 🔥⏳✨"
62,29-5-2024,WAGMI $DAVIDO
63,29-5-2024,"I did it myself, for the community! Free US!  https://x.com/Habibi_Comm/st/Habibi_Comm/status/1795872516420022730"
64,29-5-2024,"Don’t sleep yet , We rise by lifting others $DAVIDO"
65,29-5-2024,Solana summer don start ⏳✨
66,29-5-2024,Hmmm $DAVIDO
67,29-5-2024,"Road Clear ?! 
@phantom"
68,29-5-2024,Cape Town moments 🇿🇦
69,28-5-2024,Touch down Capetown!! 🇿🇦 …. #YEBO
70,26-5-2024,Nothing like family ❤️
71,25-5-2024,I can’t fucking wait !!
72,25-5-2024,My oldest nephew graduating high school 2moro ! I was literally living with my oldest sister during the last months of her pregnancy … Mehn I’m gettin old 😩
73,25-5-2024,Hmmm video ! Fucking mental !!!
74,25-5-2024,Congrats Excellency
75,24-5-2024,I’m unavailable I Dey Bahamas !!!
76,23-5-2024,The money wey I get u no fit chop am finishhhhhhh
77,23-5-2024,Ayo Maff and Fireboy on RP 🤯
78,22-5-2024,Resting ! Boutta be wild summer !!
79,22-5-2024,Sweet Melanin ..  smoke with the skin
80,17-5-2024,MAYOR!!!! 🔥🔥🔥
81,17-5-2024,You killed this Pink! #CONDO 🔥🔥
82,17-5-2024,GO MO!! 🔥🔥🔥
83,15-5-2024,"OFFICE OF THE CHAIRMAN LGSC OSUN STATE 
@Tunegee
 💡🇳🇬"
84,14-5-2024,"Cuz just got a twitter 
@nikosliving"
85,14-5-2024,Saint Lucia 🇱🇨 I could feel the energy all over the show thank you for the love and support!
86,14-5-2024,Atlanta circa 2006/2007 … dutchmaster days 😂
87,13-5-2024,🔥🔥🔥🔥💪🏾💪🏾💪🏾💪🏾 we are ready !!!
88,13-5-2024,Whole family is osun … chai I Dey miss out
89,12-5-2024,Hapoy Mother’s Day !
90,11-5-2024,Will never forget this shoot!
91,11-5-2024,But if you like wahala o we go give you opper Ganda ooo 🎶 REMEMBER THIS TWEET 👑
92,11-5-2024,Saint Lucia 🇱🇨 we buss up the place tonight !!!! 🔥🔥🔥
93,11-5-2024,Skekewu ! I love my people like ofeakwu ! Ehen !
94,11-5-2024,DREMOOOOOO!!!!
95,10-5-2024,That was funny I no go lie 😫😂
96,10-5-2024,Dubai is always fun!!! We go crazy each and every time ! Back soon ❤️❤️❤️❤️❤️🇦🇪🇦🇪🇦🇪🇦🇪
97,10-5-2024,Big bakasi under the influence
98,10-5-2024,IMOLE 💪🏾❤️
99,10-5-2024,Saint Lucia we on the way !!!
100,9-5-2024,Yall niggas really want me out the game that bad ?? Oya after next album I no do again . So una fit get peace
101,9-5-2024,Nah God go punish THE SHADE BOROUGH
102,8-5-2024,WEMBLEY SURE DIE !!!
103,6-5-2024,Music music music music … I’m out 😇
104,6-5-2024,Some Pple Dey get heat stroke some Dey get  HIT STROKE !!!
105,5-5-2024,Dammy Brazil 🇧🇷 we get alignment
106,5-5-2024,It’s coming out .. we got part 2 part 3 part 4 !!! We ACTIVE !!!
107,5-5-2024,Story story STORYYYYY!!!!!!
108,5-5-2024,"Happy birthday To my brother !! I mean my real brother !  
@chrisbrown
 love you G! ❤️"
109,5-5-2024,Habibi come to Dubai !!!!
110,5-5-2024,Mudafuka mudafuka calm down oooo 🎶🎶🎶
111,5-5-2024,"We active ! 
@MinzNSE
 🤫🤫"
112,30-4-2024,"Happy birthday to my Queen !!! Your strength and grace lift me every day! 🎉 Thank you for always being my rock and helping me shut out all the noise with your love. Heres to more joy, laughter, and sweeeet music in our lives. I love you and It’s till infinity!!! ❤️❤️ #ChiomaDay"
113,29-4-2024,Size 7 shoe 😂 nigga shop at Footlocker kids
114,29-4-2024,That’s what I thought. Nothing to say! Exactly why I stopped wasting my clout and jeopardizing my millions of usd of endorsements on someone whose career was resurrected a few years ago just to die again. NEXT!!
115,29-4-2024,WE NOT DELUSIONAL YOU’RE A SICK MAN
116,29-4-2024,2024 let’s all get active !! WE GO SEE
117,29-4-2024,Drop ur gbedu abeg ..
118,29-4-2024,They were trying to distract us baby no mind them …. 😍🛩️💸🎂
119,29-4-2024,I can’t wait till 20 years from now 😂 … enjoy ur time
120,29-4-2024,"My prayers are with you family 
@francis_ngannou
 ❤️"
121,29-4-2024,When LIGHT  comes darkness VANISHES!!! LETS GET ACTIVE!!
122,29-4-2024,Dem no know ur gbedu again 😂
123,29-4-2024,Montego Bay we deyaaaaaaa 🏝️
124,28-4-2024,Coco melon or paw patrol ??
125,28-4-2024,Since I came in the game dem never get peace .. I love it ! Make I find somewhere with beach go relax … 🛩️
126,28-4-2024,Motivation
127,28-4-2024,That one nah ur papa business 😂 https://x.com/Seniormandre/s/Seniormandre/status/1784323515514024178
128,27-4-2024,I NEED AN ELECTRIC CAR CHARGER SHIPPED TO NAIJA
129,26-4-2024,LETS GET ACTIVE
130,26-4-2024,Lets goooo ! 💪🏾
131,26-4-2024,Shot ah fucking movie !!!
132,25-4-2024,When do you want it ?? 🎥 …
133,24-4-2024,No better feeling
134,23-4-2024,Ur papa
135,21-4-2024,"NYC we made HISTORY! Thank you to my family, my fans, the special guests, my team and everyone involved for making my first headline performance at 
@TheGarden
 such a timeless night. ⏳

WE did it ❤️"
136,20-4-2024,Wow I’m scared
137,20-4-2024,If you hear a snippet .. it’s never coming out 😂
138,19-4-2024,All dmw artist would be moved to Nine + records …. Clearing the air !
139,18-4-2024,"Bruh me and 
@Compozers
 match made in heaven ! I LOVE YALL SO MUCH ! 11 YEARS DEEP!!!!"
140,18-4-2024,THANK YOU NEW YORK !!!!!!!! CHAIIII!!! ENERGY!!!!
141,17-4-2024,GAME DAY !! 🏆🏟️
142,17-4-2024,Can’t sleep!! 🗽🗽🗽🤯😀😀😀 IM HYPE!!!
143,16-4-2024,A day to THE GARDEN!!! 🗽⏳💪🏾🇺🇸😈😤
144,15-4-2024,"Live on 
@fox5ny
 now tune in!!"
145,15-4-2024,Only jah ❤️
146,15-4-2024,Breakfast club today ! Tune in NYC ! #thegarden in 2 days !!
147,14-4-2024,"Nothing like those NYC nights ⏳

Breaking bread with my people at aliya and enjoying some 
@martell
 is what it’s all about."
148,13-4-2024,I remember this day ..
149,13-4-2024,"NYC is always a vibe 🗽Thank you to 
@TheGarden
 for having me, got to get my own jersey and see the 
@nyknicks
 comeback and get that W before we come back on Wednesday to bring the house down⏳

https://msg.com/calendar/madison-square-garden-april-2024-davido"
150,13-4-2024,There’s no formula … nah God
151,13-4-2024,Never give up
152,13-4-2024,"Thanks for having me !! See yall Wednesday 
@TheGarden"
153,12-4-2024,New York pop up ??  🗽🇺🇸
154,12-4-2024,"NYC WE HERE ! LET THE GAMES  BEGIN !! 
@TheGarden"
155,11-4-2024,U no Dey disappoint
156,11-4-2024,The boy no Dey take insult .. if u jonze dem go give u uppercut! 🔥
157,9-4-2024,NYC 🛩️
158,9-4-2024,My wifes birthday in a bit !! We’re running mad!!!!!! We must celebrate a great woman!
159,8-4-2024,A new season is upon us  🚜🛠️
160,6-4-2024,Dey don’t  play bout me cuzzo 😂
161,5-4-2024,"Whether it’s connecting with my supporters through my music or reaching others through my personal endeavors, i’m just happy to make an impact on people’s lives for the better 💡📚"
162,4-4-2024,Omo sho fe wo GEORGIA!!!! 🎶
163,4-4-2024,BOMBARDIER 7500 TEAR RUBBER ! ☺️
164,4-4-2024,"Last night was emotional 
@Peruzzi
 
@Mayorkun
 
@Dremodrizzy
 😈😈😈😈"
165,3-4-2024,I need Guinea fowl rn so bad 🥹
166,3-4-2024,Before msg likely … we shot for almost 3 and a half days .. so it’s a lot …. Soon tho ❤️
167,2-4-2024,"Kenya and Uganda brought that energy!! It's always love performing and hearing you all singing with me ❤️🇰🇪🇺🇬

NYC you’re next up 
@TheGarden
 🗽"
168,31-3-2024,"Reflecting on a year since Timeless dropped and my heart is full of gratitude. To my incredible fans your endless love and support has been everything to me. To my team your dedication and hard work have turned our vision into reality yet again. This album was a journey of self-discovery, a testament to growth, resilience, and so much more. Today we're celebrating this milestone and I'm nothing but thankful. THANK YOU GOD!

Oh and new music soon! 🇳🇬 ⏳"
169,31-3-2024,"Social responsibility and social impact , Human capital is the greatest investment any nation can make ❤️"
170,30-3-2024,Big bro!! We don Dey run am since 😂😂😂
171,29-3-2024,Loving Kampala already !! Showtime in a bizzle !! LETS PARTY!! 🇺🇬🇺🇬🇺🇬🇺🇬🇺🇬❤️❤️❤️❤️
172,28-3-2024,50 cent funny AF 😂
173,28-3-2024,Back on road ! UGANDA 🇺🇬 your up 1ST!
174,25-3-2024,Patience & Prosperity
