S/N,Date,Tweet
1,18/07/24,Thanks 😁. Them plenty like that.
2,11/06/24,Thank you South Africa 🇿🇦
3,10/07/24,lol una too funny 😂
4,08/07/24,Mavins in Paris 🇫🇷
5,03/07/24,Sorry about that ma. Yes #Mindingmybusiness is out now.
6,29/06/24,Just show me where they wrote that drinking room temperature water is better for the body than ice water. Something as simple as that. 🤷🏾‍♂️
7,29/06/24,A life manual from GOD would have helped a lot sha. 🤔
8,26/06/24,u be baddie?
9,26/06/24,"i dey work on myself. so that when my head correct, my babe go enjoy me."
10,26/06/24,I be upcoming o. Stay there
11,26/06/24,I be ashawo na. Na why I never marry.
12,21/06/24,Turn up your speakers 🔊. New #OpenBareta by @Skiibii  featuring The  @DONJAZZY  🐘
13,20/06/24,Benin boys touch down tonight. @heisrema
14,20/06/24,Babanla 🦅 🤍 🐘
15,14/06/24,Kai let me think first I’m coming. 🤔
16,06/06/24,"You don’t know me like that, so why you come Dey acting familiar. 😁  @kennyflexmadu"
17,01/06/24,Your mental health is the currency you use to subscribe to Twitter in 2024. 🐘
18,01/06/24,Make e drop. Una wahala too much for here.
19,01/06/24,And it’s so sad. The women put in soooo much work.
20,01/06/24,GOD dey so things good. But I thought all of us  on twitter agreed that I should stop doing giveaway. Say make them bandam 🤷🏾‍♂️
21,01/06/24,"Face your win, stop taunting others. 🤍🐘"
22,01/06/24,Osheeee brother mi. More blessings coming thru. 🤍🐘
23,01/06/24,Osheeeee thanks boss. 🙌🏾🙌🏾
24,31/05/24,Love his sound. 🐘
25,31/05/24,Thanks a lot.
26,31/05/24,She is really a sweet soul. A celestial being 💯. 🤍
27,31/05/24,Thanks Big Wiz  
28,31/05/24,Na so e suppose be. 
29,31/05/24,It actually gets all of us in the HQ emotional too. Hard guy for don cry sef . lol 😂
30,31/05/24,"Anywhere you are today you will hear AYRA SABI GIRL STARR. That girl is one hardworking, talented young lady and deserves everything good. If body Dey pepper you off phone. I don warn you. #Mavin"
31,31/05/24,The best team in the world. 🤍
32,31/05/24,P prime produced that o. 
33,31/05/24,😁😁😁 Album out now 
34,31/05/24,Haha hard. 🤍🐘
35,27/05/24,Palava by @Johnnydrille  OUT NOW!
37,27/05/24,Sample!!! Ekweeee
38,18/05/24,Nobody owes you shit and vice versa.
39,18/05/24,Worrying about what people think about you in your grinding phase AND your made phase is a distraction.
40,18/05/24,"Nobody gives a fuck about you when you are suffering and grinding. If you give a fuck about what people think about you when you make it, then you didn’t learn shit in the come up and will be back suffering in no time."
41,14/05/24,Just use loud speaker jam this Gbedu 
42,14/05/24,lol him say na Mr Collins. Thanks
43,14/05/24,Johnny Drille has served us Gbedu o. Eat it here - 
44,14/05/24,Arsenal fans you deserve to win too ooo. Tell bad belle people YOUR FADA 🖐🏾 lol
45,13/05/24,"Anywhere you find an audience, fire down. Engage the few that fuck with you as the people that don’t send you are wayyyy more than the little that do."
46,13/05/24,I just sign dope players.
47,13/05/24,And that’s totally fine. Some people like meat some like fish some na vegetarian. Back to the studio make another one.
48,13/05/24,"Trust me it’s not a walk in the park for us too. No matter how much you have. Once you get a dope song, try and gather all the attention you can get one tweet at a time."
49,13/05/24,Doesn’t work like that. Not all songs will be hit songs. Not all artist will be Ronaldo or Messi.
50,13/05/24,Music too na betting.
51,03/05/24,"That new #SinceO4 by @iamdbanj is such a jam. Out now pls listen and share to your followers. Thanks 
"
52,20/04/24,Taylor sha 🙌🏾🙌🏾. Shout out to Ayra Starr for holding down Naija. Sabi girl doings 
