S/N,Date,Tweets
1,18/09/24,Light Dey today thank God
2,18/09/24,Celibate but your vibrator no dey rest 💨💐
3,18/09/24,Omo dem don release Christain diss track for all of una 😂🤣 blasttttttt
4,17/09/24,"A man must always be ready for war. Mentally, spiritually, physically, and financially."
5,17/09/24,Even your fav Dey wait make their fav drop too no be only you Dey wait my fans 💨
6,17/09/24,I don’t wanna loose my mind 💨⚰️
7,17/09/24,"The first track I go leak for this Goat album na DSC 💨💨💐🤤 

old warri  Dey play"
8,17/09/24,I’m so bored I might fuck around and leak this album na management go suffer damage control 💨🤤⚰️
9,17/09/24,"The fact that strangers show you love, doesn't mean you should accept them as friends..some are better kept as strangers..."
10,16/09/24,"President asiwaju the Declan Rice of our time I greet u oh, no light share rice, no fuel share rice, bad road share rice. Still try they add beans oh abeg..bcos u Dey quick shout eeh Eeh !!!!"
11,16/09/24,200 million Nigerians experienced today in a different way
12,16/09/24,Nigeria problem big oh
13,16/09/24,I don call am three times dem still ask me who goes me for here oooooo
14,16/09/24,This chosen matter how una see am ?
15,15/09/24,The things that make you rich are Free 💨🔑
16,14/09/24,Who don go upgrade 1997 lexus to 2034 Prado for this lagos so 🥴
17,14/09/24,Love is forgotten so I’m moving on
18,14/09/24,Who and who Dey benin this nite ?
19,14/09/24,"If you still look at the toilet paper after wiping your ass....my friend, you have a problem of letting go of the past.."
20,13/09/24,"Babes Just knack the guy and let him go, no be everything be relationship"
21,12/09/24,Someone define Afro beats and let’s all rest …
22,12/09/24,I thought Afro is about Africa and not only Nigeria Abi make we kuakua call am Nifrobeat beats ?
23,12/09/24,"Babe is not what you think he put me in a different hotel room we did not sleep same room

Reply as an understanding boyfriend"
24,11/09/24,Sitting on your hands and wondering why nothing is working 💨🪴
25,11/09/24,I’m a simple man but sometimes it gets confusing
26,10/09/24,"Stop giving, if you are giving because you want God to bless you. That's Business

Transactional Generosity 💨🙏🙏"
27,08/09/24,Who tell you say na you get this world ?
28,07/09/24,How much money dey this world ?
29,07/09/24,Make dem allow me release this album first 💐⚰️ I no wan talk pass like this
30,07/09/24,"Women will put in the effort for the man they truly want. They go after what they really desire. If a woman isn't working hard for you, then you aren't what she really wants. A woman who is serious about you will make it clear through her actions. She’ll be there for you, make time, and put energy into the relationship. She won't leave you guessing or feeling unsure.
Remember, you deserve someone who values you. Don't settle for halfhearted efforts or mixed signals."
31,07/09/24,"Date a woman like this:

• where you don't have to wait for their texts
• where you don't have to keep guessing, assuming and play any games
• where you feel listened and understood
• where you can open up your heart without fears
• where you can sleep at night without any fear or anxiety
• where there is consistency, communication, clarity"
32,07/09/24,"When you’re with a real woman, you realize you don’t need to ask for anything—not an evening out, a text, time or affection. When a woman truly desires you, she naturally does everything for you."
33,07/09/24,"For any man who need to hear this.
There are loving women out there.
There are women who will sit and listen to you while you talk about something that bothered you. There are women out there that will take accountability and apologize.
Women that will make you feel appreciated.
You don't have to go through years of trauma with a woman who doesn't know how to communicate and has no emotional intelligence.
You are worthy of healthy love.
And it is out there, I promise you."
34,06/09/24,You no get nyash you Dey get attitude 🤣😂
35,06/09/24,"You'll never know until you GO!
I mean, think about it
Do u really rest in the REST ROOM?
If we say Rest in Peace when someone Dies
Does it mean, LIFE IS WAR??"
36,06/09/24,I Dey work 🥁
37,04/09/24,Must you naked online ???
38,04/09/24,"Smoke better 💨 watch deliverance on Netflix , e too goes well 🙏"
39,04/09/24,A day with Me or bible study
40,04/09/24,Which one come be “I need your love I don’t need your body again?
41,04/09/24,As a young woman no allow all this toxic boys use love and preek scatter your sweet destiny…
42,04/09/24,I will pick love over religion 🫂
43,04/09/24,"Money when u no get , you ask me I say I no get .. 

Why you come Dey vex for me ?"
44,04/09/24,I am now a changed man 🙇🏿
45,03/09/24,What if this handler is on kolos 🥹
46,03/09/24,Someone somewhere is tired of sleeping with your faithful partner 🥴
47,02/09/24,"Female artiste na so una Dey horny 365 days?

 all the songs i Dey hear na so so knack 🥴"
48,02/09/24,Na seizing of plane Dey reign for the world now lol 😂
49,02/09/24,Happy birthday lost boy 💨🙇🏿🙇🏿🙇🏿
50,02/09/24,"How do you listen to music🥁

Album or playlist?"
51,31/08/24,Guess what I was saying here and win $100
52,31/08/24,"You might destroy your charging port if you don't stick to one charger, and you might also destroy your charger if you keep putting it in every charging port.

This is not about charger and charging port.."
53,31/08/24,Why you Dey fear to post your partner ?
54,29/08/24,List of things or character when dem suppose ban .. let’s have it Guys
55,29/08/24,Which work your boyfriend Dey do ?
56,28/08/24,What has not yet been invented?
57,28/08/24,Area and character 💨🛸💐
58,27/08/24,Make dem ban money for relationship 💨
59,27/08/24,So who no give you money no love you?
60,27/08/24,Source of income 💨…
61,27/08/24,At d end of d day just b rich how u take get money nor rilli concern ppl o
62,27/08/24,"When woman wan revenge you enh , even devil de carry chair sit down near her to learn a thing or two"
63,27/08/24,"One day we go talk about based on logistics and everywhere stew 💨🛸 

I forget say 2 seconds everywhere burst too 

till then make ur favs Dey flex their favs slogan 😂"
64,26/08/24,Make I call my plug because Wahala really be like bicycle 💨🛸
65,26/08/24,Na internet users wan tell you how to spend your hard earn funds ?
66,26/08/24,"I no be Pharaoh oh, 2 secs I don let you go"
67,26/08/24,Them go say na fake when money start to pour 💨
68,26/08/24,I don go sleep good nite
69,25/08/24,I DONT WANNA DIE YOUNG 🛸💨
70,25/08/24,For now Una go manage Cho Cho Cho first
71,25/08/24,What's the safest answer when your girlfriend/wife asks if her friend is hot??
72,25/08/24,"E get where you go broke reach you go come sabi cook , you fit use 600 naira cook fisher man soup 💨"
73,25/08/24,If you Dey find help sell your phone
74,24/08/24,Symbol of wealth at a time 💨🛸🤤
75,24/08/24,Why e be say na babes Dey enjoy my tweet pass ?
76,23/08/24,"You no get money you dey find boyfriend, you wan suffer the boy😒"
77,22/08/24,"Who fit beg Nigerians, when dem go listen for this bolt wars?"
78,22/08/24,"It’s like na only @elonmusk fit settle this South Africa/ Nigeria problem 💨🛸🪵 

na for he app he start 🍿"
79,22/08/24,I know say na South African tinder many of una go sleep this night 😂🤣
80,22/08/24,"59.89m people Wan fight 200million people ? 

Country When 180 million no get work 😂🤣"
81,22/08/24,"Which of una go order hook up come still order bolt for her??? 

Double wahala"
82,22/08/24,"The condition that will force us to start selling our properties to be able to solve problems will never befall us...

🙏❤️"
83,22/08/24,"This Nigeria vs South African fight don turn to tech war ??? 

Who bolt offend ??? 💨🪵🛸"
84,22/08/24,Who say na cooperation make rice full port ?
85,22/08/24,In short make dem ban everything 🙂‍↔️
86,22/08/24,Who taught Africans to hate their fellow Africans ?
87,21/08/24,"Man dey lie give you, you dey do aww🥰"
88,21/08/24,Zero na the best place to start 💨💦
89,21/08/24,How much is dollar today?
90,21/08/24,Because she no sue una for defamation of character ??
91,21/08/24,Las las na baddie finish Samson with all the power when e get 💨🤤
92,21/08/24,How many boyfriends jezebel get before he marry ?
93,21/08/24,Who be Goliath papa ?
94,20/08/24,Na evil forest I Dey crave like dis 💨🛸
95,20/08/24,Make dem ban demure 🤤
96,20/08/24,"You never notice say for Nigeria no body dey pray for long life again? 

Na money everybody dey pray for…"
97,20/08/24,Some of una Dey hustle like say na hungry kill una for una forma life ?
98,20/08/24,Can prayers alone really fix this country?
99,20/08/24,Protect your seeds the world is in a mess
