S/N,DATE,TWEETS
1,1-9-2024,Nothing funny but una two just dey kikiki
2,1-9-2024,When you meet someone & it’s straight up flirty FROM THE JUMP 👌🏾
3,23-8-2024,"Boys wey dey cap, no be for dis place 😌"
4,18-8-2024,Oshay mai dia ❤️
5,2-8-2024,How long do you think you can keep on pushing the people back before it blows up in your face ?
6,2-8-2024,You tried to make it look like the protests were “politically motivated”. Shebi una don see now?
7,2-8-2024,"They say make you leave am, you no gree. Say na your birthright. You can’t now turn a deaf ear."
8,2-8-2024,Genuinely don’t know why it’s so difficult to be humane.
9,30-7-2024,We gats complete am 😤
10,30-7-2024,Enemies tooo plentyyy
11,30-7-2024,"If he run am, then I go accept defeat & relax small lol"
12,30-7-2024,"I never even use all of my powers 😏. Come my side for rematch, so we know it’s real "
13,12-6-2024,So stinkingggg 🤌🏾
14,12-6-2024,Awa la capshure 🌚
15,2-6-2024,Na you talk am o 🤭
16,30-5-2024,😭😭😭 Shebi i don come nau
17,8-2-2024,Nahhhh we are actually the most insane people 😂😂😂
18,25-1-2024,I no know where this time dey fly go
19,25-1-2024,Daz actually kinda mad
20,16-11-2023,No one can spell integrity anymore these days mahn. Sigh
21,25-9-2023,"DERANKS??? Are you telling us he is still a police officer?? What does “Severely reprimanded” even mean?! 
This is insane"
22,13-9-2023,"Wayyyy tooo soon. Terrible news. So heartbreaking 💔 

In all, I am grateful i got to witness your grace. 

I pray God ultimately consoles your family through these times 🙏🏽 🕊️🤍 
@iammohbad_"
23,4-9-2023,😂😂😂 what is the topic of your dissertation?
24,4-9-2023,KWACK dem! *Odumodu voice*
25,4-9-2023,Rumour has it he’s still sliding away 🌚
26,14-8-2023,What is this stinking flow ?🥵🥵🥵
27,13-8-2023,Chinenye says I’m ripe to meet the parents now 🙏🏽 🥹
28,11-8-2023,Love me a mini-skirt enthusiast 🥹
29,9-8-2023,"
Double Homicide"
30,15-6-2023,Very few things in this life make sense reach peppered Turkey 🥺
31,17-5-2023,Still waiting for the IG to call for the arrest of these beasts!
32,12-5-2023,The audacity that stupidity gives you sha. Sigh.
33,12-5-2023,"
Bop Daddy
@falzthebahdguy
·
May 12, 2023
Just find a smart phone & google ACL rupture. ODE 😂😂😂😂"
34,12-5-2023,"😂😂😂😂😂
So pathetic these people are trying sooooo hard to latch on to this knee surgery gist. 
Eyahhh. 
Na so una dey desperate for ammunition."
35,26-4-2023,City are just unreal mahn 😢
36,16-4-2023,"Arsenal mahn. Sigh. Just one single job 😭 
I need cold 
@TrophyLager
 to rinse throat abeg. 
If una like, play rubbish on Friday again. 
I cannot comman die 😒"
37,14-4-2023,"Who knows where I can find 
@TrophyLager
 in London ? 😩"
38,13-4-2023,The expression “men of the underworld” absolutely kills me 😭
39,11-4-2023,A pessimist wouldn’t admit that he is one so he is more likely to say he is being “realistic”. My level of optimism is likely to be unrealistic to him.
40,3-4-2023,"Mr Yakubu 
Oju ati orun 
Enu no dey work
Opolo ti burst!"
41,31-3-2023,"It has come to my notice that a lot of well-meaning citizens of the Federal Republic have one or two things to say to a certain #MrYakubu 

Tiktok, Insta, Twitter, anywhere you are. 
Use this sound, talk your mind.

#MrYakubu #MrYakubuChallenge"
42,30-3-2023,"😂😂 no mind am. If the shoe fit am, make he wear Abeg"
43,29-3-2023,"Make we no forget say over 300 BILLION Naira wey fit build beta infrastructure, Mr Yakubu use am conduct Selection."
44,30-3-2023,😂😂😂 at least mo ka iwe… Kini iwo ka?
45,30-3-2023,🧐 #MrYakubu E ma n se bi fraudster 😏
