S/N,Date,Tweets
1,12-8-2024,"
Please allow me to focus and do my music in peace.
As for the EFCC matter, I will address it before the end of today. Stay tuned! Peace✌🏾
                                                        
                                    PETER OKOYE."
2,9-8-2024,"
Soonest! In works 🙅🏽‍♂️"
3,6-8-2024,"
Diamonds, they say, are forever. 💎💎💎💎💎💎💎 My dear fans, please be patient! 🙅🏽‍♂️🙏🏽"
4,3-8-2024,"

Suya language.😂🤣"
5,31-7-2024,"
RIP Ma Onyeka onwenu🕯️💔😔🕊️😥"
6,24-7-2024,"
Read my pinned post. Good will surely pay me back positively. I trust him so much with faith! 🙏🏽"
7,23-7-2024,"
SCAM!⛔️Better Run🏃‍♂️ 
Giveaway means that Someone is giving away money for free! Not someone telling you to pay money or buy tickets to receive a giveaway🫣 I thought they said Nigerians are wise people. SMH"
8,8-7-2024,"
Read my pinned tweet"
9,7-7-2024,"
They say consistency is key🔑, so I am on it 💯👌🏾"
10,26-6-2024,"
It won't be long now! It's all coming together as we chat."
11,25-6-2024,"
Special Congratulations Mr & Mrs David Adeleke🫶🏾 
@davido
 
@thechefchi
 #chivido2024"
12,17-6-2024,"
Still celebrating Father’s Day as a proud dad☺️🙅🏽‍♂️ 
We are super proud of you ALIONA☺️👌🏾👯👯‍♀️👯‍♂️🫅 #Cheerleading #MissCheerleading"
13,10-6-2024,"
Pls becareful…. Read my pinned tweet."
14,31-5-2024,"
Read my pinned tweet. Be wiser."
15,18-5-2024,"

UPDATE: And i made it for over an hr 30min on stage! Thank you, Istanbul, for the love! And to everyone who made sure I was ok! Remain blessed, y’all.🙅🏽‍♂️🇹🇷"
16,17-5-2024,"

UPDATE: The Surgery hair implant went well and successful! I appreciate everyone looking out for me. I want to say a big Thank You!  I'll still be performing tonight at @foxclubistanbul with a bandage on my head. The show must go on! All tickets SOLD OUT already! Let's do this!"
17,1-5-2024,"

Am I dreaming? No! I am living my dream. "
18,18-4-2024,"
Just disguising😷"
19,25-4-2024,"
You should contemplate the reasons behind your actions. Please take a moment to review my pinned tweet."
20,16-4-2024,"
Scam! Run 🏃"
21,15-4-2024,"

I do not require any evidence to refute any claims. I did not accuse you of lying because you were scammed. Yes, you were deceived by fraudsters who established a Facebook page purporting to be me, but it was never my verified page. The reality is that the Facebook page you mentioned was never affiliated with me. Therefore, hold yourself responsible for the mistake of engaging with an unverified, random Facebook account just because the individual used my name and picture but did not have a verified Facebook account. Period.
"
22,14-4-2024,"
Chai! You don catch me😩"
