S/N,Date,"Miami, thank you! 🇺🇸💖✨"
1,7/6/2024,We made it! Thank you  BORN IN THE WILD OUT NOW
2,26/7/2024,"Miami, thank you!"
3,25/8/2024,It’s officially “I will wait” now though I just thought it was funny af
4,27/8/2024,You’re too fine!❤️❤️❤️
5,25/8/2024,"Maybe now it’s time for me to confess that it was always “I won’t wait for you” but I sang it in a British accent 😩 so it came out as “wun” 😭"
6,21/8/2024,"Very Mindful, Very Tems, Very ESSENCE✨"
7,20/8/2024,"US TOUR begins Thursday!! See you soon Miami!!🇺🇸🕊️✨"
8,01/08/2024,"Out of respect for the on going protest at home🇳🇬, I have decided to postpone the release of Burning music video. Praying for the safety of those outside at this time. 
May the voice of the people be heard🕊️💖"
9,21/7/2024,I’m so excited to be in Barbados!!! 🇧🇧🇧🇧🇧🇧
10,12/7/2024,Until next time Germany! 🇩🇪✨
11,07/07/2024,Oslo! I love you 🇳🇴💖✨
12,2/7/2024,HE HE HE HE HE HE!!
13,21/6/2024,"Thank you for having me boo, I had the best time!!🥰❤️"
14,19/6/2024,"
LV Level 10 🇫🇷✨"
15,16/6/2024,"
Girl oh Girl 🇫🇷🇫🇷🇫🇷"
16,15/6/2024,"
FLOMAR!! I LOVE YOU🥺❤️‍🔥❤️‍🔥❤️‍🔥"
17,14/6/2024,"
Wickedest! 🕊️🌍❤️‍🔥"
18,14/6/2024,"
Sometimes I want to Strangle youuu🥺"
19,12/6/2024,"
Day 1- LONDON 💫"
20,10/6/2024,"
BURNING…❤️‍🔥❤️‍🔥❤️‍🔥"
21,10/6/2024,"
What’s songs are the Gang feeling for the shows? I wanna knowww👇🏿🕊️✨"
22,10/6/2024,"
They really got me performing on my birthday🥲🇬🇧🇬🇧🇬🇧
Spending it with all of you tomorrow!❤️"
23,7/6/2024,"
GANGSTA- Track 8 #Borninthewild 💫"
24,7/6/2024,FRR!! Thank you so much baby girl!!
25,,
26,6/6/2024,Last day at the No album waiting roommm
27,2/6/2024,"

Really enjoyed hanging out with you girl🥹
Love you too! Thank you💫❤️‍🔥🙏🏿"
28,1/6/2024,"
@korty_EO
 I cant remember a single thing 😂😂😂. if you hear anything crazy, it’s not me it’s my clone!!"
29,,
30,1/6/2024,Don’t fold!! I love it
31,31/5/2024,"
A Starrrr indeed! it’s INCREDIBLE!
Congratulations sweetest girl!! 
@ayrastarr
 
“I don fall in loveee”🥹😍❤️‍🔥💫✨"
32,24/5/2024,"
@ameliadimz
 took me on a date and I really enjoyed myself 🥹❤️‍🔥 Chicken shop date out now👇🏾"
33,23/5/2024,"
It only works if you trust God wholeheartedly. #BORNINTHEWILD🌍✨"
34,23/5/2024,"
Had to borrow my mums office clothes😂
The shoe😭😭😭😭😭😭😭"
35,16/5/2024,"
My first child. Look at you now"
36,10/5/2024,"

Omg this made my day! Miss ma’am!!Imma need to send names to 
@IAmDonawon
 right now. 3 tix for you! Love you❤️❤️❤️
See you real soon"
37,10/5/2024,"
This is my most special moment. Everything I have I put into this. Thank you all so much for believing in me. 
BORN IN THE WILD. JUNE 7th 🕊️✨🌍"
38,9/5/2024,"
God is the Greatest."
39,9/5/2024,"May 9
This might be the greatest thing I ever did. Might be the last thing. Whatever happens I accept. 
Thank you to everyone that still believes in me. For being patient. I’m thinking of you. I’m only coming for mine and nothing else❤️‍🔥"
40,9/5/2024,"
Finally learning to trust with this my coconut head✨"
41,4/5/2024,"

Tbh the responses for Love me Jeje have been shocking!! Im feeling so much love I didn’t expect for this song. I’m so excited for this albummm!!😍🥰❤️‍🔥"
42,4/5/2024,"
Beautiful!!!❤️‍🔥❤️‍🔥❤️‍🔥"
43,3/5/2024,"
LOVE ME JEJE OFFICIAL VIDEO OUT NOW ❤️‍🔥 🌍"
44,2/5/2024,"
Damn I look like that fr??"
45,29/4/2024,"
I’M ON YOUR WAVE RIGHT NOWWW🥰"
46,15/4/2024,"
Coachella! I’m too exciteddd
I have a surprise tonight 👀❤️‍🔥"
47,22/3/2024,"
CONGRATULATIONS SUPERSTAR!!! 
Da HEAT OFF THIS??!Sheeesh❤️‍🔥🔥🔥"
48,20/1/2024,"
On est Là✨"
49,19/1/2024,"

It is well."
50,17/1/2024,"
Coachella’24 🕊️😇🤍"
51,19/1/2024,"
I LOVE THIS STORY. Look at the phrasing. Magnificent."
52,5/1/2024,"

So cute!💖"
53,5/1/2024,"

Celebrating all my wins this year, doing my little dance for everything, big, small, up and down. Cuz Jesus has done so much for my life. All glory to the Most High🙏🏿"
54,2/1/2024,"
HAPPY NEW YEAR🥰🥂✨"
55,31/12/2024,Bruh Why am I excited I don’t even know. Thank you Lord!
56,31/12/2024,"
All these games I’m done playing."
57,31/12/2024,"
Lessons all through this year. Lessons on Lessons that have turned into blessings."
58,12/12/2024,"
Going live now in Lagos on 
@THEBEAT999FM
. Also live on my IG so Tune in!!🥰✨"
59,11/12/2024,"
Feeling blessed to be home!!🇳🇬✨"
60,9/12/2024,"

NOT AN ANGEL"
61,24/11/2024,"
Excuse me? LET TEMS BREATHE"
62,21/11/2024,"
So👀…. Ready for new music?"
63,21/11/2024,"
Burberry gyalll 🏵️🏵️🏵️"
64,20/11/2024,"
Hm I’m going offff once this LP is out."
65,20/11/2024,"
I’m a maniac who loves peace of mind."
66,18/11/2024,"
I want to say my mind, but you always take me so seriously."
67,10/11/2024,"

Omo see baby fat!"
68,10/11/2024,"
Seeing these girlies win is actually everything because they work so hard and they believed! I’m so happy and proud rn, a huge congratulations 
So well deserved. More is coming!! 
@ayrastarr
  
@Tyllaaaaaaa"
69,10/11/2024,"
What is sleep atp"
70,10/11/2024,"
Changed our lives forever. His healing power and His saving grace. They don’t know but be acting like they do.
I can’t keep quiet about it!!"
71,7/11/2024,"
Face your front Era✨"
72,23/10/2024,"
Cheeeiii🔥🔥🔥🔥 nahh this my dream girl!! How can I find herrrrr 😍😍😍😍"
73,13/6/2016,"
Bad belle is an evil spirit"
74,15/6/2016,"
Never Doubt God. Never doubt yourself. You can doubt anything else"
75,29/6/2016,"
Whenever you think about the amazing friends you have. Just remember. That's God. Thank Him. He blessed your life with them on purpose."
76,16/10/2017,"
'God will keep exposing you to difficult situations because He knows it's the only way your faith will grow'"
77,19/10/2017,"
God shows you in many ways, that what you think is so important, really isn’t and what you might think isnt, truly is."
78,19/10/2017,"

It’s not you win some you lose some, it’s you win one you lose everything else, only the strong survive the constant beat down that is life"
79,22/2/2018,"Feb 22, 2018
Through honour and dishonour, slander and praise. We are treated as impostors, and yet are true; As unknown and yet well known, as dying and behold we live. As punished and yet, not killed."
80,7/5/2018,"May 7, 2018
The Word of God is the guide."
81,3/5/2018,"
How do you break out of liking your own company and spending time with yourself"
82,25/4/2018,"
God is so amazing, it’s marvellous to look back and realise there’s nothing I’ve needed that God hasn’t provided, even when I thought I wouldn’t make it, I did. There’s absolutely no reason to doubt, when God is behind you, believe it, There’s nothing in life that you CANT do."
83,3/5/2018,"
Anytime someone asks how I stay alone almost always, I don’t really think it’s such a big deal. And then one day I speak to some person and I feel like the loneliest girl in life. And I realise how much I’ve missed, with my friends, my family, my relationships"
84,5/7/2018,"
The Word of God is the guide."
85,8/8/2018,People are so quick to tell everyone else what they need.
86,8/8/2018,"
It’s never too late to be Great."
87,9/8/2018,"
With no food in my stomach ☀️"
88,"29/8/2018
","
The end of a matter is better than its beginning, and patience is better than pride."
89,"29/8/2018
","
Wisdom is a shelter as money is a shelter, but the advantage of knowledge is this: Wisdom preserves those who have it."
90,12/1/2019,"
Thank God for my life, I have nothing to worry about. Fear is an illusion."
91,26/1/2019,"
I’m just waiting to be 30 on paper but I’ve been there for a while now."
92,1/2/2019,"

I promise you even if I went to hide under a rock, trouble must find a way to crawl under there to be looking at me"
93,17/2/2019,"
They say they care so much but do so little and expect so much."
94,30-4-2019,"
I’m already flying, don’t watch me, join me."
95,9-7-2017,"

I danced so carelessly for the first time in my life yesterday.
Fortunately the witnesses at scene decided not to press charges 😂"
