S/N,Date,Tweets
1,17-9-2024,"
heaven no fit fall down"
2,16-9-2024,"
🫂 hug yourself"
3,14-9-2024,"
not even half a fuck"
4,13-9-2024,"
Train, bus, submarine, boat, heli, plane, horse just name it. for gidichow indomie"
5,13-9-2024,"
Fly from anywhere in the world to eat gidichow and that’s on everything I love"
6,29-8-2024,"
love light and motion 🤞🏾❤️"
7,28-8-2024,"
GOD ABEG 🙏🏽"
8,28-8-2024,"
Crayon must be protected! "
9,27-8-2024,"
lots of heart"
10,26-8-2024,"
Na music dey burst my head"
11,25-8-2024,"
once you know, don’t forget"
12,20-8-2024,"
Good music! forever music."
13,18-8-2024,"

Eye dey see shege for fitfam but we move, sexy is here 🤞🏾"
14,17-8-2024,"
Thank God for correct uncles and Aunties ❤️🌹"
15,17-8-2024,"
Outside too hot, inside AC too cold. Life and balance dey fight"
16,17-8-2024,Na now you just dey find out
17,17-8-2024,"
The juju nearly work https://x.com/zavibaby103/st/zavibaby103/status/1824826018625925543"
18,17-8-2024,"


90 summers of we’re lucky! Enjoy your time"
19,17-8-2024,"
No be me kuku cause Nigeria problem"
20,17-8-2024,"
You dey crase"
21,17-8-2024,"
S/O my mama 🌹"
22,17-8-2024,"
I love you too 🤞🏾"
23,17-8-2024,"
Been around the world! And we go again"
24,17-8-2024,"
America 🇺🇸"
25,17-8-2024,beautiful onyinye
26,17-8-2024,"

Make Psqaure just fight, on a boxing ring p 🥊"
27,15-8-2024,"
God too real! ❤️🌹"
28,14-8-2024,"
Nobody spread rumor pass people wey no know wetin happen"
29,13-8-2024,"
Real life superhero 🤞🏾🚀"
30,10-8-2024,"
Cheers! To the citizens of the world ❤️🚀"
31,10-8-2024,"
Life a merry go round. Enjoy it 🤞🏾"
32,30-7-2024,"
Wanna be my accountability partner?? You’ve done so well!! ❤️🌹"
33,30-7-2024,"
God direction and protection 🤞🏾"
34,29-7-2024,"
me wey I know 😂"
35,29-7-2024,"
Bastard stubborn"
36,22-7-2024,"
Don’t be ungrateful to God"
37,19-7-2024,"
real sky flyer"
38,16-7-2024,"

Thank you God for music, thank you for my gift 💝"
39,14-7-2024,"
I’ll tell the stories of our lives!"
40,12-7-2024,"
What shoe for Friday??"
41,11-7-2024,"
God everyday"
42,10-7-2024,"
Thank you God for everything ❤️🚀"
43,9-7-2024,"
God be praised"
44,8-7-2024,"
friend or foe"
45,8-7-2024,"

HOW MUCH MONEY DO YOU NEED?"
46,8-7-2024,"

Like 100 trillion zillion"
47,4-7-2024,"

mtchew"
48,24-6-2024,"
African 🏀"
49,24-6-2024,"
Just a little more"
50,24-6-2024,"
Everyday"
51,22-6-2024,"
young menace 🎩"
52,17-6-2024,"
Love the sky"
53,14-6-2024,"

The bag is nice."
54,13-6-2024,"

Breakieeee"
55,13-6-2024,"

Gidi chow indomie in my headdddddd like everyday because whyyyyyyyy 😫😫😫😫😫😫"
56,12-6-2024,"

It’s 7pm in LA B"
57,12-6-2024,"
Wetin you dey talk"
58,12-6-2024,"
laugh"
59,11-6-2024,"
Overthinking no fit solve problem 💡."
60,10-6-2024,"
Follow your heart, if dem break am, mend am, make dem break am again."
61,5-6-2024,"
You go see true colors you go color blind"
62,4-6-2024,youthful old soul
63,3-6-2024,"
We ain’t never gon stop!!!!!!"
64,3-6-2024,"
Gods love is the highest ❤️🚀"
65,3-6-2024,"

needle and thread"
66,1-6-2024,"
💦🔫 ready"
67,1-6-2024,"
summer is here, clean your pools"
68,31-5-2024,take care of you
69,30-5-2024,"

Eleribu ri olorire so pe the same ni won."
70,30-5-2024,"
On this journey, make it worth while. enjoy no matter what"
71,30-5-2024,"
happiness everyday"
72,29-5-2024,"
kids ain’t joking this summer, they out to spend our moneeyyyyyyyyyyyyy"
73,29-5-2024,"
little users, use meeeeee away today wowwwwwwww"
74,29-5-2024,"
nieces and nephews don’t care 😩 they just want what they want."
75,29-5-2024,"
Spent $1k at build a bear today because i dey craseeeee"
76,29-5-2024,"
talk, z workings"
77,29-5-2024,"
Thankful for this precious gift Lifeeeeeeee!!!"
78,29-5-2024,"
btw don’t forget to live, everything else is a trap."
79,29-5-2024,"
if idgaf was a person 😇"
80,29-5-2024,"
Arise o compatriots, I’ll miss you, thank you for so many child hood memories. till
we meet again, love SM"
81,29-5-2024,"
Trust God, trust in thyself!!"
82,28-5-2024,"
skoin skoin"
83,28-5-2024,"
all of em"
84,26-5-2024,"
Good God"
85,24-5-2024,"

just know"
86,22-5-2024,"
don’t chat to me"
87,21-5-2024,"
ki ni mo need bayi"
88,21-5-2024,"
Wicked people all over the world, i greet you o"
89,21-5-2024,Wetin concern me
90,20-5-2024,Let the kids enjoy the summer
91,19-5-2024,"

ruh take out the b bruh 😩"
92,17-5-2024,"
😂😂😂 with yo cascade ass"
93,17-5-2024,"go to bed dripping, wake up with new garms on."
94,17-5-2024,"
idgaf like a cascade nigga"
95,17-5-2024,"
Before I dip, imma sling the shot with da steeze"
96,16-5-2024,"
God you too much"
97,16-5-2024,"
in ya head
"
98,14-5-2024,"
Ikoyi no be lekki!!!!!"
99,13-5-2024,Thank you God for everything ❤️🥇
100,12-5-2024,"
Oluwa oshe o!! Atobiju oba iyanu oshe ooo"
101,11-5-2024,"
bball, they weyres wey dey kiss their sef don break up"
102,11-5-2024,"
primary 3 friday typa happiness"
103,11-5-2024,"
lots of heart"
104,11-5-2024,"
Rappers having fun"
105,11-5-2024,"
Cross em ts and dot em i’s"
106,10-5-2024,"
God bless"
107,9-5-2024,"
Talk to the clouds"
108,6-5-2024,"

Happiness and sexiness, that’s how I’m living"
109,6-5-2024,"
Sexiness is a state of the mind body and soul. It’s a way of life"
110,6-5-2024,"
Summer summer summer summer summer"
111,6-5-2024,"
sexy summer like a muhfuckaaaaa"
112,6-5-2024,Woke up in paris!
113,5-5-2024,"
At this point I’m a pilot"
114,5-5-2024,"
Tiger and capri on my bed"
115,4-5-2024,"

On my cowboy steeze, happy muhfuckaaa"
116,4-5-2024,"
Gast enjoy lagos today, like 6 months in one day! Only me"
117,4-5-2024,"
24 hours in lagos, I need suya this afternoon"
118,4-5-2024,"
MET IBD IN 2014 AND HE WAS SO GOOD TO ME, EVEN BEFORE I BLEW UP, SO WHEN I SEE HIM, ITS ALWAYS LOVE. I HONESTLY HAD NO KNOWLEDGE OF ANY CRIMINAL ACTIVITIES ASSOCIATED WITH HIM. I DO NOT SUPPORT CRIMINALS, SO LET THE LAW TAKE ITS COURSE"
119,4-5-2024,"
HYPOCRITES 😂😂😂"
120,4-5-2024,"
TWITTER SPACE FOR MY FANS IN A BIT!!!! MAKE I BRUSH TEETH"
121,3-5-2024,"
I GOT 20 KIDS IN SCHOOL, 10 PRIVATE UNIVERSITY STUDENTS, 3 IN BABCOCK, 3 IN C.U, 3 IN REEDEMERS AND 1 IN AUN, 

10 KIDS IN PRIVATE SECONDARY SCHOOLS, 3 IN THE EAST,  3 IN LAGOS AND 1 IN JOS. ALL IN BOARDING SCHOOL. I PAY AND TAKE CARE OF THEIR FEES, AND IM ACTIVE IN THEIR LIVES. 
WHAT HAVE YOU DONE ???? AS A CITIZEN OF THIS COUNTRY"
122,3-5-2024,I JUST DEY LAND!!! I DEY COME!!!
123,3-5-2024,I’m lo mo ton je pumping? Se skilla abi woro?
124,3-5-2024,Faaaji lojo jimoh
125,3-5-2024,Ijogbon ninu eje mi lo sun si
126,3-5-2024,Malaika wey your momsi and grandma dey use greet God
127,3-5-2024,Standing on ten toes like hunnid
128,3-5-2024,Lmaaaooo you be fuuu 😂😂😂
129,3-5-2024,I love to have fun!!!!
130,3-5-2024,Na why God never answer you 😂😂😂
131,3-5-2024,Spit on them and their minions!!!!!
132,3-5-2024,Alone like a billion
133,3-5-2024,No guarantor
134,3-5-2024,"
Night time, day somewhere else"
135,3-5-2024,"
Tell your momsi,make she remarry rich person, comot una from this poverty"
136,3-5-2024,"
Submarine next"
137,3-5-2024,"
Put that nigga in a four wheeler"
138,1-5-2024,"
Good things are coming!!!"
139,30-4-2024,"
Aye gba motion ✈️"
140,30-4-2024,"
E sweet die"
141,30-4-2024,"
My chef wan kee me 😩"
142,30-4-2024,You wan chop the one wey I remain?
143,30-4-2024,God no go Shame us!!! 😇
144,29-4-2024,Capetown wey your leg never touch
145,29-4-2024,Bants no dey pain pesin wey well o.
146,29-4-2024,gave you your highest retweet. I’m your DAD!!!!!!
147,29-4-2024,Wetin hunger go cause ehhhhhhhhh
148,29-4-2024,"Pesin wey leave me many properties, e try oooo"
149,29-4-2024,"Na inside bullet den born me, my papa na soldier"
150,29-4-2024,We don beat ourself for house we don taya
151,29-4-2024,Life for capetown too sweeeeet I swearrrrrrrrr
152,29-4-2024,Deity dey play for where i dey ooooo
153,29-4-2024,"Na next week I wan start diet, i dey chop life for capetown like this 😩😩😩"
154,29-4-2024,"Real life craze, No be twitter o"
155,29-4-2024,Wetin happen
156,24-4-2024,Jet lag lagging
157,13-4-2024,Swear on riz and steez
158,1-4-2024,"People who ain’t never did shit, talk the most shit."
159,31-3-2024,"
outside outsiding"
160,28-3-2024,the waiters don’t ask me for my order no more. I gotta end it now
161,9-3-2024,wee of the morning
162,7-3-2024,"Fork typa gyal, spoon fi garrnnn"
163,5-3-2024,You cannot cancel what God has ordained!!
164,16-2-2024,"
God protects, allow him ❤️❤️"
165,13-2-2024,"
Life is to be lived, enjoy it, both the good and bad. May our days be filled with love and joy."
166,12-2-2024,"
I FINE PASS MY SELF!!!!! 😩😩😩😩"
167,11-2-2024,"
I need oxygen!!!!!!!!!!!!!!"
168,11-2-2024,"
God I use God beg you Abeg"
169,11-2-2024,"
WE DON SCORE OOOOOOO"
170,7-2-2024,"
I HAVE A GOD WHO NEVER FAILS"
171,7-2-2024,"
It is well"
172,7-2-2024,"
After this match, Chelsea go come chop beating again. Na wa ooooo"
173,7-2-2024,"
Many relationships dey on the line like this ooooooo"
174,7-2-2024,"
Somebody check on me 🥲"
175,7-2-2024,"
What In the fix is this shit!! Like WTF"
176,7-2-2024,"
Bruh this is some fuck shit"
177,7-2-2024,"
Letsssssss gooooooo THANK YOU GOD"
178,6-2-2024,"
It will, don’t you even flinch"
179,5-2-2024,"
UNA DON START OOOOO"
180,2-2-2024,"
LETSSSSSSS GOOOOOOOO 🇳🇬🇳🇬🇳🇬🇳🇬🇳🇬🇳🇬🇳🇬"
181,23-1-2024,"
If dem no ask you out, no go Dey claim ownership o."
182,20-1-2024,"
Lem my own jeje!!!"
183,19-1-2024,"
I Dey crush on myself 🎉"
184,17-1-2024,"
what’s funny"
185,14-1-2024,"
All green!! Pls dear"
186,14-1-2024,"
I wan enter pitch myself, give me the ball abeg"
187,13-1-2024,"
don’t you go betraying yourself"
188,13-1-2024,"
I remember high school"
189,13-1-2024,"
Just know, it’s you or you."
190,13-1-2024,"
God guide my Steppings!"
191,13-1-2024,"
Na money dey my mind."
192,11-1-2024,"
If you give me fried rice for dream, put plenty turkey and dodo abeg"
193,10-1-2024,"
my voice i greet you, help me hail melody."
194,10-1-2024,"
Wicked people I greet you o!!!"
195,7-1-2024,"
Smiling and frowning "
196,7-1-2024,Chest is high ! Morale on a trill.
197,7-1-2024,"
God do all!!!"
198,6-1-2024,"
Curry it from way outside"
199,5-1-2024,"
GOD loved me first.."
200,5-1-2024,"
bean got krest on the highway"
201,5-1-2024,"
real life menace"
202,5-1-2024,"
2024 NO GREE FOR ANYBODY PAPA!!"
203,3-1-2024,"
God is good ❤️"
204,1-1-2024,"
HAPPY NEW YEAR!!! ❤️❤️❤️"
205,1-1-2024,"
HAPPY NEW YEAR!!! ❤️❤️❤️"
206,31-12-2023,"
THANK YOU 2023, 2024 CONGRATULATIONS IN ADVANCE ❤️"
207,29-12-2023,"
LOVE YOURSELF!! THATS THE REAL PRIZE 🏆"
208,26-12-2023,I NO GET PJAMAS O
209,25-12-2023,MERRY CHRISTMAS 🎄
210,22-12-2023,BIRTHDAY IN AN HOUR!!!!!!!! 💃🏻💃🏻💃🏻
211,19-12-2023,"CHRISTMAS DON REACH O AND HARMATTAN DEY BUT I HOPE SEY POCKET NO DRY FOR MY SUGAR BABIES!!!!! IF E RED, SUGAR MUMMMY WAN MAKE AM PURPLEEEEEE 💜💜💜 💜💜💜💜💜💜💜💜💜"
212,19-12-2023,GOT SOMETHING FOR YALL!!!!  🚀🚀🚀🚀🚀🚀🚀🚀🚀🚀
213,16-12-2023,"MUSIC, FOOD TO MY SOUL 🎶"
214,14-12-2023,"YOUNG BLACK GIRL FROM AFRICA 🌞https://platoon.lnk.to/TOTS
"
215,10-12-2023,PRAYING FOR ALL CHELSEA FANS ❣️
216,10-12-2023,MALAIKAAAA TI SOKALEWA!!!!!  
217,8-12-2023,LAST NIGHT WAS CRAZY!!!! WHAT AN INTIMATE NIGHT WITH MY FANS. I ENJOYED SINGING TO ALBUM TO YALL. LOTS OF LOVE ❤️ TEARS OF THE SUN 🌞
218,1-12-2023,GOD BIG PASS ALL!!!!!! SO THANKFUL 🙏🏽
219,30-11-2023,"
TELL ME WHAT YOU ARE THANKFUL FOR IN THE REPLIES "
220,29-11-2023,BLACK GIRLS ARE BEAUTIFUL 😍 YBGFA!!!!!!!! NEVER STOP CHASING THE RAINBOW ❤️
221,28-11-2023,YOUNG BLACK GIRL FROM AFRICA!!!! 🌞🌎
222,28-11-2023,"
EVERYDAY YOU WAKE UP ALIVE, JUST KNOW YOURE BLESSED!!!!"
223,28-11-2023,MALAIKA SOKALEWA!!!!!!!!!
224,28-11-2023,"SORRY O, I STILL WANT TO BEAT YOUR BABY DADDY THOUGH!!"
225,27-11-2023,MY ENEMIES DEM DEY WAIT FOR ME!! E TOO SURE FOR ME 🌞
226,27-11-2023,THE HATE MAKES ME HAPPY TOO!!! BECAUSE IF YOU NEVER GET HATERS YOU NEVER HOT REACH!!!!! ❤️❤️❤️💃🏻💃🏻💃🏻💃🏻
227,27-11-2023,TEARS OF THE SUN ALBUM DON TEAR!!!!!! MY ENEMIES COME OUTSIDE  MAKE I TEAR UNA CLOTH.
