S/N,DATE,TWEET
1,7-9-2024,Na to begin famz NINiola because of rice 😊… na NINtendo wey dey no worry 🫶🏾
2,7-9-2024,"NIN=cheaper food…

Welcome to NINGERIA.

The land of milk and hoNIN…🫡"
3,7-9-2024,"You can’t run away from the cleansing work needed to be done to help every African to see their inner light.

There is more work to do than interviews if the original idea is about EQUALITY AND SOCIAL JUSTICE FOR ALL."
4,6-9-2024,"Again, if you are a fan / follower and you have kids, introduce your children ( especially daughters ) to calculated fighting in Self defense…

Told a mother one time but she said the daughter will be raised “ soft “ as a flower.

I left it only for her to think about it later and try but by then the child was already interest in other things.

Men, once again, save your bloodline for the bad ways of men."
5,5-9-2024,"After admitting this flaw, what next? Stay in your light… e get why."
6,5-9-2024,Establishment wey dey crase…
7,5-9-2024,"
Omo, a lot should have tried to pay attention to comprehension in school… 

it’s disgustingly embarrassing.
Going by how many are, they should shutdown all schools in Nigeria. It’s of no use at this point . Lol"
8,5-9-2024,"Tribalism won’t save you. 

you have tribal rulers in kings and chiefs selling you to any money man. 

Your fellow tribes men and women do everyday business that destroys your health everyday.

You have men in “ power “ from your home town who wouldn’t build infrastructure in their ( and your ) home town.

You are wasting all our time but who is anyone to tell anyone how to be?
Last edited

"
9,5-9-2024,"
how are those using the Bible as a life guide missing the point where God frowns at those who steal from his people saying they will  face disaster which you already see with some popular “ endorsers”. ; dem dey face better disaster because of their political alliance.

Bible dey"
10,4-9-2024,"
Victor osimhen #45 as in 4 + 5… 

May he have a great time in Galatasary.

⚽️🏟️⚽️"
11,4-9-2024,"
Nobody is perfect but e get why dem dey say “ don’t be stupid “.

❤️😊❤️"
12,3-9-2024,"
The masquerades are out to show out today in Lafiaji…

😊"
13,31-8-2024,"Any decision any Nigerian player makes, as long as it’s not harming anybody ( minus Una wey betting wan finish una life 😂), is fine.

I am not living your life for you so why should i have any opinion about your decisions as a player in a field i dont play in?

Good luck to victor through this time."
14,31-8-2024,"
Would be interesting to see the striker that will deliver on victor’s level of intensity and hunger as the season begins…"
15,30-8-2024,"
People are easily tiring these days truly. Look around… even though any Nigerian is probably “ damaged “ based on reality."
16,28-8-2024,"Love is enough actually because, 

na love dey make everybody kaju based on human fallibility.

If God is love, does that mean God is not enough?"
17,28-8-2024,"
You no like Charles Darwin?"
18,28-8-2024,"
as much as you can, Replace the artificial sweeteners in your life with natural sweeteners.

Replace your spices with as much natural options as possible and live your vices as you accept death is a must for all and you may find strength to deal with the other important things."
19,28-8-2024,"If you want theif, thief… which wan be explanation before you run am?"
20,28-8-2024,"
As fake leaders dey church and mosque, na so fake herbalists dey. 

The only way out of all of these is within ( where the spirit is ). 

You have to decide every day what your stance is to everything happening… even if in your own flaws; 
"
21,28-8-2024,"
You wan carry people wey dey poison you go fight people wey dey poison you? 

Don’t you see they are the same?

Lol."
22,28-8-2024,"
Dem go Dey send sermon wey dem suppose hear alone take change their greedy ways wey dey help destroy majority of their people peace… their extended families self dey game oh but na lie… 

imo ti ara eni nikan ti 🤯 ori gbogbo wan.

Well, set awan Olori l’awa…"
23,28-8-2024,"
i also notice the more you are pro-African ways like as in ifá, the more the religious ones judge you exactly how“ their Holy Book “ has told them is sinful.

Many of them don’t want to be accountable for the type of work it takes to be an honest believer in God’s ways."
24,28-8-2024,"
If many of una pastors dey tell una simple truth, many of una no go dey comfortable going to “ church “… by the way, going to church is going to the self if “ HE THAT IS IN YOU IS GREATER THAN… “"
25,28-8-2024,"
Note that he is just a ordinary citizen like you too😊"
26,28-8-2024,"
People who believe God’s excellence has proof in something that’s man made? 

Clowns"
27,28-8-2024,"
People selling fake drinks and drugs that harm and “off “ their fellow countrymen and women ( youth and older ) are the same as the “ evil “ politicians.

I gradually realize the fight is more around regular folks than the “ elite “ who usually just seize opportunity"
28,27-8-2024,"
people have the human right of association or dissociation and by this universal truth, should be allowed to separate themselves from any thing that honestly doesn’t work for them.

Unity is about individuals coming together…"
29,27-8-2024,"
Politicians dey destroy the lives of parents wey go give birth who their children go fall in love with.

😊"
30,26-8-2024,"
Put face make you sure😊"
31,26-8-2024,"
“ Oya oh oh oh ju’pa “

⚡️🐍⚡️"
32,24-8-2024,"

May we worship God and love all men

❤️🐍❤️"
33,23-8-2024,"
Dr ifatunde umar on a podcast about hiphop is hilarious and shows how shallow many “ hiphop Heads “ have always been."
34,22-8-2024,"
Be rest assured that, by the way things are going, the powerful will continue to face the result of their actions since generations ago. 

Their children live and interact with other children from the society they are destroying… 

Peace to everybody who deserves peace."
35,22-8-2024,"
giving Odegaard \ Havertz combo with it’s own calm style of finesse but also defensively aware. 

Looks like Arteta is adding more option for attack play and retract for more defensive support… he’s a mad man 😂.

Interesting choice of player to this current squad 🤔"
36,22-8-2024,"
Made my own green by myself that’s algae"
37,22-8-2024,"
Nigeria is not the giant of Africa… 

🫡NIGERIANS ARE."
38,22-8-2024,"
Nigerians wey I dey reason say colonial master go dey regret right now say dem interfere with these kind minds.

Na Yoruba culture thinking Dey help me check because if not, me self na the average NIGERIAN normally based on many many."
39,21-8-2024,"
I know what it means for a KC boy to “Gba” for a Gregs boy… Gazamba and 
@escobar470
 beat many to it tho"
40,21-8-2024,"
Let’s get this person some Larry Spice  
@ThaBoyYom
"
41,21-8-2024,"i am willing to do God’s will if God wills… it’s out of my hands honestly. 

😊"
42,21-8-2024,"
You don’t fear God, it’s cool… i’ll let God deal with you then; even if it means using me to teach the lesson… USE ME LORD!"
43,19-8-2024,"
“….Why wound a start trek… “ no be fire London. You must waka shaa ni"
44,18-8-2024,"
Ladies and gentlemen… Your Sunday sermon… Lmao"
45,18-8-2024,"
Then cultural way don set proper way for man to be ( Omo olu iwa bi in the Yoruba context ) before “ swearing “… ogun and co, in view, are only sought in situations where there is a derail from the proper set way."
46,18-8-2024,"
No be everything be action. Many times na reason first so the action go make honest intended impact"
47,18-8-2024,"
Una wey go rather go famz “ man of God “ than to stand with wetin simply dey right even if e no really favor una?

Religious people wey dey behave like say the religious books no dey address them too… Abi no be religious people dey government? Make una dey play fight dey go…"
48,18-8-2024,"
See new posts
Conversation
Teslim.
@VectorThaViper
If all of una dey talk boldly like this for the handles of the people we dey destroy una opportunities and the people wey dey join people wey dey put all of una for this predicament, we for don get better head way for where all of us dey go but herr we are as usual. 

You are becoming same with the “ principalities and powers “ by poisoning the conversation of enlightenment; your biology is sending you to hell… I told you already."
49,18-8-2024,"
Your dustbin go full later."
50,18-8-2024,"
A successful man is one who knows himself… a lost man may find himself in something that isn’t part his original natural self"
51,18-8-2024,"

Being broke is not terminal illness…

And as for money, let’s act like we haven’t learnt that all that glitters isn’t gold and that money can never be a constant figure ( it always either increases or decrease as long as man lives).

Alaaru t’on je buredi…"
52,17-8-2024,"
Thankful in life for experiencing my kind of people… music has blessed me with this and i am grateful again.

❤️🐍❤️"
53,16-8-2024,"

Nigerian government isn’t ready for the rise of the digital rebellion… people wey no sabi anything other than money and loans na them wan face people wey impoverishment don turn them to “ cerebro “ for hustle?  Lol."
54,13-8-2024,"

All already know the king killer will smile over your death
You must be living upsides down with the tiles over your head 

Lol"
55,13-8-2024,"
Why are some surprised that music takes time to circulate amidst listeners? 

Na music no be order; breathe bro.

❤️🐍❤️"
56,12-8-2024,"
This is a wrong way to think you should be saddened by how they treat Africans whether Nigerian or people of Congo"
57,12-8-2024,"
If not for foolish leaders, wetin any person wan follow me talk as a Nigerian for this life? 
Na oil, Arts, Music, strength, brain, style or resource?

What can they have that is so great that i as a Nigerian shall tremble in marvel? 

Alas, everybody deserves what they get in life so i wish the African people who feel they can liberate themselves from their dog walkers by themselves ALONE good luck… time always tells.

Moving on…"
58,12-8-2024,"
You wey my pikin senior for height? 

Wo oju mi ki o ri olodumare lo’ke"
59,12-8-2024,"
I saw this happen with channel O before now and to be honest , he have the right to preserve their culture as they deem fit… you know say Nigerians are dominating by nature so yeah…"
60,12-8-2024,"

Buju may not know the musical implications of his argument. The talking drum for example plays a variety of beat patterns ( including dancehall ) in syncopations so complex that if anyone takes time, they will see that many original musical  inspiration comes from the Original side of the African music spectrum.

I like reggae and dancehall still…"
61,12-8-2024,"
Anybody wey you need to remind say you do good for a no worth am"
62,12-8-2024,"
When them self finish make dem come back… that said, Dey think properly before you respond to issues of intellect."
63,12-8-2024,"
Olodo! Na amapiano na him you see for all the attacks wey don dey so since before amapiano blow?"
64,12-8-2024,"
Pastors couldn’t redeem him… he’s a lost case"
65,12-8-2024,"
With the way they stigmatize Nigerians, you would think we don’t have Nigerians saving the lives of  many people outside Nigeria from sports to music to science and tech, academia, healthcare and more. 

i don’t rate the countries genuinely stigmatizing my people because i know Nigerians add life to anything they are a part of. 

As for crime, you must be stupid to think we are the most criminal in the society where the drugs you claim come into your land via your native ports…lol 

I don’t even know why many are traveling to these places to face racism and xenophobia…  guess many would rather go and ride the bus Rosa parks ( and her likes ) fought for blacks to ride freely in than be like her in their own immediate reality."
66,12-8-2024,"
now here’s the twist…
You mean all those people who have “ spiritual powers “to harm from afar don’t have a problem with how their leaders are disrespecting their humanity and selfishly making decisions that puts them and all their loved ones in constant stress and loss of life? 

As in, na just person wey dey try do better for life them dey focus on? ( as evident many times on social media ) Lol…

After this thought , if you still believe a man somewhere can read a book and become more important in your life than you with God then this talk is above you.

Ma jeun before you pay."
67,11-8-2024,"
Ma jeun before you pay😉"
68,Nov 8,"
i genuinely feel the music world may be losing the simple essence of music and since you can’t fault man for however man chooses to live, it may be best to let everyone be how they deem fit is best for them 
( may we all find what we desire ).

Again, the desire with music is simply to connect with who ever is ready to pair again and again…

…and as for “flowers”? 
What is “flowers” to vast gardens of supporters in fans? 

Make we just dey flex make music Dey go… nobody lives forever.

Ma jeun before you pay on Sunday."
69,9-8-2024,"
Covid happen and all miracles pause now “men of God “ don Dey seek judgement before judgement day😒

last last eye no need hand to open; No chop food before you pay…"
70,9-8-2024,"
I see how you look up to such scenarios"
71,6-8-2024,"
Still standing out; emi ni omo ti o sun’le"
72,6-8-2024,"
Olanrewaju omo ga… iwo saa maa rora se…
"
73,5-8-2024,"
I think their individual names is just fine"
74,5-8-2024,"
Oya no vex…😊"
75,5-8-2024,"
I always gift my loved ones music so we can all celebrate together in music… 

Omo! See answer noooooow!!!!! 😤

❤️🐍"
76,5-8-2024,"
Wa sere padieh💪🏾"
77,5-8-2024,"
YOU STILL NEED MUSIC IN TRYING TIMES  TEGWOLO!!!"
78,5-8-2024,"
Nothing toned down ; many of you just don’t pay enough attention to the things you claim you love enough to follow it as it grows; you’re stuck in your own thoughts. 

Tomorrow begins a story you should just follow… it’s leading somewhere😎.

Oshamoh?"
79,5-8-2024,"
Back to music… tomorrow we commence. A7 begins."
80,5-8-2024,"
And you believe this rubbish you wrote? 
Interesting times."
81,5-8-2024,"
Maybe it’s because it’s an intelligence thing?"
82,5-8-2024,"
Them Dey hail teams wey Dey ball presently you Dey say your team don win something before… ok now. You know say na your team go first win something before. Lol."
83,5-8-2024,"
What is herb to consciousness🫥?"
84,5-8-2024,"
…The only way to win is by the brain"
85,5-8-2024,"
Na the people way dey support the ones wey dey help politicians spoil people lives; many of you don’t check them enough based on accountability…"
86,5-8-2024,"
At the “ peak “ of his game"
87,5-8-2024,"
Sure thing king… may the campaign be #successful"
88,5-8-2024,"
Since Kanu Nwankwo “ Papilo “ era…

New season; new reason.
"
89,5-8-2024,"
Sadly, you can’t force a Nigerian to be tired of hardship.

 said it many times that we must revolt against the people around us first before we collectively revolt against the system. 

Why? 
There are many who honestly don’t have informed understanding of what’s going on and those people are easily impressioned into the wrong stance… you can’t win a war with enemies within."
90,5-8-2024,"
The new military pregnancy test kit… you pee on the black panel and the tip prints the results.
"
91,5-8-2024,"
My message is not to the rappers ( those ones, NO PRESSURE )… my message is to you who may not know the hell you are likely to get into simply because you are an artist honestly looking up to someone who knows “ the way “ when in truth, it’s knowledge of the way to Hell.

EOD."
92,5-8-2024,"
I’m not anywhere i shouldn’t be… the great men are usually sabotaged by their closest environment then after the betrayal, everyone will agree they are great… that’s why the music message must be ever green; we have hacked the system of the ingrate"
93,Aug 5,"
Haven’t responded to Hiphop commentaries in a long minute because the genre has the most vocal ignorants who know nothing about the art style of different artists they speak about. 

That said, Hiphop is a genre that stands with some HARD truth. 

Hiphop doesn’t need fakes who use money and affluence to fight lyrical battles… I have had beefs with rappers but never thought to stop their “ 💼 “; i have put some on platforms that they would never put me for reasons best known to them if roles were reversed (and trust me, the roles have been reverse many times ) but hey “ i think they scared of me is my guess “.

there are so many Hiphop affiliated execs (rappers ) who sell out their people in contractual greed; one of them you praise on here helps labels buy artists catalogues for cheap simply because if you convert the money to Naira, 
iss plenty. 

Many of you think some of these weak men are hard rappers simply because they tell you on tracks… lol 

what then differs them from politicians? 
"
94,4-8-2024," 
Zoro is doing something with his new single blending traditional igbo and Yoruba instruments in production… 

There is a message in there somewhere #EgoOwo
@ZoroSwagbag"
95,4-8-2024,"
Them no dey tell blind man say rain dey fall…"
