S/N,Date,Tweet
1,16-08,Big up dat egbon wey Dey call me IBRAHIM! E Dey muzz me ❤️🦅
4,19/08/24,Da science of making music is amazing
5,16/08/24,@wizkidayo don fall in love again 😂❤️
6,16/08/24,Awon werey kan Lon correct daddy won
7,16/08/24,Appreciate u’re alive with me in this beautiful world blessed by God! ❤️🦅
8,16/08/24,Don’t get it twisted love is a beautiful thing!
9,16/08/24,Appreciate life 🦅
10,16/08/24,Una papa! 🦅
11,14/08/24,Una papa !! ❤️🦅
12,16/07/24,Appreciate all of the love ❤️🦅 God bless and grant all the heart desires! Real thankful ❤️🦅
13,16/07,"Happy Birthday WizKid ❤️🦅
Our very own Starboy.

Keep winning 💯"
14,15/07,Go on and prosper 🔥🦅
15,15/07,Amen o
16,04/07,And to everyone that has ever lost their mother/family members or anyone close dealing with the struggle everyday! God is real . And He will console and comfort you! PRAY! ❤️
17,15/07,Tomorrow go long Number 1 ❤️🦅
18,15/07,OBLEE 🦅
19,04/07,Happy birthday love of my life! Miss you everyday. First one without you here feels unreal. Nothing makes sense without you mama! Life is empty without you. Continue to watch over us ! My heart is broken forever ! 💔 love you love love you MORAYO mi. Your smile is all a memory I will never forget. Your laugh! Your hugs and kisses. I miss you dearly! ❤️❤️
20,04/07,Morayo lives on 🤍🦅
21,04/07,Nothing is ever going to be the same! Watch me! 😎❤️🦅
22,04/07,A lot has changed ❤️🦅
23,28/06,Ofoju Jo Wizzy 😎❤️🦅
24,27/06,Believe God ❤️🦅
25,27/06,Base On Believe He never disappoint
26,27/06,God is the only Surest BACKUP ❤️🦅
27,27/06,I love life! ❤️🦅
28,27/06/24,"Bitch , i wake up every morning look in the mirror kiss myself ! Sosa! ❤️🦅"
29,24/06/24,Life is love my friend! ❤️🦅
30,24/06/24,Love everyone you love deeply. ❤️🦅
31,24/06/24,Same as everyone on earth. Nothing special
32,24/06/24,No more war ❤️🦅
33,24/06/24,You can’t live with one. Everyday’s a blessing ❤️🦅
34,24/06/24,Free for another hour! Love you babies
35,24/06/24,Still thinking what to call it . ❤️😇🦅
36,24/06/24,"lol ok let me explain where I’m at to you guys. I love God more now, love family,Love self and no hate in my heart for no man. Don’t mix my tweets up. Smoke a joint pls my babies ❤️🦅"
37,24/06/24,Smoke a joint before u read any of my tweets moving forward. ❤️🦅
38,24/06/24,Y’all so foolish. Don’t mix up my tweets . I wish everybody well ❤️🦅
39,24/06/24,Now Enjoy your day my babies! Daddy loves you ! Spread love ! ❤️🦅
40,24/06/24,That’s my daily rant on how much I love my family ❤️🦅😇
41,24/06/24,Love you to the moon and back ❤️🦅😍
42,24/06/24,My babies so beautiful! ❤️😇🦅
43,24/06/24,He a trip 😂🤣❤️🦅
44,24/06/24,😂🤣that’s his face when he mad ! 😂🤣
45,24/06/24,AJ the sweetest baby on earth 😩❤️🦅
46,24/06/24,AJ cleans with mama the best😂🤣❤️🦅
47,24/06/24,Saying a prayer for every understanding woman on earth! Your king loves you ❤️😎🦅
48,24/06/24,Video shoot! 😂❤️🦅
49,24/06/24,AJ gives the best kisses ! 😎❤️🦅
50,20/6/24,Don jazzy!! amazing human! ❤️🦅
51,20/6/24,Love you all stay blessed today and forever ! See you again soon ❤️🦅BIGWIZ
52,20/06/24,Love you G ❤️🦅
53,20/06/24,Promise I’ll come back often ❤️🦅
54,20/06/24,Yo i truly love Ruger’s make way! ❤️🦅 that guy amazing!
55,20/06/24,U are fucking amazing brother! Wish you nothing but Gods love protection and His continuous blessings ❤️🦅long life
56,20/06/24,🤣😩🤣🤣🤣 everybody Dey mad for here !
57,20/06/24,No worry when I Jam boys later dem go do am for me . I no sabi do that one myself
58,20/06/24,🤣😂 love it ❤️🦅
59,20/06/24,Btw I don’t speak twitter language . Can some of you pls type properly so I know what to say 🤍. Thanks . I love you all 🦅
60,20/06/24,Fc na cult 🦅
61,20/06/24,I could start a church if I wanted 😎
62,20/06/24,Kala no lie 🦅
63,20/06-24,No Panic 🦅
64,20/06/24,Cause calamity you go write comprehensive message ❤️🦅
65,20/06/24,I see u weren’t raised by a good woman and love at home. Ayra star and Tems are amazing ❤️🦅
66,20/06/24,I Dey miss her everyday ❤️🦅
67,20/06/24,Ojude Oba ❤️🦅
68,20/06/24,After God na God. No go whine 🦅
69,20/06/24,God na our no 1 and 2 ❤️🦅
70,20/06/24,Jesus is King ❤️🦅
71,20/06-24,Truly thankful to God for blessing me with all the tools 🦅
72,20/06/24,King is Up!❤️🦅
73,16/6/24,Father’s love ❤️🦅
74,12/6/24,Life and truth the only currency ❤️🤍🦅
75,12/6/24,Make sure u win in real life no deceive yourself ! U deserve it ❤️🦅
76,12/06/24,Real life winners ! ❤️🦅✌️
77,12/06/24,Millionaires in every currency ! 😇❤️🦅
78,7/6/24,Amazing life 🦅
79,30/5/24,Work smart make u no go Dey hustle like fool ❤️ 🦅
80,30/05/24,Spread Love ❤️🦅
81,26/5/24,Love yours ❤️🦅
82,21/5/24,God’s art 🤍🦅
83,21/05/24,Almost with you 😎😇✌️❤️🦅
84,20/5/24,New blessings 🦅
85,12/5/24,Everyday Mother’s Day forever ! ❤️🤍🕊️
86,2/5/24,Jesus is King ❤️🦅
87,1/5/24,This user no send una papa 😎❤️🦅
88,1/5/24,In all things give thanks ❤️🦅
89,1/5/24,Jesus is King! ❤️🦅
90,1/5/24,"😂🤣 in y’all wildest dreams! 😂😭 
I wish a nigga would 😎🦅"
91,1/5/24,God’s Love 🦅
92,30/4/24,Good morning. Jah bless our day. Na beg we beg
93,29/4/24,I don tire I Dey go sleep 😂 Jesus is King
94,29/4/24,I got nun to say to u my boy! I can retire today and you still not on my level. You be influencer with a song writer . Wish u well ✌️
95,29/4/24,U know what..no point. delusional niggas 😇 pray for y’all
96,29/4/24,U and all ur crew plus ur pant washer song writer go to sleep at night thinking you actually got anything on me in music 🤣😂 wish u all well ✌️
97,29/4-24,Abeg tell baba I Dey feel am die ! 😎❤️🦅
98,29/4-24,Baba na baba 🦅
99,29/4/24,Love everyone putting out dope shit! They all deserve to win! ❤️🦅
100,29/4/24,lol never chatting to anyone signed to an influencer. Next
101,29/4/24,Hmmm maybe next tmrw. I Dey free Monday again
102,28/4/24,Farouk !
103,28/4/24,He still lingers in there deep down on top of all these millions 😇
104,28/4/24,😂😂😂😭😭 that’s a bully! Let’s leave him for now …”for now”
105,28-4-24,Una really want me on my 50cent shit. lol hmmm…
106,28/4/24,Everyday I get things to say but my mouth no good..😂
107,28/4/24,I wish everybody luck 😇🤍🦅
108,1/4/24,Money don’t buy love 🤍🦅
109,1/4/24,That one na ur papa business🤍🦅
110,1/4/24,Gods love 🤍🦅
111,27/1/23,More love less ego 💜
112,14/11/22,Superstar ⭐️
113,11/9/22,Biggest Bird! 🖤❤️🦅
114,2/2/22,Mood!! 🖤♥️🦅
115,25/12/21,Merry Christmas 🎄🦅♥️
116,19/12/21,Suyaaaaaaaaaaa!!! ♥️🖤🦅🇳🇬
117,14/11/21,Lagos to da world 🇳🇬♥️🦅
118,14/9/21,Such a fucking vibe 💫
119,18/9/21,Chicago 📍
120,1/9/21,Steady 🎬
121,1/9/21,UK! I love you 🇬🇧❤️
122,27/8/21,Some fucking amazing shit! ❤️🖤🦅
123,27/08/21,Some really good shit bih! 😂🖤❤️🦅
124,27/8/21,Thank you . I love you 🖤❤️🦅
125,27/8/21,I’m not even really the best in this shit.I just make some good shit!
126,27/8/21,My brother Tay ! Wow! No words. Amazing
127,27/8/21,And Tems is Magic. 💯
128,27/8/21,And I hope you know Buju’s voice na 1 of 1.
129,27/08/21,One day. I’m gon sit y’all down and explain how important Bella Shmurda’s voice is in African music.
130,27/08/21,Thanks for da small small ad libs my g!! Back up vocals toh lovely! More BIG WiZ x Bella soon. 🖤🦅
131,12/06/24,13 yrs since superstar ! First album! Thankful for all Gods blessings. Healthy family ! Blessed life! Love God ❤️ 🦅
132,12/06/24,Big Wiz! Morayo legendary ❤️🦅
133,09/05/23,New music! 💨
134,29/7/23,Doors open at 4.30pm
135,13/4/23,Frames! 👀
136,27/4/23,Big announcement next week!! 👀
137,12/2/22,Special announcement tomorrow! 👀
138,15/11/22,One day to go! 👀
139,10/3/22,True Love 💚🦅
140,2/8/22,New music 😉
141,22/10/21,Up next! 🦅
142,14/9/21,Love you last night! We go again tonight !! 🖤🦅
143,16/8/21,LONDON 👀👀
144,12/8/21,Got something special for you guys tomorrow 🦅❤️🇳🇬
145,18/7/21,BIG WIZ 🦅
146,25/6/21,BIG WIZ 🇺🇸
147,19/6/21,Lagos play 🦅😈⚽️
148,19/6/21,Mood
149,4/6/21,Essence 🇳🇬❤️🦅
150,11/5/21,Through da night 🤫 .....
151,5/5/21,Starboy on the road soon! 😎
152,9/3/21,Twin! 🖤🦅
153,24/12/20,Patoranking “Abule” ! Hardest jam Abeg! Hardest!!
154,19/11/20,Forever ❤️🇳🇬
155,19/11/20,Nigeria!!!! 🇳🇬🇳🇬🇳🇬
156,19/11/20,Joro 🌪
157,19/11/20,Made In Lagos 🇳🇬
158,19/11/20,Wizkid FC 🇳🇬
159,19/11/20,True Love! ❤️❤️❤️
160,19/11/20,Long time 🎥
161,19/11/20,Bad energy!
162,19/11/20,My brother 4 life!
163,19/11/20,Blessed ❤️
164,19/11/20,Julie Adenuga ❤️
165,7/11/20,My Fans & family! ♥️
166,7/11/20,I see you ooo! ♥️
167,7/11/20,No stress! 🦅
168,7/11/20,Hard as fuck! 🦅
169,7/11/20,Banjo is an instrument! 💫
