Tweet	sentiment	musician
We made it! Thank you BORN IN THE WILD OUT NOW	Normal	tems
Miami, thank you!	Normal	tems
It’s officially “I will wait” now though I just thought it was funny af	Normal	tems
You’re too fine!??????	Normal	tems
Maybe now it’s time for me to confess that it was always “I won’t wait for you” but I sang it in a British accent ?? so it came out as “wun” ??	Normal	tems
Very Mindful, Very Tems, Very ESSENCE?	Normal	tems
US TOUR begins Thursday!! See you soon Miami!!????????	Normal	tems
"Out of respect for the on going protest at home????, I have decided to postpone the release of Burning music video. Praying for the safety of those outside at this time. 
May the voice of the people be heard?????"	Normal	tems
I’m so excited to be in Barbados!!! ????????????	Normal	tems
Until next time Germany! ?????	Normal	tems
Oslo! I love you ???????	Normal	tems
HE HE HE HE HE HE!!	Normal	tems
Thank you for having me boo, I had the best time!!????	Normal	tems
"
LV Level 10 ?????"	Normal	tems
"
Girl oh Girl ????????????"	Normal	tems
"
FLOMAR!! I LOVE YOU?????????????????"	Normal	tems
"
Wickedest! ??????????"	Normal	tems
"
Sometimes I want to Strangle youuu??"	Offensive	tems
"
Day 1- LONDON ??"	Normal	tems
"
BURNING…???????????????"	Normal	tems
"
What’s songs are the Gang feeling for the shows? I wanna knowww????????"	Normal	tems
"
They really got me performing on my birthday??????????????
Spending it with all of you tomorrow!??"	Normal	tems
"
GANGSTA- Track 8 #Borninthewild ??"	Normal	tems
FRR!! Thank you so much baby girl!!	Normal	tems
Last day at the No album waiting roommm	Normal	tems
"

Really enjoyed hanging out with you girl??
Love you too! Thank you???????????"	Normal	tems
"
@korty_EO
I cant remember a single thing ??????. if you hear anything crazy, it’s not me it’s my clone!!"	Normal	tems
Don’t fold!! I love it	Normal	tems
"
A Starrrr indeed! it’s INCREDIBLE!
Congratulations sweetest girl!! 
@ayrastarr

“I don fall in loveee”????????????"	Normal	tems
"
@ameliadimz
took me on a date and I really enjoyed myself ??????? Chicken shop date out now????"	Normal	tems
"
It only works if you trust God wholeheartedly. #BORNINTHEWILD???"	Normal	tems
"
Had to borrow my mums office clothes??
The shoe??????????????"	Normal	tems
"
My first child. Look at you now"	Normal	tems
"

Omg this made my day! Miss ma’am!!Imma need to send names to 
@IAmDonawon
right now. 3 tix for you! Love you??????
See you real soon"	Normal	tems
"
This is my most special moment. Everything I have I put into this. Thank you all so much for believing in me. 
BORN IN THE WILD. JUNE 7th ??????"	Normal	tems
"
God is the Greatest."	Normal	tems
"May 9 
This might be the greatest thing I ever did. Might be the last thing. Whatever happens I accept. 
Thank you to everyone that still believes in me. For being patient. I’m thinking of you. I’m only coming for mine and nothing else?????"	Normal	tems
"
Finally learning to trust with this my coconut head?"	Normal	tems
"

Tbh the responses for Love me Jeje have been shocking!! Im feeling so much love I didn’t expect for this song. I’m so excited for this albummm!!?????????"	Normal	tems
"
Beautiful!!!???????????????"	Normal	tems
"
LOVE ME JEJE OFFICIAL VIDEO OUT NOW ????? ??"	Normal	tems
"
Damn I look like that fr??"	Normal	tems
"
I’M ON YOUR WAVE RIGHT NOWWW??"	Normal	tems
"
Coachella! I’m too exciteddd
I have a surprise tonight ???????"	Normal	tems
"
CONGRATULATIONS SUPERSTAR!!! 
Da HEAT OFF THIS??!Sheeesh?????????"	Normal	tems
"
On est Là?"	Normal	tems
"

It is well."	Normal	tems
"
Coachella’24 ???????"	Normal	tems
"
I LOVE THIS STORY. Look at the phrasing. Magnificent."	Normal	tems
"

So cute!??"	Normal	tems
"

Celebrating all my wins this year, doing my little dance for everything, big, small, up and down. Cuz Jesus has done so much for my life. All glory to the Most High????"	Normal	tems
"
HAPPY NEW YEAR?????"	Normal	tems
Bruh Why am I excited I don’t even know. Thank you Lord!	Normal	tems
"
All these games I’m done playing."	Normal	tems
"
Lessons all through this year. Lessons on Lessons that have turned into blessings."	Normal	tems
"
Going live now in Lagos on 
@THEBEAT999FM
. Also live on my IG so Tune in!!???"	Normal	tems
"
Feeling blessed to be home!!?????"	Normal	tems
"

NOT AN ANGEL"	Normal	tems
"
Excuse me? LET TEMS BREATHE"	Normal	tems
"
So??…. Ready for new music?"	Normal	tems
"
Burberry gyalll ?????????"	Normal	tems
"
Hm I’m going offff once this LP is out."	Normal	tems
"
I’m a maniac who loves peace of mind."	Normal	tems
"
I want to say my mind, but you always take me so seriously."	Normal	tems
"

Omo see baby fat!"	Normal	tems
"
Seeing these girlies win is actually everything because they work so hard and they believed! I’m so happy and proud rn, a huge congratulations 
So well deserved. More is coming!! 
@ayrastarr

@Tyllaaaaaaa"	Normal	tems
"
What is sleep atp"	Normal	tems
"
Changed our lives forever. His healing power and His saving grace. They don’t know but be acting like they do.
I can’t keep quiet about it!!"	Normal	tems
"
Face your front Era?"	Offensive	tems
"
Cheeeiii???????? nahh this my dream girl!! How can I find herrrrr ????????"	Normal	tems
"
Bad belle is an evil spirit"	Offensive	tems
"
Never Doubt God. Never doubt yourself. You can doubt anything else"	Normal	tems
"
Whenever you think about the amazing friends you have. Just remember. That's God. Thank Him. He blessed your life with them on purpose."	Normal	tems
"
'God will keep exposing you to difficult situations because He knows it's the only way your faith will grow'"	Normal	tems
"
God shows you in many ways, that what you think is so important, really isn’t and what you might think isnt, truly is."	Normal	tems
"

It’s not you win some you lose some, it’s you win one you lose everything else, only the strong survive the constant beat down that is life"	Normal	tems
"Feb 22, 2018
Through honour and dishonour, slander and praise. We are treated as impostors, and yet are true; As unknown and yet well known, as dying and behold we live. As punished and yet, not killed."	Normal	tems
"May 7, 2018 
The Word of God is the guide."	Normal	tems
"
How do you break out of liking your own company and spending time with yourself"	Normal	tems
"
God is so amazing, it’s marvellous to look back and realise there’s nothing I’ve needed that God hasn’t provided, even when I thought I wouldn’t make it, I did. There’s absolutely no reason to doubt, when God is behind you, believe it, There’s nothing in life that you CANT do."	Normal	tems
